dll,name,address
KERNEL32.dll,GetVersionExA,0x1801c3000
KERNEL32.dll,GetVersion,0x1801c3008
KERNEL32.dll,Sleep,0x1801c3010
USER32.dll,GetWindowDC,0x1801c3020
GDI32.dll,CreatePalette,0x1801c3030
ADVAPI32.dll,GetSecurityDescriptorDacl,0x1801c3040
SHELL32.dll,SHFileOperationA,0x1801c3050
ole32.dll,CoInitialize,0x1801c3060
WS2_32.dll,select,0x1801c3070
SHLWAPI.dll,PathFileExistsA,0x1801c3080
DNSAPI.dll,DnsQuery_A,0x1801c3090
Secur32.dll,LsaGetLogonSessionData,0x1801c30a0
PSAPI.DLL,GetModuleFileNameExA,0x1801c30b0
WTSAPI32.dll,WTSFreeMemory,0x1801c30c0
USERENV.dll,CreateEnvironmentBlock,0x1801c30d0
VERSION.dll,GetFileVersionInfoSizeA,0x1801c30e0
KERNEL32.dll,GetModuleFileNameW,0x1801c30f0
KERNEL32.dll,GetModuleHandleA,0x1801c3100
KERNEL32.dll,LoadLibraryA,0x1801c3108
KERNEL32.dll,LocalAlloc,0x1801c3110
KERNEL32.dll,LocalFree,0x1801c3118
KERNEL32.dll,GetModuleFileNameA,0x1801c3120
KERNEL32.dll,ExitProcess,0x1801c3128
