dll,name,address
CRYPT32.dll,CryptImportPublicKeyInfo,0x1003f068
CRYPT32.dll,CryptAcquireCertificatePrivateKey,0x1003f06c
CRYPT32.dll,CertEnumCertificatesInStore,0x1003f070
CRYPT32.dll,PFXImportCertStore,0x1003f074
CRYPT32.dll,CertCreateCertificateContext,0x1003f078
CRYPT32.dll,CertCloseStore,0x1003f07c
CRYPT32.dll,CertFreeCertificateContext,0x1003f080
CRYPT32.dll,CryptStringToBinaryA,0x1003f084
MPR.dll,WNetOpenEnumW,0x1003f218
MPR.dll,WNetCloseEnum,0x1003f21c
MPR.dll,WNetEnumResourceW,0x1003f220
KERNEL32.dll,GetLocalTime,0x1003f08c
KERNEL32.dll,InitializeCriticalSection,0x1003f090
KERNEL32.dll,LeaveCriticalSection,0x1003f094
KERNEL32.dll,InterlockedExchange,0x1003f098
KERNEL32.dll,EnterCriticalSection,0x1003f09c
KERNEL32.dll,DeleteCriticalSection,0x1003f0a0
KERNEL32.dll,GetSystemTime,0x1003f0a4
KERNEL32.dll,CreateThread,0x1003f0a8
KERNEL32.dll,MultiByteToWideChar,0x1003f0ac
KERNEL32.dll,WideCharToMultiByte,0x1003f0b0
KERNEL32.dll,TryEnterCriticalSection,0x1003f0b4
KERNEL32.dll,Sleep,0x1003f0b8
KERNEL32.dll,InterlockedIncrement,0x1003f0bc
KERNEL32.dll,GetDriveTypeW,0x1003f0c0
KERNEL32.dll,QueryDosDeviceW,0x1003f0c4
KERNEL32.dll,DeviceIoControl,0x1003f0c8
KERNEL32.dll,GetLogicalDrives,0x1003f0cc
KERNEL32.dll,FindFirstFileW,0x1003f0d0
KERNEL32.dll,FindClose,0x1003f0d4
KERNEL32.dll,FindNextFileW,0x1003f0d8
KERNEL32.dll,GetComputerNameExW,0x1003f0dc
KERNEL32.dll,CreateDirectoryW,0x1003f0e0
KERNEL32.dll,GetModuleFileNameW,0x1003f0e4
KERNEL32.dll,DeleteFileW,0x1003f0e8
