dll,name,address
KERNEL32.DLL,LoadLibraryA,0x41e104
KERNEL32.DLL,GetProcAddress,0x41e108
KERNEL32.DLL,GetCommandLineA,0x41e10c
KERNEL32.DLL,GetStartupInfoA,0x41e110
KERNEL32.DLL,GetProcessHeap,0x41e114
KERNEL32.DLL,GetLastError,0x41e118
KERNEL32.DLL,GetModuleHandleA,0x41e11c
KERNEL32.DLL,TlsGetValue,0x41e120
KERNEL32.DLL,InterlockedIncrement,0x41e124
KERNEL32.DLL,HeapAlloc,0x41e128
KERNEL32.DLL,ExitProcess,0x41e12c
ADVAPI32.dll,RegOpenKeyA,0x41e134
CRYPT32.dll,CryptUnprotectData,0x41e13c
iphlpapi.dll,GetNetworkParams,0x41e144
ole32.dll,OleInitialize,0x41e14c
OLEAUT32.dll,SysFreeString,0x41e154
PSAPI.DLL,EnumProcesses,0x41e15c
SHELL32.dll,,0x41e164
SHLWAPI.dll,StrStrIA,0x41e16c
urlmon.dll,URLDownloadToFileA,0x41e174
USER32.dll,wsprintfA,0x41e17c
WS2_32.dll,inet_ntoa,0x41e184
