dll,name,address
WININET.dll,InternetCloseHandle,0x403120
WININET.dll,InternetReadFile,0x403124
WININET.dll,InternetOpenA,0x403128
WININET.dll,InternetOpenUrlA,0x40312c
KERNEL32.dll,GetCurrentThreadId,0x403008
KERNEL32.dll,GetCurrentThread,0x40300c
KERNEL32.dll,CloseHandle,0x403010
KERNEL32.dll,GetLastError,0x403014
KERNEL32.dll,CreateProcessA,0x403018
KERNEL32.dll,GetWindowsDirectoryA,0x40301c
KERNEL32.dll,CopyFileA,0x403020
KERNEL32.dll,SetFileAttributesA,0x403024
KERNEL32.dll,CreateDirectoryA,0x403028
KERNEL32.dll,GetCurrentProcess,0x40302c
KERNEL32.dll,GetModuleFileNameA,0x403030
KERNEL32.dll,GetComputerNameA,0x403034
KERNEL32.dll,VirtualFree,0x403038
KERNEL32.dll,GetSystemTime,0x40303c
KERNEL32.dll,GetCurrentProcessId,0x403040
KERNEL32.dll,GetTempPathA,0x403044
KERNEL32.dll,GetVersionExA,0x403048
KERNEL32.dll,GetLocalTime,0x40304c
KERNEL32.dll,Sleep,0x403050
KERNEL32.dll,VirtualAlloc,0x403054
KERNEL32.dll,CreateEventA,0x403058
KERNEL32.dll,GetSystemDirectoryA,0x40305c
KERNEL32.dll,WinExec,0x403060
KERNEL32.dll,SetEndOfFile,0x403064
KERNEL32.dll,DeleteFileA,0x403068
urlmon.dll,URLDownloadToFileA,0x403134
SHLWAPI.dll,PathIsDirectoryA,0x403110
USERENV.dll,GetUserProfileDirectoryA,0x403118
ADVAPI32.dll,OpenProcessToken,0x403000
SHELL32.dll,SHGetSpecialFolderPathA,0x403108
MSVCRT.dll,_controlfp,0x403070
MSVCRT.dll,_except_handler3,0x403074
MSVCRT.dll,__set_app_type,0x403078
MSVCRT.dll,__p__fmode,0x40307c
MSVCRT.dll,__p__commode,0x403080
MSVCRT.dll,_adjust_fdiv,0x403084
MSVCRT.dll,__setusermatherr,0x403088
MSVCRT.dll,_stricmp,0x40308c
MSVCRT.dll,__getmainargs,0x403090
MSVCRT.dll,__p___initenv,0x403094
MSVCRT.dll,strlen,0x403098
MSVCRT.dll,strcat,0x40309c
MSVCRT.dll,memset,0x4030a0
MSVCRT.dll,strcpy,0x4030a4
MSVCRT.dll,free,0x4030a8
MSVCRT.dll,strcmp,0x4030ac
MSVCRT.dll,sscanf,0x4030b0
MSVCRT.dll,strtok,0x4030b4
MSVCRT.dll,strncpy,0x4030b8
MSVCRT.dll,malloc,0x4030bc
MSVCRT.dll,strstr,0x4030c0
MSVCRT.dll,sprintf,0x4030c4
MSVCRT.dll,strrchr,0x4030c8
MSVCRT.dll,atoi,0x4030cc
MSVCRT.dll,_get_osfhandle,0x4030d0
MSVCRT.dll,fclose,0x4030d4
MSVCRT.dll,fwrite,0x4030d8
MSVCRT.dll,fseek,0x4030dc
MSVCRT.dll,fread,0x4030e0
MSVCRT.dll,fopen,0x4030e4
MSVCRT.dll,memcpy,0x4030e8
MSVCRT.dll,??3@YAXPAX@Z,0x4030ec
MSVCRT.dll,??2@YAPAXI@Z,0x4030f0
MSVCRT.dll,_exit,0x4030f4
MSVCRT.dll,_XcptFilter,0x4030f8
MSVCRT.dll,exit,0x4030fc
MSVCRT.dll,_initterm,0x403100
