dll,name,address
KERNEL32.dll,GetModuleHandleA,0x1000203c
KERNEL32.dll,GetLongPathNameA,0x10002040
KERNEL32.dll,GetTempPathA,0x10002044
KERNEL32.dll,CreateFileA,0x10002048
KERNEL32.dll,SetLastError,0x1000204c
KERNEL32.dll,OutputDebugStringA,0x10002050
KERNEL32.dll,FindResourceA,0x10002054
KERNEL32.dll,LoadResource,0x10002058
KERNEL32.dll,SizeofResource,0x1000205c
KERNEL32.dll,WriteFile,0x10002060
KERNEL32.dll,CreateToolhelp32Snapshot,0x10002064
KERNEL32.dll,Process32First,0x10002068
KERNEL32.dll,Process32Next,0x1000206c
KERNEL32.dll,OpenProcess,0x10002070
KERNEL32.dll,GetModuleFileNameA,0x10002074
KERNEL32.dll,lstrcatA,0x10002078
KERNEL32.dll,GetLastError,0x1000207c
KERNEL32.dll,CloseHandle,0x10002080
KERNEL32.dll,Sleep,0x10002084
KERNEL32.dll,lstrlenA,0x10002088
ADVAPI32.dll,OpenSCManagerA,0x10002000
ADVAPI32.dll,DeleteService,0x10002004
ADVAPI32.dll,RegOpenKeyExA,0x10002008
ADVAPI32.dll,RegQueryValueExA,0x1000200c
ADVAPI32.dll,RegCloseKey,0x10002010
ADVAPI32.dll,CreateServiceA,0x10002014
ADVAPI32.dll,CloseServiceHandle,0x10002018
ADVAPI32.dll,RegCreateKeyA,0x1000201c
ADVAPI32.dll,RegSetValueExA,0x10002020
ADVAPI32.dll,OpenProcessToken,0x10002024
ADVAPI32.dll,CreateProcessAsUserA,0x10002028
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x1000202c
ADVAPI32.dll,SetServiceStatus,0x10002030
ADVAPI32.dll,OpenServiceA,0x10002034
MSVCRT.dll,strchr,0x10002090
MSVCRT.dll,_adjust_fdiv,0x10002094
MSVCRT.dll,malloc,0x10002098
MSVCRT.dll,memset,0x1000209c
MSVCRT.dll,wcstombs,0x100020a0
MSVCRT.dll,strncpy,0x100020a4
MSVCRT.dll,printf,0x100020a8
MSVCRT.dll,strcat,0x100020ac
MSVCRT.dll,strlen,0x100020b0
MSVCRT.dll,strncat,0x100020b4
MSVCRT.dll,_stricmp,0x100020b8
MSVCRT.dll,__CxxFrameHandler,0x100020bc
MSVCRT.dll,_EH_prolog,0x100020c0
MSVCRT.dll,_CxxThrowException,0x100020c4
MSVCRT.dll,_except_handler3,0x100020c8
MSVCRT.dll,??3@YAXPAX@Z,0x100020cc
MSVCRT.dll,??1type_info@@UAE@XZ,0x100020d0
MSVCRT.dll,free,0x100020d4
MSVCRT.dll,_initterm,0x100020d8
