dll,name,address
KERNEL32.dll,SystemTimeToFileTime,0x46f000
KERNEL32.dll,Sleep,0x46f004
KERNEL32.dll,VirtualAlloc,0x46f008
KERNEL32.dll,GetSystemTime,0x46f00c
KERNEL32.dll,InitializeCriticalSection,0x46f010
KERNEL32.dll,InterlockedCompareExchange,0x46f014
KERNEL32.dll,IsValidLocale,0x46f018
KERNEL32.dll,EnumSystemLocalesA,0x46f01c
KERNEL32.dll,GetLocaleInfoA,0x46f020
KERNEL32.dll,GetUserDefaultLCID,0x46f024
KERNEL32.dll,FlushFileBuffers,0x46f028
KERNEL32.dll,CloseHandle,0x46f02c
KERNEL32.dll,CreateFileW,0x46f030
KERNEL32.dll,WriteConsoleW,0x46f034
KERNEL32.dll,SetStdHandle,0x46f038
KERNEL32.dll,GetStringTypeW,0x46f03c
KERNEL32.dll,MultiByteToWideChar,0x46f040
KERNEL32.dll,LCMapStringW,0x46f044
KERNEL32.dll,HeapReAlloc,0x46f048
KERNEL32.dll,GetConsoleMode,0x46f04c
KERNEL32.dll,GetConsoleCP,0x46f050
KERNEL32.dll,GetCommandLineA,0x46f054
KERNEL32.dll,HeapSetInformation,0x46f058
KERNEL32.dll,GetStartupInfoW,0x46f05c
KERNEL32.dll,GetLastError,0x46f060
KERNEL32.dll,HeapFree,0x46f064
KERNEL32.dll,EncodePointer,0x46f068
KERNEL32.dll,DecodePointer,0x46f06c
KERNEL32.dll,TerminateProcess,0x46f070
KERNEL32.dll,GetCurrentProcess,0x46f074
KERNEL32.dll,UnhandledExceptionFilter,0x46f078
KERNEL32.dll,SetUnhandledExceptionFilter,0x46f07c
KERNEL32.dll,IsDebuggerPresent,0x46f080
KERNEL32.dll,HeapAlloc,0x46f084
KERNEL32.dll,IsProcessorFeaturePresent,0x46f088
KERNEL32.dll,RaiseException,0x46f08c
KERNEL32.dll,GetProcAddress,0x46f090
KERNEL32.dll,GetModuleHandleW,0x46f094
KERNEL32.dll,ExitProcess,0x46f098
KERNEL32.dll,WriteFile,0x46f09c
KERNEL32.dll,GetStdHandle,0x46f0a0
KERNEL32.dll,GetModuleFileNameW,0x46f0a4
KERNEL32.dll,GetModuleFileNameA,0x46f0a8
KERNEL32.dll,FreeEnvironmentStringsW,0x46f0ac
KERNEL32.dll,WideCharToMultiByte,0x46f0b0
KERNEL32.dll,GetEnvironmentStringsW,0x46f0b4
KERNEL32.dll,SetHandleCount,0x46f0b8
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x46f0bc
KERNEL32.dll,GetFileType,0x46f0c0
KERNEL32.dll,DeleteCriticalSection,0x46f0c4
KERNEL32.dll,TlsAlloc,0x46f0c8
KERNEL32.dll,TlsGetValue,0x46f0cc
KERNEL32.dll,TlsSetValue,0x46f0d0
KERNEL32.dll,TlsFree,0x46f0d4
KERNEL32.dll,InterlockedIncrement,0x46f0d8
KERNEL32.dll,SetLastError,0x46f0dc
KERNEL32.dll,GetCurrentThreadId,0x46f0e0
KERNEL32.dll,InterlockedDecrement,0x46f0e4
KERNEL32.dll,GetCurrentThread,0x46f0e8
KERNEL32.dll,HeapCreate,0x46f0ec
KERNEL32.dll,HeapDestroy,0x46f0f0
KERNEL32.dll,QueryPerformanceCounter,0x46f0f4
KERNEL32.dll,GetTickCount,0x46f0f8
KERNEL32.dll,GetCurrentProcessId,0x46f0fc
KERNEL32.dll,GetSystemTimeAsFileTime,0x46f100
KERNEL32.dll,HeapSize,0x46f104
KERNEL32.dll,GetLocaleInfoW,0x46f108
KERNEL32.dll,SetConsoleCtrlHandler,0x46f10c
KERNEL32.dll,LeaveCriticalSection,0x46f110
KERNEL32.dll,FatalAppExitA,0x46f114
KERNEL32.dll,EnterCriticalSection,0x46f118
KERNEL32.dll,RtlUnwind,0x46f11c
KERNEL32.dll,FreeLibrary,0x46f120
KERNEL32.dll,InterlockedExchange,0x46f124
KERNEL32.dll,LoadLibraryW,0x46f128
KERNEL32.dll,GetCPInfo,0x46f12c
KERNEL32.dll,GetACP,0x46f130
KERNEL32.dll,GetOEMCP,0x46f134
KERNEL32.dll,IsValidCodePage,0x46f138
KERNEL32.dll,SetFilePointer,0x46f13c
KERNEL32.dll,ReadFile,0x46f140
USER32.dll,EndPaint,0x46f148
USER32.dll,DestroyWindow,0x46f14c
USER32.dll,GetMessageA,0x46f150
USER32.dll,RegisterClassExA,0x46f154
USER32.dll,PostQuitMessage,0x46f158
USER32.dll,LoadStringA,0x46f15c
USER32.dll,LoadIconA,0x46f160
USER32.dll,BeginPaint,0x46f164
USER32.dll,TranslateMessage,0x46f168
USER32.dll,TranslateAcceleratorA,0x46f16c
USER32.dll,EndDialog,0x46f170
USER32.dll,DefWindowProcA,0x46f174
USER32.dll,LoadAcceleratorsA,0x46f178
USER32.dll,DispatchMessageA,0x46f17c
USER32.dll,LoadCursorA,0x46f180
USER32.dll,DialogBoxParamA,0x46f184
