dll,name,address
KERNEL32.dll,GetLongPathNameA,0x406014
KERNEL32.dll,GetTempPathA,0x406018
KERNEL32.dll,LoadLibraryA,0x40601c
KERNEL32.dll,GetModuleHandleA,0x406020
KERNEL32.dll,GetStartupInfoA,0x406024
KERNEL32.dll,GetProcAddress,0x406028
KERNEL32.dll,GetModuleFileNameA,0x40602c
KERNEL32.dll,GetShortPathNameA,0x406030
KERNEL32.dll,lstrlenA,0x406034
KERNEL32.dll,Sleep,0x406038
WS2_32.dll,gethostname,0x4060d4
WS2_32.dll,WSAStartup,0x4060d8
WS2_32.dll,WSACleanup,0x4060dc
ADVAPI32.dll,RegCreateKeyA,0x406000
ADVAPI32.dll,RegCloseKey,0x406004
ADVAPI32.dll,RegOpenKeyA,0x406008
ADVAPI32.dll,RegSetValueExA,0x40600c
WININET.dll,HttpSendRequestA,0x4060b4
WININET.dll,InternetOpenA,0x4060b8
WININET.dll,InternetConnectA,0x4060bc
WININET.dll,InternetCloseHandle,0x4060c0
WININET.dll,HttpOpenRequestA,0x4060c4
WININET.dll,HttpQueryInfoA,0x4060c8
WININET.dll,InternetReadFile,0x4060cc
MSVCRT.dll,atol,0x406040
MSVCRT.dll,_controlfp,0x406044
MSVCRT.dll,_except_handler3,0x406048
MSVCRT.dll,__set_app_type,0x40604c
MSVCRT.dll,__p__fmode,0x406050
MSVCRT.dll,__p__commode,0x406054
MSVCRT.dll,_adjust_fdiv,0x406058
MSVCRT.dll,atoi,0x40605c
MSVCRT.dll,strcat,0x406060
MSVCRT.dll,strcpy,0x406064
MSVCRT.dll,__setusermatherr,0x406068
MSVCRT.dll,fflush,0x40606c
MSVCRT.dll,??3@YAXPAX@Z,0x406070
MSVCRT.dll,fwrite,0x406074
MSVCRT.dll,memset,0x406078
MSVCRT.dll,fopen,0x40607c
MSVCRT.dll,strrchr,0x406080
MSVCRT.dll,??2@YAPAXI@Z,0x406084
MSVCRT.dll,fclose,0x406088
MSVCRT.dll,sscanf,0x40608c
MSVCRT.dll,_purecall,0x406090
MSVCRT.dll,strlen,0x406094
MSVCRT.dll,_exit,0x406098
MSVCRT.dll,_XcptFilter,0x40609c
MSVCRT.dll,exit,0x4060a0
MSVCRT.dll,_acmdln,0x4060a4
MSVCRT.dll,__getmainargs,0x4060a8
MSVCRT.dll,_initterm,0x4060ac
