dll,name,address
KERNEL32.dll,CloseHandle,0x402000
KERNEL32.dll,WaitForSingleObject,0x402004
KERNEL32.dll,CreateEventA,0x402008
KERNEL32.dll,ExitThread,0x40200c
KERNEL32.dll,Sleep,0x402010
KERNEL32.dll,GetComputerNameA,0x402014
KERNEL32.dll,CreatePipe,0x402018
KERNEL32.dll,DisconnectNamedPipe,0x40201c
KERNEL32.dll,TerminateProcess,0x402020
KERNEL32.dll,WaitForMultipleObjects,0x402024
KERNEL32.dll,TerminateThread,0x402028
KERNEL32.dll,CreateThread,0x40202c
KERNEL32.dll,CreateProcessA,0x402030
KERNEL32.dll,DuplicateHandle,0x402034
KERNEL32.dll,GetCurrentProcess,0x402038
KERNEL32.dll,ReadFile,0x40203c
KERNEL32.dll,PeekNamedPipe,0x402040
KERNEL32.dll,SetEvent,0x402044
KERNEL32.dll,WriteFile,0x402048
KERNEL32.dll,SetProcessPriorityBoost,0x40204c
KERNEL32.dll,SetThreadPriority,0x402050
KERNEL32.dll,GetCurrentThread,0x402054
KERNEL32.dll,SetPriorityClass,0x402058
KERNEL32.dll,lstrcatA,0x40205c
KERNEL32.dll,lstrcpyA,0x402060
KERNEL32.dll,GetEnvironmentVariableA,0x402064
KERNEL32.dll,GetShortPathNameA,0x402068
KERNEL32.dll,GetModuleFileNameA,0x40206c
KERNEL32.dll,GetStartupInfoA,0x402070
KERNEL32.dll,GetModuleHandleA,0x402074
USER32.dll,LoadStringA,0x4020e0
SHELL32.dll,ShellExecuteExA,0x4020d4
SHELL32.dll,SHChangeNotify,0x4020d8
MSVCRT.dll,_controlfp,0x40207c
MSVCRT.dll,_beginthread,0x402080
MSVCRT.dll,_strnicmp,0x402084
MSVCRT.dll,sprintf,0x402088
MSVCRT.dll,atol,0x40208c
MSVCRT.dll,strchr,0x402090
MSVCRT.dll,free,0x402094
MSVCRT.dll,malloc,0x402098
MSVCRT.dll,_exit,0x40209c
MSVCRT.dll,_XcptFilter,0x4020a0
MSVCRT.dll,exit,0x4020a4
MSVCRT.dll,_acmdln,0x4020a8
MSVCRT.dll,__getmainargs,0x4020ac
MSVCRT.dll,_initterm,0x4020b0
MSVCRT.dll,__setusermatherr,0x4020b4
MSVCRT.dll,_adjust_fdiv,0x4020b8
MSVCRT.dll,__p__commode,0x4020bc
MSVCRT.dll,__p__fmode,0x4020c0
MSVCRT.dll,__set_app_type,0x4020c4
MSVCRT.dll,_except_handler3,0x4020c8
MSVCRT.dll,_itoa,0x4020cc
WS2_32.dll,htons,0x4020e8
WS2_32.dll,connect,0x4020ec
WS2_32.dll,socket,0x4020f0
WS2_32.dll,WSAStartup,0x4020f4
WS2_32.dll,send,0x4020f8
WS2_32.dll,inet_addr,0x4020fc
WS2_32.dll,recv,0x402100
WS2_32.dll,closesocket,0x402104
