dll,name,address
KERNEL32.dll,GetCurrentProcess,0x1002105c
KERNEL32.dll,SetFilePointer,0x10021060
KERNEL32.dll,GetDiskFreeSpaceExW,0x10021064
KERNEL32.dll,GetVolumeInformationW,0x10021068
KERNEL32.dll,SetEvent,0x1002106c
KERNEL32.dll,CreateEventW,0x10021070
KERNEL32.dll,lstrcmpiW,0x10021074
KERNEL32.dll,GetCurrentThreadId,0x10021078
KERNEL32.dll,GetStdHandle,0x1002107c
KERNEL32.dll,GetTempFileNameW,0x10021080
KERNEL32.dll,FindResourceW,0x10021084
KERNEL32.dll,LoadResource,0x10021088
KERNEL32.dll,WideCharToMultiByte,0x1002108c
KERNEL32.dll,SizeofResource,0x10021090
KERNEL32.dll,MultiByteToWideChar,0x10021094
KERNEL32.dll,GetTempPathW,0x10021098
KERNEL32.dll,LockResource,0x1002109c
KERNEL32.dll,GetFileTime,0x100210a0
KERNEL32.dll,GlobalSize,0x100210a4
KERNEL32.dll,GlobalLock,0x100210a8
KERNEL32.dll,GlobalAlloc,0x100210ac
KERNEL32.dll,GlobalUnlock,0x100210b0
KERNEL32.dll,InterlockedExchange,0x100210b4
KERNEL32.dll,GlobalFree,0x100210b8
KERNEL32.dll,DeviceIoControl,0x100210bc
KERNEL32.dll,GetModuleFileNameA,0x100210c0
KERNEL32.dll,VirtualProtect,0x100210c4
KERNEL32.dll,LocalFree,0x100210c8
KERNEL32.dll,HeapFree,0x100210cc
KERNEL32.dll,CreateFileA,0x100210d0
KERNEL32.dll,FlushFileBuffers,0x100210d4
KERNEL32.dll,GetLocaleInfoW,0x100210d8
KERNEL32.dll,WriteConsoleW,0x100210dc
KERNEL32.dll,GetConsoleOutputCP,0x100210e0
KERNEL32.dll,WriteConsoleA,0x100210e4
KERNEL32.dll,RemoveDirectoryW,0x100210e8
KERNEL32.dll,RtlUnwind,0x100210ec
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x100210f0
KERNEL32.dll,GetConsoleMode,0x100210f4
KERNEL32.dll,GetConsoleCP,0x100210f8
KERNEL32.dll,LCMapStringW,0x100210fc
KERNEL32.dll,LCMapStringA,0x10021100
KERNEL32.dll,QueryPerformanceCounter,0x10021104
KERNEL32.dll,GetEnvironmentStringsW,0x10021108
KERNEL32.dll,FreeEnvironmentStringsW,0x1002110c
KERNEL32.dll,GetEnvironmentStrings,0x10021110
KERNEL32.dll,FreeEnvironmentStringsA,0x10021114
KERNEL32.dll,GetStartupInfoA,0x10021118
KERNEL32.dll,GetFileType,0x1002111c
KERNEL32.dll,SetHandleCount,0x10021120
KERNEL32.dll,GetStringTypeW,0x10021124
KERNEL32.dll,GetStringTypeA,0x10021128
KERNEL32.dll,IsValidLocale,0x1002112c
KERNEL32.dll,EnumSystemLocalesA,0x10021130
KERNEL32.dll,GetLocaleInfoA,0x10021134
KERNEL32.dll,GetUserDefaultLCID,0x10021138
KERNEL32.dll,HeapReAlloc,0x1002113c
KERNEL32.dll,FormatMessageW,0x10021140
KERNEL32.dll,CreateMutexW,0x10021144
KERNEL32.dll,SetLastError,0x10021148
KERNEL32.dll,EnterCriticalSection,0x1002114c
KERNEL32.dll,LeaveCriticalSection,0x10021150
KERNEL32.dll,GetFileSizeEx,0x10021154
KERNEL32.dll,SetFilePointerEx,0x10021158
KERNEL32.dll,SetEndOfFile,0x1002115c
KERNEL32.dll,WinExec,0x10021160
KERNEL32.dll,HeapAlloc,0x10021164
KERNEL32.dll,FindNextFileW,0x10021168
KERNEL32.dll,FindClose,0x1002116c
KERNEL32.dll,ExitProcess,0x10021170
KERNEL32.dll,GetFileAttributesW,0x10021174
KERNEL32.dll,SetFileTime,0x10021178
KERNEL32.dll,CreateDirectoryW,0x1002117c
KERNEL32.dll,GetDriveTypeW,0x10021180
KERNEL32.dll,GetModuleHandleA,0x10021184
KERNEL32.dll,LoadLibraryA,0x10021188
KERNEL32.dll,VirtualAlloc,0x1002118c
KERNEL32.dll,CreateFileW,0x10021190
KERNEL32.dll,VirtualFree,0x10021194
KERNEL32.dll,GetFileSize,0x10021198
