dll,name,address
MSVCR90.dll,_adjust_fdiv,0x406088
MSVCR90.dll,__p__commode,0x40608c
MSVCR90.dll,__p__fmode,0x406090
MSVCR90.dll,_encode_pointer,0x406094
MSVCR90.dll,__set_app_type,0x406098
MSVCR90.dll,?terminate@@YAXXZ,0x40609c
MSVCR90.dll,?_type_info_dtor_internal_method@type_info@@QAEXXZ,0x4060a0
MSVCR90.dll,__setusermatherr,0x4060a4
MSVCR90.dll,__dllonexit,0x4060a8
MSVCR90.dll,_lock,0x4060ac
MSVCR90.dll,_onexit,0x4060b0
MSVCR90.dll,_decode_pointer,0x4060b4
MSVCR90.dll,_except_handler4_common,0x4060b8
MSVCR90.dll,_invoke_watson,0x4060bc
MSVCR90.dll,_controlfp_s,0x4060c0
MSVCR90.dll,_crt_debugger_hook,0x4060c4
MSVCR90.dll,_configthreadlocale,0x4060c8
MSVCR90.dll,_initterm_e,0x4060cc
MSVCR90.dll,_initterm,0x4060d0
MSVCR90.dll,_acmdln,0x4060d4
MSVCR90.dll,exit,0x4060d8
MSVCR90.dll,_ismbblead,0x4060dc
MSVCR90.dll,_XcptFilter,0x4060e0
MSVCR90.dll,_exit,0x4060e4
MSVCR90.dll,_cexit,0x4060e8
MSVCR90.dll,__getmainargs,0x4060ec
MSVCR90.dll,_amsg_exit,0x4060f0
MSVCR90.dll,strncmp,0x4060f4
MSVCR90.dll,strncpy,0x4060f8
MSVCR90.dll,atol,0x4060fc
MSVCR90.dll,_CxxThrowException,0x406100
MSVCR90.dll,_splitpath,0x406104
MSVCR90.dll,malloc,0x406108
MSVCR90.dll,sscanf,0x40610c
MSVCR90.dll,_mbschr,0x406110
MSVCR90.dll,__CxxFrameHandler3,0x406114
MSVCR90.dll,srand,0x406118
MSVCR90.dll,rand,0x40611c
MSVCR90.dll,memcpy,0x406120
MSVCR90.dll,printf,0x406124
MSVCR90.dll,atof,0x406128
MSVCR90.dll,_localtime64_s,0x40612c
MSVCR90.dll,asctime_s,0x406130
MSVCR90.dll,atoi,0x406134
MSVCR90.dll,_time64,0x406138
MSVCR90.dll,strstr,0x40613c
MSVCR90.dll,??2@YAPAXI@Z,0x406140
MSVCR90.dll,??3@YAXPAX@Z,0x406144
MSVCR90.dll,memset,0x406148
MSVCR90.dll,_unlock,0x40614c
MSVCR90.dll,sprintf,0x406150
WININET.dll,InternetOpenA,0x406158
WININET.dll,InternetConnectA,0x40615c
WININET.dll,InternetAttemptConnect,0x406160
WININET.dll,InternetReadFile,0x406164
WININET.dll,HttpQueryInfoA,0x406168
WININET.dll,HttpSendRequestExA,0x40616c
WININET.dll,InternetWriteFile,0x406170
WININET.dll,HttpEndRequestA,0x406174
WININET.dll,HttpOpenRequestA,0x406178
WININET.dll,HttpAddRequestHeadersA,0x40617c
WININET.dll,HttpSendRequestA,0x406180
WININET.dll,InternetCloseHandle,0x406184
KERNEL32.dll,GetLastError,0x406010
KERNEL32.dll,HeapFree,0x406014
KERNEL32.dll,GetModuleFileNameA,0x406018
KERNEL32.dll,SetFilePointer,0x40601c
KERNEL32.dll,CreateFileA,0x406020
KERNEL32.dll,GetFileSize,0x406024
KERNEL32.dll,WriteFile,0x406028
KERNEL32.dll,GetTickCount,0x40602c
KERNEL32.dll,WinExec,0x406030
KERNEL32.dll,CreatePipe,0x406034
KERNEL32.dll,GetStartupInfoA,0x406038
KERNEL32.dll,CreateProcessA,0x40603c
KERNEL32.dll,HeapAlloc,0x406040
KERNEL32.dll,PeekNamedPipe,0x406044
KERNEL32.dll,ReadFile,0x406048
KERNEL32.dll,Sleep,0x40604c
KERNEL32.dll,InterlockedExchange,0x406050
KERNEL32.dll,InterlockedCompareExchange,0x406054
KERNEL32.dll,SetUnhandledExceptionFilter,0x406058
KERNEL32.dll,QueryPerformanceCounter,0x40605c
KERNEL32.dll,GetCurrentThreadId,0x406060
KERNEL32.dll,GetCurrentProcessId,0x406064
KERNEL32.dll,GetSystemTimeAsFileTime,0x406068
KERNEL32.dll,TerminateProcess,0x40606c
KERNEL32.dll,GetCurrentProcess,0x406070
KERNEL32.dll,UnhandledExceptionFilter,0x406074
KERNEL32.dll,IsDebuggerPresent,0x406078
KERNEL32.dll,GetProcessHeap,0x40607c
KERNEL32.dll,CloseHandle,0x406080
ADVAPI32.dll,RegCloseKey,0x406000
ADVAPI32.dll,RegQueryValueExA,0x406004
ADVAPI32.dll,RegOpenKeyExA,0x406008
