dll,name,address
MSVCRT.dll,_strlwr,0x10003084
MSVCRT.dll,_wcsrev,0x10003088
MSVCRT.dll,_strrev,0x1000308c
MSVCRT.dll,_stricmp,0x10003090
MSVCRT.dll,strncpy,0x10003094
MSVCRT.dll,strrchr,0x10003098
MSVCRT.dll,rename,0x1000309c
MSVCRT.dll,_initterm,0x100030a0
MSVCRT.dll,malloc,0x100030a4
MSVCRT.dll,free,0x100030a8
MSVCRT.dll,_adjust_fdiv,0x100030ac
MSVCRT.dll,_snprintf,0x100030b0
MSVCRT.dll,strstr,0x100030b4
MSVCRT.dll,realloc,0x100030b8
KERNEL32.dll,LoadLibraryA,0x10003008
KERNEL32.dll,GetModuleHandleA,0x1000300c
KERNEL32.dll,GetProcAddress,0x10003010
KERNEL32.dll,HeapAlloc,0x10003014
KERNEL32.dll,GetProcessHeap,0x10003018
KERNEL32.dll,VirtualAlloc,0x1000301c
KERNEL32.dll,VirtualProtect,0x10003020
KERNEL32.dll,VirtualFree,0x10003024
KERNEL32.dll,IsBadReadPtr,0x10003028
KERNEL32.dll,HeapFree,0x1000302c
KERNEL32.dll,FreeLibrary,0x10003030
KERNEL32.dll,GetModuleFileNameA,0x10003034
KERNEL32.dll,DeleteFileA,0x10003038
KERNEL32.dll,SetFileAttributesA,0x1000303c
KERNEL32.dll,SetFileTime,0x10003040
KERNEL32.dll,LocalFileTimeToFileTime,0x10003044
KERNEL32.dll,SystemTimeToFileTime,0x10003048
KERNEL32.dll,CloseHandle,0x1000304c
KERNEL32.dll,GetFileTime,0x10003050
KERNEL32.dll,CreateFileA,0x10003054
KERNEL32.dll,GetSystemDirectoryA,0x10003058
KERNEL32.dll,ExitProcess,0x1000305c
KERNEL32.dll,lstrcatA,0x10003060
KERNEL32.dll,DisableThreadLibraryCalls,0x10003064
KERNEL32.dll,CopyFileA,0x10003068
KERNEL32.dll,WaitForSingleObject,0x1000306c
KERNEL32.dll,LoadLibraryW,0x10003070
KERNEL32.dll,GetModuleFileNameW,0x10003074
KERNEL32.dll,GetWindowsDirectoryA,0x10003078
KERNEL32.dll,GetFileAttributesA,0x1000307c
ADVAPI32.dll,RegOpenKeyA,0x10003000
ole32.dll,CoCreateInstance,0x100030c0
ole32.dll,CoUninitialize,0x100030c4
ole32.dll,CoInitialize,0x100030c8
