dll,name,address
KERNEL32.dll,VirtualProtect,0x402000
KERNEL32.dll,VirtualAlloc,0x402004
KERNEL32.dll,GetLastError,0x402008
KERNEL32.dll,LoadLibraryA,0x40200c
KERNEL32.dll,OutputDebugStringA,0x402010
MSVCRT.dll,free,0x402018
MSVCRT.dll,malloc,0x40201c
MSVCRT.dll,memset,0x402020
MSVCRT.dll,memcpy,0x402024
MSVCRT.dll,exit,0x402028
MSVCRT.dll,printf,0x40202c
MSVCRT.dll,_exit,0x402030
MSVCRT.dll,_XcptFilter,0x402034
MSVCRT.dll,__p___initenv,0x402038
MSVCRT.dll,__getmainargs,0x40203c
MSVCRT.dll,_initterm,0x402040
MSVCRT.dll,__setusermatherr,0x402044
MSVCRT.dll,_adjust_fdiv,0x402048
MSVCRT.dll,__p__commode,0x40204c
MSVCRT.dll,__p__fmode,0x402050
MSVCRT.dll,__set_app_type,0x402054
MSVCRT.dll,_except_handler3,0x402058
MSVCRT.dll,_controlfp,0x40205c
