dll,name,address
KERNEL32.dll,HeapFree,0x180123000
KERNEL32.dll,GetProcessHeap,0x180123008
KERNEL32.dll,GetVolumeInformationA,0x180123010
KERNEL32.dll,GetSystemDirectoryA,0x180123018
KERNEL32.dll,GetSystemInfo,0x180123020
KERNEL32.dll,GetDiskFreeSpaceExA,0x180123028
KERNEL32.dll,GetVersionExA,0x180123030
KERNEL32.dll,CreateFileA,0x180123038
KERNEL32.dll,FreeResource,0x180123040
KERNEL32.dll,GetFileAttributesA,0x180123048
KERNEL32.dll,DeviceIoControl,0x180123050
KERNEL32.dll,CreateEventA,0x180123058
KERNEL32.dll,ConnectNamedPipe,0x180123060
KERNEL32.dll,DisconnectNamedPipe,0x180123068
KERNEL32.dll,CreateNamedPipeA,0x180123070
KERNEL32.dll,GetCommandLineA,0x180123078
KERNEL32.dll,lstrlenW,0x180123080
KERNEL32.dll,SetEndOfFile,0x180123088
KERNEL32.dll,SetFilePointerEx,0x180123090
KERNEL32.dll,FormatMessageA,0x180123098
KERNEL32.dll,GetFileSizeEx,0x1801230a0
KERNEL32.dll,LocalFree,0x1801230a8
KERNEL32.dll,CompareStringW,0x1801230b0
KERNEL32.dll,CreateFileW,0x1801230b8
KERNEL32.dll,WriteConsoleW,0x1801230c0
KERNEL32.dll,HeapAlloc,0x1801230c8
KERNEL32.dll,IsValidLocale,0x1801230d0
KERNEL32.dll,EnumSystemLocalesA,0x1801230d8
KERNEL32.dll,GetLocaleInfoA,0x1801230e0
KERNEL32.dll,GetLocaleInfoW,0x1801230e8
KERNEL32.dll,GetUserDefaultLCID,0x1801230f0
KERNEL32.dll,GetStringTypeW,0x1801230f8
KERNEL32.dll,GetSystemTimeAsFileTime,0x180123100
KERNEL32.dll,QueryPerformanceCounter,0x180123108
KERNEL32.dll,GetEnvironmentStringsW,0x180123110
KERNEL32.dll,FreeEnvironmentStringsW,0x180123118
KERNEL32.dll,ReadFile,0x180123120
KERNEL32.dll,OpenProcess,0x180123128
KERNEL32.dll,FlushFileBuffers,0x180123130
KERNEL32.dll,GetConsoleMode,0x180123138
KERNEL32.dll,GetConsoleCP,0x180123140
KERNEL32.dll,SetFilePointer,0x180123148
KERNEL32.dll,GetStartupInfoW,0x180123150
KERNEL32.dll,GetFileType,0x180123158
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x180123160
KERNEL32.dll,SetHandleCount,0x180123168
KERNEL32.dll,GetModuleFileNameW,0x180123170
KERNEL32.dll,GetStdHandle,0x180123178
KERNEL32.dll,WriteFile,0x180123180
KERNEL32.dll,LCMapStringW,0x180123188
KERNEL32.dll,RtlUnwindEx,0x180123190
KERNEL32.dll,ExitProcess,0x180123198
KERNEL32.dll,HeapSize,0x1801231a0
KERNEL32.dll,CreateThread,0x1801231a8
KERNEL32.dll,GetCurrentProcessId,0x1801231b0
KERNEL32.dll,VirtualFreeEx,0x1801231b8
KERNEL32.dll,ReleaseMutex,0x1801231c0
KERNEL32.dll,GetFileTime,0x1801231c8
KERNEL32.dll,CreateToolhelp32Snapshot,0x1801231d0
KERNEL32.dll,GetModuleFileNameA,0x1801231d8
KERNEL32.dll,ProcessIdToSessionId,0x1801231e0
KERNEL32.dll,Process32Next,0x1801231e8
KERNEL32.dll,LoadLibraryA,0x1801231f0
KERNEL32.dll,VirtualAllocEx,0x1801231f8
KERNEL32.dll,DisableThreadLibraryCalls,0x180123200
KERNEL32.dll,lstrcmpiA,0x180123208
KERNEL32.dll,SetLastError,0x180123210
KERNEL32.dll,SetStdHandle,0x180123218
KERNEL32.dll,CreateRemoteThread,0x180123220
KERNEL32.dll,WaitForSingleObject,0x180123228
KERNEL32.dll,Process32First,0x180123230
KERNEL32.dll,SetErrorMode,0x180123238
KERNEL32.dll,MoveFileExA,0x180123240
KERNEL32.dll,lstrlenA,0x180123248
KERNEL32.dll,FreeLibrary,0x180123250
KERNEL32.dll,Sleep,0x180123258
KERNEL32.dll,GetTickCount,0x180123260
KERNEL32.dll,GlobalMemoryStatus,0x180123268
KERNEL32.dll,GetModuleHandleA,0x180123270
KERNEL32.dll,CreatePipe,0x180123278
KERNEL32.dll,GetCurrentProcess,0x180123280
KERNEL32.dll,GetStartupInfoA,0x180123288
KERNEL32.dll,PeekNamedPipe,0x180123290
KERNEL32.dll,MoveFileA,0x180123298
KERNEL32.dll,GetLastError,0x1801232a0
KERNEL32.dll,LCMapStringA,0x1801232a8
KERNEL32.dll,MultiByteToWideChar,0x1801232b0
KERNEL32.dll,WideCharToMultiByte,0x1801232b8
KERNEL32.dll,GetDriveTypeA,0x1801232c0
KERNEL32.dll,SetFileTime,0x1801232c8
KERNEL32.dll,LocalAlloc,0x1801232d0
KERNEL32.dll,SetFileAttributesA,0x1801232d8
KERNEL32.dll,CopyFileA,0x1801232e0
KERNEL32.dll,WriteProcessMemory,0x1801232e8
KERNEL32.dll,CloseHandle,0x1801232f0
KERNEL32.dll,DeleteCriticalSection,0x1801232f8
KERNEL32.dll,VirtualProtectEx,0x180123300
KERNEL32.dll,EnterCriticalSection,0x180123308
KERNEL32.dll,GetProcAddress,0x180123310
KERNEL32.dll,FlushInstructionCache,0x180123318
KERNEL32.dll,LeaveCriticalSection,0x180123320
KERNEL32.dll,ReadProcessMemory,0x180123328
KERNEL32.dll,HeapDestroy,0x180123330
KERNEL32.dll,HeapCreate,0x180123338
KERNEL32.dll,GetVersion,0x180123340
KERNEL32.dll,HeapSetInformation,0x180123348
KERNEL32.dll,RtlPcToFileHeader,0x180123350
KERNEL32.dll,RaiseException,0x180123358
KERNEL32.dll,FlsAlloc,0x180123360
KERNEL32.dll,FlsFree,0x180123368
KERNEL32.dll,FlsGetValue,0x180123370
KERNEL32.dll,IsValidCodePage,0x180123378
KERNEL32.dll,GetOEMCP,0x180123380
KERNEL32.dll,GetACP,0x180123388
KERNEL32.dll,GetCPInfo,0x180123390
KERNEL32.dll,RtlCaptureContext,0x180123398
KERNEL32.dll,RtlLookupFunctionEntry,0x1801233a0
KERNEL32.dll,RtlVirtualUnwind,0x1801233a8
KERNEL32.dll,IsDebuggerPresent,0x1801233b0
KERNEL32.dll,SetUnhandledExceptionFilter,0x1801233b8
KERNEL32.dll,UnhandledExceptionFilter,0x1801233c0
KERNEL32.dll,TerminateProcess,0x1801233c8
KERNEL32.dll,FlsSetValue,0x1801233d0
KERNEL32.dll,GetCurrentThreadId,0x1801233d8
KERNEL32.dll,HeapReAlloc,0x1801233e0
KERNEL32.dll,DecodePointer,0x1801233e8
KERNEL32.dll,EncodePointer,0x1801233f0
KERNEL32.dll,LoadLibraryW,0x1801233f8
KERNEL32.dll,InitializeCriticalSection,0x180123400
KERNEL32.dll,GetModuleHandleW,0x180123408
KERNEL32.dll,SetEnvironmentVariableA,0x180123410
USER32.dll,GetCursorPos,0x180123420
USER32.dll,SystemParametersInfoA,0x180123428
USER32.dll,mouse_event,0x180123430
USER32.dll,SetClipboardData,0x180123438
USER32.dll,OpenClipboard,0x180123440
USER32.dll,SwitchDesktop,0x180123448
USER32.dll,GetDesktopWindow,0x180123450
USER32.dll,EmptyClipboard,0x180123458
USER32.dll,GetClipboardData,0x180123460
USER32.dll,MapVirtualKeyA,0x180123468
USER32.dll,CloseDesktop,0x180123470
USER32.dll,OpenInputDesktop,0x180123478
USER32.dll,OpenDesktopA,0x180123480
USER32.dll,CloseClipboard,0x180123488
USER32.dll,GetUserObjectInformationA,0x180123490
USER32.dll,keybd_event,0x180123498
USER32.dll,FindWindowA,0x1801234a0
USER32.dll,PostMessageA,0x1801234a8
USER32.dll,SetThreadDesktop,0x1801234b0
USER32.dll,OpenWindowStationA,0x1801234b8
USER32.dll,GetProcessWindowStation,0x1801234c0
USER32.dll,CloseWindowStation,0x1801234c8
USER32.dll,GetThreadDesktop,0x1801234d0
USER32.dll,SetProcessWindowStation,0x1801234d8
USER32.dll,GetClassNameA,0x1801234e0
USER32.dll,EnumDesktopWindows,0x1801234e8
USER32.dll,GetWindowRect,0x1801234f0
USER32.dll,ReleaseDC,0x1801234f8
USER32.dll,GetWindowDC,0x180123500
GDI32.dll,GetSystemPaletteEntries,0x180123510
GDI32.dll,GetBitmapBits,0x180123518
GDI32.dll,BitBlt,0x180123520
GDI32.dll,GetDIBits,0x180123528
GDI32.dll,GdiFlush,0x180123530
GDI32.dll,SetPixel,0x180123538
GDI32.dll,CreatePalette,0x180123540
GDI32.dll,CreateBitmap,0x180123548
GDI32.dll,DeleteObject,0x180123550
GDI32.dll,SelectObject,0x180123558
GDI32.dll,CreateCompatibleDC,0x180123560
GDI32.dll,CreateCompatibleBitmap,0x180123568
GDI32.dll,RealizePalette,0x180123570
GDI32.dll,SelectPalette,0x180123578
GDI32.dll,GetObjectA,0x180123580
GDI32.dll,DeleteDC,0x180123588
GDI32.dll,GetDeviceCaps,0x180123590
GDI32.dll,CreateDCA,0x180123598
ADVAPI32.dll,DuplicateTokenEx,0x1801235a8
ADVAPI32.dll,OpenProcessToken,0x1801235b0
ADVAPI32.dll,LookupPrivilegeValueA,0x1801235b8
ADVAPI32.dll,AdjustTokenPrivileges,0x1801235c0
ADVAPI32.dll,RegOpenKeyA,0x1801235c8
ADVAPI32.dll,RegCreateKeyA,0x1801235d0
ADVAPI32.dll,OpenSCManagerA,0x1801235d8
ADVAPI32.dll,StartServiceA,0x1801235e0
ADVAPI32.dll,CreateServiceA,0x1801235e8
ADVAPI32.dll,DeleteService,0x1801235f0
ADVAPI32.dll,CloseServiceHandle,0x1801235f8
ADVAPI32.dll,OpenServiceA,0x180123600
ADVAPI32.dll,GetSecurityDescriptorDacl,0x180123608
ADVAPI32.dll,LogonUserA,0x180123610
ADVAPI32.dll,FreeSid,0x180123618
ADVAPI32.dll,RevertToSelf,0x180123620
ADVAPI32.dll,AllocateAndInitializeSid,0x180123628
ADVAPI32.dll,SetKernelObjectSecurity,0x180123630
ADVAPI32.dll,MakeAbsoluteSD,0x180123638
ADVAPI32.dll,ImpersonateLoggedOnUser,0x180123640
ADVAPI32.dll,SetSecurityDescriptorDacl,0x180123648
ADVAPI32.dll,SetTokenInformation,0x180123650
ADVAPI32.dll,LookupAccountSidA,0x180123658
ADVAPI32.dll,GetKernelObjectSecurity,0x180123660
ADVAPI32.dll,GetTokenInformation,0x180123668
ADVAPI32.dll,BuildTrusteeWithSidA,0x180123670
ADVAPI32.dll,SetEntriesInAclA,0x180123678
ADVAPI32.dll,CreateProcessAsUserA,0x180123680
ADVAPI32.dll,IsTextUnicode,0x180123688
SHELL32.dll,CommandLineToArgvW,0x180123698
SHELL32.dll,SHFileOperationA,0x1801236a0
ole32.dll,CoCreateInstance,0x1801236b0
ole32.dll,CoInitialize,0x1801236b8
WS2_32.dll,getpeername,0x1801236c8
WS2_32.dll,send,0x1801236d0
WS2_32.dll,__WSAFDIsSet,0x1801236d8
WS2_32.dll,shutdown,0x1801236e0
