dll,name,address
KERNEL32.dll,CreateProcessA,0x413074
KERNEL32.dll,GetSystemDirectoryA,0x413078
KERNEL32.dll,GetTempFileNameA,0x41307c
KERNEL32.dll,GetVersionExA,0x413080
KERNEL32.dll,WideCharToMultiByte,0x413084
KERNEL32.dll,GetProcAddress,0x413088
KERNEL32.dll,LoadLibraryA,0x41308c
KERNEL32.dll,lstrcpynA,0x413090
KERNEL32.dll,GetPrivateProfileStringA,0x413094
KERNEL32.dll,GetPrivateProfileSectionNamesA,0x413098
KERNEL32.dll,MultiByteToWideChar,0x41309c
KERNEL32.dll,IsDebuggerPresent,0x4130a0
KERNEL32.dll,lstrlenW,0x4130a4
KERNEL32.dll,lstrcpyA,0x4130a8
KERNEL32.dll,SetLastError,0x4130ac
KERNEL32.dll,FreeLibrary,0x4130b0
KERNEL32.dll,WinExec,0x4130b4
KERNEL32.dll,OpenProcess,0x4130b8
KERNEL32.dll,WriteFile,0x4130bc
KERNEL32.dll,CreateFileA,0x4130c0
KERNEL32.dll,UnmapViewOfFile,0x4130c4
KERNEL32.dll,MapViewOfFile,0x4130c8
KERNEL32.dll,CreateFileMappingA,0x4130cc
KERNEL32.dll,GetFileSize,0x4130d0
KERNEL32.dll,FindClose,0x4130d4
KERNEL32.dll,FindNextFileA,0x4130d8
KERNEL32.dll,FindFirstFileA,0x4130dc
KERNEL32.dll,ExpandEnvironmentStringsA,0x4130e0
KERNEL32.dll,CreateThread,0x4130e4
KERNEL32.dll,HeapCreate,0x4130e8
KERNEL32.dll,HeapDestroy,0x4130ec
KERNEL32.dll,HeapReAlloc,0x4130f0
KERNEL32.dll,GetLastError,0x4130f4
KERNEL32.dll,GetVolumeInformationA,0x4130f8
KERNEL32.dll,GetWindowsDirectoryA,0x4130fc
KERNEL32.dll,GetEnvironmentVariableA,0x413100
KERNEL32.dll,GetCurrentProcess,0x413104
KERNEL32.dll,ReadFile,0x413108
KERNEL32.dll,DuplicateHandle,0x41310c
KERNEL32.dll,CreatePipe,0x413110
KERNEL32.dll,GetStdHandle,0x413114
KERNEL32.dll,GetTickCount,0x413118
KERNEL32.dll,ExitProcess,0x41311c
KERNEL32.dll,CreateNamedPipeA,0x413120
KERNEL32.dll,GetShortPathNameA,0x413124
KERNEL32.dll,SetErrorMode,0x413128
KERNEL32.dll,SetPriorityClass,0x41312c
KERNEL32.dll,OutputDebugStringA,0x413130
KERNEL32.dll,GetCurrentThreadId,0x413134
KERNEL32.dll,GetProcessHeap,0x413138
KERNEL32.dll,HeapFree,0x41313c
KERNEL32.dll,SetFilePointer,0x413140
KERNEL32.dll,MoveFileA,0x413144
KERNEL32.dll,CompareStringA,0x413148
KERNEL32.dll,lstrcmpiA,0x41314c
KERNEL32.dll,CompareStringW,0x413150
KERNEL32.dll,GetProcessTimes,0x413154
KERNEL32.dll,DeleteFileA,0x413158
KERNEL32.dll,WaitForSingleObject,0x41315c
KERNEL32.dll,CreateToolhelp32Snapshot,0x413160
KERNEL32.dll,CloseHandle,0x413164
KERNEL32.dll,Thread32First,0x413168
KERNEL32.dll,Thread32Next,0x41316c
KERNEL32.dll,lstrcatA,0x413170
KERNEL32.dll,lstrcmpA,0x413174
KERNEL32.dll,Sleep,0x413178
KERNEL32.dll,GetFileAttributesA,0x41317c
KERNEL32.dll,GetFileTime,0x413180
KERNEL32.dll,FileTimeToSystemTime,0x413184
KERNEL32.dll,lstrlenA,0x413188
KERNEL32.dll,GlobalFree,0x41318c
KERNEL32.dll,LocalFree,0x413190
KERNEL32.dll,GetSystemInfo,0x413194
KERNEL32.dll,GetLogicalDrives,0x413198
KERNEL32.dll,GetDriveTypeA,0x41319c
KERNEL32.dll,GetDiskFreeSpaceA,0x4131a0
KERNEL32.dll,GetSystemTime,0x4131a4
KERNEL32.dll,GetComputerNameA,0x4131a8
KERNEL32.dll,GlobalAlloc,0x4131ac
KERNEL32.dll,GetACP,0x4131b0
KERNEL32.dll,GetOEMCP,0x4131b4
KERNEL32.dll,GetCurrentDirectoryA,0x4131b8
KERNEL32.dll,GetTempPathA,0x4131bc
KERNEL32.dll,GetModuleHandleA,0x4131c0
KERNEL32.dll,HeapAlloc,0x4131c4
KERNEL32.dll,GetModuleFileNameA,0x4131c8
USER32.dll,EnumThreadWindows,0x41320c
USER32.dll,ShowWindow,0x413210
USER32.dll,MessageBoxA,0x413214
USER32.dll,EnumDisplaySettingsA,0x413218
USER32.dll,GetSystemMetrics,0x41321c
USER32.dll,wsprintfA,0x413220
USER32.dll,wvsprintfA,0x413224
USER32.dll,LockSetForegroundWindow,0x413228
USER32.dll,CharLowerBuffA,0x41322c
USER32.dll,CharUpperBuffA,0x413230
USER32.dll,GetKeyboardLayoutNameA,0x413234
ADVAPI32.dll,CryptHashData,0x413000
ADVAPI32.dll,CryptDecrypt,0x413004
ADVAPI32.dll,CryptDestroyKey,0x413008
ADVAPI32.dll,CryptDestroyHash,0x41300c
ADVAPI32.dll,CryptReleaseContext,0x413010
ADVAPI32.dll,RegEnumValueW,0x413014
ADVAPI32.dll,RegQueryValueExW,0x413018
ADVAPI32.dll,RegEnumValueA,0x41301c
ADVAPI32.dll,RegOpenKeyExA,0x413020
ADVAPI32.dll,RegQueryInfoKeyA,0x413024
ADVAPI32.dll,RegEnumKeyExA,0x413028
ADVAPI32.dll,RegOpenKeyA,0x41302c
ADVAPI32.dll,RegEnumKeyA,0x413030
ADVAPI32.dll,RegQueryValueExA,0x413034
ADVAPI32.dll,RegCloseKey,0x413038
ADVAPI32.dll,GetUserNameA,0x41303c
ADVAPI32.dll,CryptCreateHash,0x413040
ADVAPI32.dll,CryptAcquireContextA,0x413044
ADVAPI32.dll,OpenProcessToken,0x413048
ADVAPI32.dll,RegSetValueExA,0x41304c
ADVAPI32.dll,RegCreateKeyA,0x413050
ADVAPI32.dll,RegDeleteValueA,0x413054
ADVAPI32.dll,AdjustTokenPrivileges,0x413058
ADVAPI32.dll,LookupPrivilegeValueA,0x41305c
ADVAPI32.dll,CryptGenRandom,0x413060
ADVAPI32.dll,CryptDeriveKey,0x413064
OLEAUT32.dll,SysAllocString,0x4131d0
OLEAUT32.dll,SafeArrayPutElement,0x4131d4
OLEAUT32.dll,SafeArrayCreate,0x4131d8
OLEAUT32.dll,VariantInit,0x4131dc
OLEAUT32.dll,SysFreeString,0x4131e0
SHELL32.dll,SHGetSpecialFolderPathA,0x4131f4
SHELL32.dll,SHGetFolderPathA,0x4131f8
SHELL32.dll,,0x4131fc
ole32.dll,CoCreateInstance,0x413258
ole32.dll,OleInitialize,0x41325c
ole32.dll,CoTaskMemFree,0x413260
PSAPI.DLL,EnumProcesses,0x4131e8
PSAPI.DLL,GetModuleFileNameExA,0x4131ec
SHLWAPI.dll,StrStrIA,0x413204
CRYPT32.dll,CryptUnprotectData,0x41306c
iphlpapi.dll,GetNetworkParams,0x413250
WS2_32.dll,WSAStartup,0x41323c
WS2_32.dll,gethostname,0x413240
WS2_32.dll,gethostbyname,0x413244
WS2_32.dll,inet_ntoa,0x413248
urlmon.dll,URLDownloadToFileA,0x413268
