dll,name,address
KERNEL32.dll,GetTickCount,0x407060
KERNEL32.dll,GetFullPathNameA,0x407064
KERNEL32.dll,MoveFileA,0x407068
KERNEL32.dll,SetCurrentDirectoryA,0x40706c
KERNEL32.dll,GetFileAttributesA,0x407070
KERNEL32.dll,GetLastError,0x407074
KERNEL32.dll,CreateDirectoryA,0x407078
KERNEL32.dll,SetFileAttributesA,0x40707c
KERNEL32.dll,SearchPathA,0x407080
KERNEL32.dll,GetShortPathNameA,0x407084
KERNEL32.dll,CreateFileA,0x407088
KERNEL32.dll,GetFileSize,0x40708c
KERNEL32.dll,GetModuleFileNameA,0x407090
KERNEL32.dll,ReadFile,0x407094
KERNEL32.dll,GetCurrentProcess,0x407098
KERNEL32.dll,CopyFileA,0x40709c
KERNEL32.dll,ExitProcess,0x4070a0
KERNEL32.dll,SetEnvironmentVariableA,0x4070a4
KERNEL32.dll,Sleep,0x4070a8
KERNEL32.dll,CloseHandle,0x4070ac
KERNEL32.dll,GetCommandLineA,0x4070b0
KERNEL32.dll,SetErrorMode,0x4070b4
KERNEL32.dll,LoadLibraryA,0x4070b8
KERNEL32.dll,lstrlenA,0x4070bc
KERNEL32.dll,lstrcpynA,0x4070c0
KERNEL32.dll,GetDiskFreeSpaceA,0x4070c4
KERNEL32.dll,GlobalUnlock,0x4070c8
KERNEL32.dll,GlobalLock,0x4070cc
KERNEL32.dll,CreateThread,0x4070d0
KERNEL32.dll,CreateProcessA,0x4070d4
KERNEL32.dll,RemoveDirectoryA,0x4070d8
KERNEL32.dll,GetTempFileNameA,0x4070dc
KERNEL32.dll,lstrcpyA,0x4070e0
KERNEL32.dll,lstrcatA,0x4070e4
KERNEL32.dll,GetSystemDirectoryA,0x4070e8
KERNEL32.dll,GetVersion,0x4070ec
KERNEL32.dll,GetProcAddress,0x4070f0
KERNEL32.dll,GlobalAlloc,0x4070f4
KERNEL32.dll,CompareFileTime,0x4070f8
KERNEL32.dll,SetFileTime,0x4070fc
KERNEL32.dll,ExpandEnvironmentStringsA,0x407100
KERNEL32.dll,lstrcmpiA,0x407104
KERNEL32.dll,lstrcmpA,0x407108
KERNEL32.dll,WaitForSingleObject,0x40710c
KERNEL32.dll,GlobalFree,0x407110
KERNEL32.dll,GetExitCodeProcess,0x407114
KERNEL32.dll,GetModuleHandleA,0x407118
KERNEL32.dll,GetTempPathA,0x40711c
KERNEL32.dll,GetWindowsDirectoryA,0x407120
KERNEL32.dll,LoadLibraryExA,0x407124
KERNEL32.dll,FindFirstFileA,0x407128
KERNEL32.dll,FindNextFileA,0x40712c
KERNEL32.dll,DeleteFileA,0x407130
KERNEL32.dll,SetFilePointer,0x407134
KERNEL32.dll,WriteFile,0x407138
KERNEL32.dll,FindClose,0x40713c
KERNEL32.dll,WritePrivateProfileStringA,0x407140
KERNEL32.dll,MultiByteToWideChar,0x407144
KERNEL32.dll,MulDiv,0x407148
KERNEL32.dll,GetPrivateProfileStringA,0x40714c
KERNEL32.dll,FreeLibrary,0x407150
USER32.dll,CreateWindowExA,0x407174
USER32.dll,EndDialog,0x407178
USER32.dll,ScreenToClient,0x40717c
USER32.dll,GetWindowRect,0x407180
USER32.dll,EnableMenuItem,0x407184
USER32.dll,GetSystemMenu,0x407188
USER32.dll,SetClassLongA,0x40718c
USER32.dll,IsWindowEnabled,0x407190
USER32.dll,SetWindowPos,0x407194
USER32.dll,GetSysColor,0x407198
USER32.dll,GetWindowLongA,0x40719c
USER32.dll,SetCursor,0x4071a0
USER32.dll,LoadCursorA,0x4071a4
USER32.dll,CheckDlgButton,0x4071a8
USER32.dll,GetMessagePos,0x4071ac
USER32.dll,LoadBitmapA,0x4071b0
USER32.dll,CallWindowProcA,0x4071b4
USER32.dll,IsWindowVisible,0x4071b8
USER32.dll,CloseClipboard,0x4071bc
USER32.dll,GetDC,0x4071c0
USER32.dll,SystemParametersInfoA,0x4071c4
USER32.dll,RegisterClassA,0x4071c8
USER32.dll,TrackPopupMenu,0x4071cc
USER32.dll,AppendMenuA,0x4071d0
USER32.dll,CreatePopupMenu,0x4071d4
USER32.dll,GetSystemMetrics,0x4071d8
USER32.dll,SetDlgItemTextA,0x4071dc
USER32.dll,GetDlgItemTextA,0x4071e0
USER32.dll,MessageBoxIndirectA,0x4071e4
USER32.dll,CharPrevA,0x4071e8
USER32.dll,DispatchMessageA,0x4071ec
USER32.dll,PeekMessageA,0x4071f0
USER32.dll,ReleaseDC,0x4071f4
USER32.dll,EnableWindow,0x4071f8
USER32.dll,InvalidateRect,0x4071fc
USER32.dll,SendMessageA,0x407200
USER32.dll,DefWindowProcA,0x407204
USER32.dll,BeginPaint,0x407208
USER32.dll,GetClientRect,0x40720c
USER32.dll,FillRect,0x407210
USER32.dll,DrawTextA,0x407214
USER32.dll,GetClassInfoA,0x407218
USER32.dll,DialogBoxParamA,0x40721c
USER32.dll,CharNextA,0x407220
USER32.dll,ExitWindowsEx,0x407224
USER32.dll,DestroyWindow,0x407228
USER32.dll,CreateDialogParamA,0x40722c
USER32.dll,SetTimer,0x407230
USER32.dll,GetDlgItem,0x407234
USER32.dll,wsprintfA,0x407238
USER32.dll,SetForegroundWindow,0x40723c
USER32.dll,ShowWindow,0x407240
USER32.dll,IsWindow,0x407244
USER32.dll,LoadImageA,0x407248
USER32.dll,SetWindowLongA,0x40724c
USER32.dll,SetClipboardData,0x407250
USER32.dll,EmptyClipboard,0x407254
USER32.dll,OpenClipboard,0x407258
USER32.dll,EndPaint,0x40725c
USER32.dll,PostQuitMessage,0x407260
USER32.dll,FindWindowExA,0x407264
USER32.dll,SendMessageTimeoutA,0x407268
USER32.dll,SetWindowTextA,0x40726c
GDI32.dll,SelectObject,0x40703c
GDI32.dll,SetBkMode,0x407040
GDI32.dll,CreateFontIndirectA,0x407044
GDI32.dll,SetTextColor,0x407048
GDI32.dll,DeleteObject,0x40704c
GDI32.dll,GetDeviceCaps,0x407050
GDI32.dll,CreateBrushIndirect,0x407054
GDI32.dll,SetBkColor,0x407058
SHELL32.dll,SHGetSpecialFolderLocation,0x407158
SHELL32.dll,SHGetPathFromIDListA,0x40715c
SHELL32.dll,SHBrowseForFolderA,0x407160
SHELL32.dll,SHGetFileInfoA,0x407164
SHELL32.dll,ShellExecuteA,0x407168
SHELL32.dll,SHFileOperationA,0x40716c
ADVAPI32.dll,RegCloseKey,0x407000
ADVAPI32.dll,RegOpenKeyExA,0x407004
ADVAPI32.dll,RegDeleteKeyA,0x407008
ADVAPI32.dll,RegDeleteValueA,0x40700c
ADVAPI32.dll,RegEnumValueA,0x407010
ADVAPI32.dll,RegCreateKeyExA,0x407014
ADVAPI32.dll,RegSetValueExA,0x407018
ADVAPI32.dll,RegQueryValueExA,0x40701c
ADVAPI32.dll,RegEnumKeyA,0x407020
COMCTL32.dll,ImageList_Create,0x407028
COMCTL32.dll,ImageList_AddMasked,0x40702c
COMCTL32.dll,ImageList_Destroy,0x407030
COMCTL32.dll,,0x407034
ole32.dll,CoCreateInstance,0x407284
ole32.dll,CoTaskMemFree,0x407288
ole32.dll,OleInitialize,0x40728c
ole32.dll,OleUninitialize,0x407290
VERSION.dll,GetFileVersionInfoSizeA,0x407274
VERSION.dll,GetFileVersionInfoA,0x407278
VERSION.dll,VerQueryValueA,0x40727c
