dll,name,address
KERNEL32.DLL,LoadLibraryA,0x4314e0
KERNEL32.DLL,GetProcAddress,0x4314e4
KERNEL32.DLL,VirtualProtect,0x4314e8
KERNEL32.DLL,VirtualAlloc,0x4314ec
KERNEL32.DLL,VirtualFree,0x4314f0
KERNEL32.DLL,ExitProcess,0x4314f4
ADVAPI32.dll,FreeSid,0x4314fc
CRYPT32.dll,CertOpenStore,0x431504
iphlpapi.dll,GetAdaptersInfo,0x43150c
ole32.dll,CoInitialize,0x431514
OLEAUT32.dll,SafeArrayPutElement,0x43151c
PSAPI.DLL,GetModuleFileNameExW,0x431524
RPCRT4.dll,UuidCreate,0x43152c
Secur32.dll,GetComputerObjectNameW,0x431534
SHELL32.dll,SHGetFolderPathW,0x43153c
USER32.dll,wsprintfA,0x431544
WININET.dll,InternetGetConnectedState,0x43154c
WS2_32.dll,recv,0x431554
WTSAPI32.dll,WTSFreeMemory,0x43155c
