dll,name,address
KERNEL32.dll,GetModuleFileNameA,0x41d000
KERNEL32.dll,WideCharToMultiByte,0x41d004
KERNEL32.dll,MultiByteToWideChar,0x41d008
KERNEL32.dll,Sleep,0x41d00c
KERNEL32.dll,CreateThread,0x41d010
KERNEL32.dll,CloseHandle,0x41d014
KERNEL32.dll,CreateProcessA,0x41d018
KERNEL32.dll,GetStartupInfoA,0x41d01c
KERNEL32.dll,CreatePipe,0x41d020
KERNEL32.dll,ReadFile,0x41d024
KERNEL32.dll,TerminateProcess,0x41d028
KERNEL32.dll,WriteFile,0x41d02c
KERNEL32.dll,WritePrivateProfileStringA,0x41d030
KERNEL32.dll,GetPrivateProfileStringA,0x41d034
KERNEL32.dll,GlobalFree,0x41d038
KERNEL32.dll,GetLastError,0x41d03c
KERNEL32.dll,LoadLibraryA,0x41d040
KERNEL32.dll,CreateFileW,0x41d044
KERNEL32.dll,SetEnvironmentVariableA,0x41d048
KERNEL32.dll,CompareStringW,0x41d04c
KERNEL32.dll,CompareStringA,0x41d050
KERNEL32.dll,CreateFileA,0x41d054
KERNEL32.dll,FlushFileBuffers,0x41d058
KERNEL32.dll,SetStdHandle,0x41d05c
KERNEL32.dll,GetStringTypeW,0x41d060
KERNEL32.dll,GetStringTypeA,0x41d064
KERNEL32.dll,LCMapStringW,0x41d068
KERNEL32.dll,LCMapStringA,0x41d06c
KERNEL32.dll,IsBadCodePtr,0x41d070
KERNEL32.dll,IsBadReadPtr,0x41d074
KERNEL32.dll,SetUnhandledExceptionFilter,0x41d078
KERNEL32.dll,IsBadWritePtr,0x41d07c
KERNEL32.dll,VirtualAlloc,0x41d080
KERNEL32.dll,VirtualFree,0x41d084
KERNEL32.dll,HeapCreate,0x41d088
KERNEL32.dll,RtlUnwind,0x41d08c
KERNEL32.dll,GetTimeZoneInformation,0x41d090
KERNEL32.dll,GetSystemTime,0x41d094
KERNEL32.dll,GetLocalTime,0x41d098
KERNEL32.dll,ExitProcess,0x41d09c
KERNEL32.dll,GetCurrentProcess,0x41d0a0
KERNEL32.dll,GetCommandLineA,0x41d0a4
KERNEL32.dll,GetVersion,0x41d0a8
KERNEL32.dll,HeapFree,0x41d0ac
KERNEL32.dll,RaiseException,0x41d0b0
KERNEL32.dll,HeapAlloc,0x41d0b4
KERNEL32.dll,GetCPInfo,0x41d0b8
KERNEL32.dll,GetACP,0x41d0bc
KERNEL32.dll,GetOEMCP,0x41d0c0
KERNEL32.dll,HeapReAlloc,0x41d0c4
KERNEL32.dll,HeapSize,0x41d0c8
KERNEL32.dll,SetFilePointer,0x41d0cc
KERNEL32.dll,GetProcAddress,0x41d0d0
KERNEL32.dll,GetModuleHandleA,0x41d0d4
KERNEL32.dll,UnhandledExceptionFilter,0x41d0d8
KERNEL32.dll,FreeEnvironmentStringsA,0x41d0dc
KERNEL32.dll,FreeEnvironmentStringsW,0x41d0e0
KERNEL32.dll,GetEnvironmentStrings,0x41d0e4
KERNEL32.dll,GetEnvironmentStringsW,0x41d0e8
KERNEL32.dll,SetHandleCount,0x41d0ec
KERNEL32.dll,GetStdHandle,0x41d0f0
KERNEL32.dll,GetFileType,0x41d0f4
KERNEL32.dll,GetEnvironmentVariableA,0x41d0f8
KERNEL32.dll,GetVersionExA,0x41d0fc
KERNEL32.dll,HeapDestroy,0x41d100
KERNEL32.dll,SetEndOfFile,0x41d104
WINHTTP.dll,WinHttpCloseHandle,0x41d10c
WINHTTP.dll,WinHttpReadData,0x41d110
WINHTTP.dll,WinHttpOpen,0x41d114
WINHTTP.dll,WinHttpSetTimeouts,0x41d118
WINHTTP.dll,WinHttpCrackUrl,0x41d11c
WINHTTP.dll,WinHttpConnect,0x41d120
WINHTTP.dll,WinHttpOpenRequest,0x41d124
WINHTTP.dll,WinHttpSetOption,0x41d128
WINHTTP.dll,WinHttpAddRequestHeaders,0x41d12c
WINHTTP.dll,WinHttpSendRequest,0x41d130
WINHTTP.dll,WinHttpGetIEProxyConfigForCurrentUser,0x41d134
WINHTTP.dll,WinHttpGetProxyForUrl,0x41d138
WINHTTP.dll,WinHttpWriteData,0x41d13c
WINHTTP.dll,WinHttpReceiveResponse,0x41d140
WINHTTP.dll,WinHttpQueryHeaders,0x41d144
WINHTTP.dll,WinHttpQueryDataAvailable,0x41d148
WS2_32.dll,WSAStartup,0x41d150
WS2_32.dll,gethostname,0x41d154
