dll,name,address
KERNEL32.dll,GetModuleFileNameA,0x41006c
KERNEL32.dll,GetLongPathNameA,0x410070
KERNEL32.dll,CreateMutexA,0x410074
KERNEL32.dll,OpenMutexA,0x410078
KERNEL32.dll,Process32Next,0x41007c
KERNEL32.dll,Process32First,0x410080
KERNEL32.dll,CreateToolhelp32Snapshot,0x410084
KERNEL32.dll,SizeofResource,0x410088
KERNEL32.dll,LockResource,0x41008c
KERNEL32.dll,LoadResource,0x410090
KERNEL32.dll,FindResourceA,0x410094
KERNEL32.dll,GetLocaleInfoA,0x410098
KERNEL32.dll,Process32NextW,0x41009c
KERNEL32.dll,Process32FirstW,0x4100a0
KERNEL32.dll,lstrlenA,0x4100a4
KERNEL32.dll,GetDriveTypeA,0x4100a8
KERNEL32.dll,CreateProcessA,0x4100ac
KERNEL32.dll,GetTickCount,0x4100b0
KERNEL32.dll,GlobalUnlock,0x4100b4
KERNEL32.dll,GlobalLock,0x4100b8
KERNEL32.dll,GlobalAlloc,0x4100bc
KERNEL32.dll,WinExec,0x4100c0
KERNEL32.dll,GetCurrentProcessId,0x4100c4
KERNEL32.dll,CreateDirectoryW,0x4100c8
KERNEL32.dll,CopyFileA,0x4100cc
KERNEL32.dll,GetFileAttributesW,0x4100d0
KERNEL32.dll,GetLogicalDriveStringsA,0x4100d4
KERNEL32.dll,GetCurrentProcess,0x4100d8
KERNEL32.dll,ResumeThread,0x4100dc
KERNEL32.dll,SetThreadContext,0x4100e0
KERNEL32.dll,WriteProcessMemory,0x4100e4
KERNEL32.dll,VirtualAllocEx,0x4100e8
KERNEL32.dll,ReadProcessMemory,0x4100ec
KERNEL32.dll,GetThreadContext,0x4100f0
KERNEL32.dll,VirtualAlloc,0x4100f4
KERNEL32.dll,GlobalFree,0x4100f8
KERNEL32.dll,LocalAlloc,0x4100fc
KERNEL32.dll,TerminateProcess,0x410100
KERNEL32.dll,ReadFile,0x410104
KERNEL32.dll,PeekNamedPipe,0x410108
KERNEL32.dll,GetStdHandle,0x41010c
KERNEL32.dll,CreatePipe,0x410110
KERNEL32.dll,OpenProcess,0x410114
KERNEL32.dll,DuplicateHandle,0x410118
KERNEL32.dll,GetCurrentThread,0x41011c
KERNEL32.dll,lstrcpynA,0x410120
KERNEL32.dll,ExitProcess,0x410124
KERNEL32.dll,AllocConsole,0x410128
KERNEL32.dll,GetStartupInfoA,0x41012c
KERNEL32.dll,ExpandEnvironmentStringsA,0x410130
KERNEL32.dll,FindFirstFileA,0x410134
KERNEL32.dll,FindNextFileA,0x410138
KERNEL32.dll,GetLastError,0x41013c
KERNEL32.dll,LoadLibraryA,0x410140
