dll,name,address
kernel32.dll,DeleteCriticalSection,0x499140
kernel32.dll,LeaveCriticalSection,0x499144
kernel32.dll,EnterCriticalSection,0x499148
kernel32.dll,InitializeCriticalSection,0x49914c
kernel32.dll,VirtualFree,0x499150
kernel32.dll,VirtualAlloc,0x499154
kernel32.dll,LocalFree,0x499158
kernel32.dll,LocalAlloc,0x49915c
kernel32.dll,GetVersion,0x499160
kernel32.dll,GetCurrentThreadId,0x499164
kernel32.dll,InterlockedDecrement,0x499168
kernel32.dll,InterlockedIncrement,0x49916c
kernel32.dll,VirtualQuery,0x499170
kernel32.dll,WideCharToMultiByte,0x499174
kernel32.dll,MultiByteToWideChar,0x499178
kernel32.dll,lstrlenA,0x49917c
kernel32.dll,lstrcpynA,0x499180
kernel32.dll,LoadLibraryExA,0x499184
kernel32.dll,GetThreadLocale,0x499188
kernel32.dll,GetStartupInfoA,0x49918c
kernel32.dll,GetProcAddress,0x499190
kernel32.dll,GetModuleHandleA,0x499194
kernel32.dll,GetModuleFileNameA,0x499198
kernel32.dll,GetLocaleInfoA,0x49919c
kernel32.dll,GetCommandLineA,0x4991a0
kernel32.dll,FreeLibrary,0x4991a4
kernel32.dll,FindFirstFileA,0x4991a8
kernel32.dll,FindClose,0x4991ac
kernel32.dll,ExitProcess,0x4991b0
kernel32.dll,ExitThread,0x4991b4
kernel32.dll,CreateThread,0x4991b8
kernel32.dll,WriteFile,0x4991bc
kernel32.dll,UnhandledExceptionFilter,0x4991c0
kernel32.dll,RtlUnwind,0x4991c4
kernel32.dll,RaiseException,0x4991c8
kernel32.dll,GetStdHandle,0x4991cc
user32.dll,GetKeyboardType,0x4991d4
user32.dll,LoadStringA,0x4991d8
user32.dll,MessageBoxA,0x4991dc
user32.dll,CharNextA,0x4991e0
advapi32.dll,RegQueryValueExA,0x4991e8
advapi32.dll,RegOpenKeyExA,0x4991ec
advapi32.dll,RegCloseKey,0x4991f0
oleaut32.dll,SysFreeString,0x4991f8
oleaut32.dll,SysReAllocStringLen,0x4991fc
oleaut32.dll,SysAllocStringLen,0x499200
kernel32.dll,TlsSetValue,0x499208
kernel32.dll,TlsGetValue,0x49920c
kernel32.dll,LocalAlloc,0x499210
kernel32.dll,GetModuleHandleA,0x499214
advapi32.dll,RegQueryValueExA,0x49921c
advapi32.dll,RegOpenKeyExA,0x499220
advapi32.dll,RegCloseKey,0x499224
kernel32.dll,lstrcpyA,0x49922c
kernel32.dll,lstrcmpA,0x499230
kernel32.dll,WriteFile,0x499234
kernel32.dll,WinExec,0x499238
kernel32.dll,WaitForSingleObject,0x49923c
kernel32.dll,VirtualQuery,0x499240
kernel32.dll,VirtualProtect,0x499244
kernel32.dll,VirtualFree,0x499248
kernel32.dll,VirtualAlloc,0x49924c
kernel32.dll,SleepEx,0x499250
kernel32.dll,Sleep,0x499254
kernel32.dll,SizeofResource,0x499258
kernel32.dll,SetThreadLocale,0x49925c
kernel32.dll,SetFilePointer,0x499260
kernel32.dll,SetEvent,0x499264
kernel32.dll,SetErrorMode,0x499268
kernel32.dll,SetEndOfFile,0x49926c
kernel32.dll,ResumeThread,0x499270
kernel32.dll,ResetEvent,0x499274
kernel32.dll,ReadFile,0x499278
kernel32.dll,MulDiv,0x49927c
kernel32.dll,LockResource,0x499280
kernel32.dll,LoadResource,0x499284
kernel32.dll,LoadLibraryA,0x499288
kernel32.dll,LeaveCriticalSection,0x49928c
kernel32.dll,InitializeCriticalSection,0x499290
kernel32.dll,GlobalUnlock,0x499294
kernel32.dll,GlobalReAlloc,0x499298
kernel32.dll,GlobalHandle,0x49929c
kernel32.dll,GlobalLock,0x4992a0
kernel32.dll,GlobalFree,0x4992a4
kernel32.dll,GlobalFindAtomA,0x4992a8
kernel32.dll,GlobalDeleteAtom,0x4992ac
kernel32.dll,GlobalAlloc,0x4992b0
kernel32.dll,GlobalAddAtomA,0x4992b4
kernel32.dll,GetVersionExA,0x4992b8
kernel32.dll,GetVersion,0x4992bc
kernel32.dll,GetTimeZoneInformation,0x4992c0
kernel32.dll,GetTickCount,0x4992c4
kernel32.dll,GetThreadLocale,0x4992c8
kernel32.dll,GetTempPathA,0x4992cc
kernel32.dll,GetTempFileNameA,0x4992d0
kernel32.dll,GetSystemInfo,0x4992d4
kernel32.dll,GetStringTypeExA,0x4992d8
kernel32.dll,GetStdHandle,0x4992dc
kernel32.dll,GetProcAddress,0x4992e0
kernel32.dll,GetModuleHandleA,0x4992e4
kernel32.dll,GetModuleFileNameA,0x4992e8
kernel32.dll,GetLocaleInfoA,0x4992ec
kernel32.dll,GetLocalTime,0x4992f0
kernel32.dll,GetLastError,0x4992f4
kernel32.dll,GetFullPathNameA,0x4992f8
kernel32.dll,GetFileSize,0x4992fc
kernel32.dll,GetExitCodeThread,0x499300
kernel32.dll,GetDiskFreeSpaceA,0x499304
kernel32.dll,GetDateFormatA,0x499308
kernel32.dll,GetCurrentThreadId,0x49930c
kernel32.dll,GetCurrentProcessId,0x499310
kernel32.dll,GetCPInfo,0x499314
kernel32.dll,GetACP,0x499318
kernel32.dll,FreeResource,0x49931c
kernel32.dll,InterlockedIncrement,0x499320
kernel32.dll,InterlockedExchange,0x499324
kernel32.dll,InterlockedDecrement,0x499328
kernel32.dll,FreeLibrary,0x49932c
kernel32.dll,FormatMessageA,0x499330
kernel32.dll,FindResourceA,0x499334
kernel32.dll,FindFirstFileA,0x499338
kernel32.dll,FindClose,0x49933c
kernel32.dll,FileTimeToLocalFileTime,0x499340
kernel32.dll,FileTimeToDosDateTime,0x499344
kernel32.dll,EnumCalendarInfoA,0x499348
kernel32.dll,EnterCriticalSection,0x49934c
kernel32.dll,DeleteFileA,0x499350
kernel32.dll,DeleteCriticalSection,0x499354
kernel32.dll,CreateThread,0x499358
kernel32.dll,CreateFileA,0x49935c
kernel32.dll,CreateEventA,0x499360
kernel32.dll,CompareStringA,0x499364
kernel32.dll,CloseHandle,0x499368
version.dll,VerQueryValueA,0x499370
version.dll,GetFileVersionInfoSizeA,0x499374
version.dll,GetFileVersionInfoA,0x499378
gdi32.dll,UnrealizeObject,0x499380
gdi32.dll,StretchBlt,0x499384
gdi32.dll,SetWindowOrgEx,0x499388
gdi32.dll,SetViewportOrgEx,0x49938c
gdi32.dll,SetTextColor,0x499390
gdi32.dll,SetStretchBltMode,0x499394
gdi32.dll,SetROP2,0x499398
gdi32.dll,SetPixel,0x49939c
gdi32.dll,SetDIBColorTable,0x4993a0
gdi32.dll,SetBrushOrgEx,0x4993a4
gdi32.dll,SetBkMode,0x4993a8
gdi32.dll,SetBkColor,0x4993ac
