dll,name,address
MSVCRT.dll,__dllonexit,0x1005f138
MSVCRT.dll,_onexit,0x1005f13c
MSVCRT.dll,_initterm,0x1005f140
MSVCRT.dll,_adjust_fdiv,0x1005f144
MSVCRT.dll,??1type_info@@UAE@XZ,0x1005f148
MSVCRT.dll,_stat,0x1005f14c
MSVCRT.dll,_vsnprintf,0x1005f150
MSVCRT.dll,_strtime,0x1005f154
MSVCRT.dll,strcpy,0x1005f158
MSVCRT.dll,_strdate,0x1005f15c
MSVCRT.dll,_iob,0x1005f160
MSVCRT.dll,strncat,0x1005f164
MSVCRT.dll,fprintf,0x1005f168
MSVCRT.dll,fwprintf,0x1005f16c
MSVCRT.dll,strchr,0x1005f170
MSVCRT.dll,_ftol,0x1005f174
MSVCRT.dll,fopen,0x1005f178
MSVCRT.dll,fread,0x1005f17c
MSVCRT.dll,wcslen,0x1005f180
MSVCRT.dll,fseek,0x1005f184
MSVCRT.dll,fwrite,0x1005f188
MSVCRT.dll,fclose,0x1005f18c
MSVCRT.dll,rand,0x1005f190
MSVCRT.dll,atol,0x1005f194
MSVCRT.dll,time,0x1005f198
MSVCRT.dll,srand,0x1005f19c
MSVCRT.dll,memcmp,0x1005f1a0
MSVCRT.dll,atof,0x1005f1a4
MSVCRT.dll,memcpy,0x1005f1a8
MSVCRT.dll,_atoi64,0x1005f1ac
MSVCRT.dll,strstr,0x1005f1b0
MSVCRT.dll,signal,0x1005f1b4
MSVCRT.dll,fputs,0x1005f1b8
MSVCRT.dll,strtoul,0x1005f1bc
MSVCRT.dll,gmtime,0x1005f1c0
MSVCRT.dll,sscanf,0x1005f1c4
MSVCRT.dll,isupper,0x1005f1c8
MSVCRT.dll,tolower,0x1005f1cc
MSVCRT.dll,_fileno,0x1005f1d0
MSVCRT.dll,atoi,0x1005f1d4
MSVCRT.dll,strncpy,0x1005f1d8
MSVCRT.dll,wcstombs,0x1005f1dc
MSVCRT.dll,_CxxThrowException,0x1005f1e0
MSVCRT.dll,_EH_prolog,0x1005f1e4
MSVCRT.dll,__CxxFrameHandler,0x1005f1e8
MSVCRT.dll,_snprintf,0x1005f1ec
MSVCRT.dll,_except_handler3,0x1005f1f0
MSVCRT.dll,??2@YAPAXI@Z,0x1005f1f4
MSVCRT.dll,??3@YAXPAX@Z,0x1005f1f8
MSVCRT.dll,strlen,0x1005f1fc
MSVCRT.dll,realloc,0x1005f200
MSVCRT.dll,free,0x1005f204
MSVCRT.dll,memset,0x1005f208
MSVCRT.dll,malloc,0x1005f20c
MSVCRT.dll,sprintf,0x1005f210
MSVCRT.dll,strcat,0x1005f214
MSVCRT.dll,_wcsnicmp,0x1005f218
MSVCRT.dll,_stricmp,0x1005f21c
MSVCRT.dll,abort,0x1005f220
MSVCRT.dll,wcsstr,0x1005f224
MSVCRT.dll,vfprintf,0x1005f228
MSVCRT.dll,memchr,0x1005f22c
MSVCRT.dll,getenv,0x1005f230
MSVCRT.dll,qsort,0x1005f234
MSVCRT.dll,strcmp,0x1005f238
MSVCRT.dll,isdigit,0x1005f23c
MSVCRT.dll,isspace,0x1005f240
MSVCRT.dll,_errno,0x1005f244
MSVCRT.dll,fflush,0x1005f248
MSVCRT.dll,_setmode,0x1005f24c
MSVCRT.dll,ftell,0x1005f250
MSVCRT.dll,fgets,0x1005f254
MSVCRT.dll,isxdigit,0x1005f258
MSVCRT.dll,strncmp,0x1005f25c
MSVCRT.dll,memmove,0x1005f260
MSVCRT.dll,_getch,0x1005f264
KERNEL32.dll,GetFileType,0x1005f060
KERNEL32.dll,GetCurrentThreadId,0x1005f064
KERNEL32.dll,GetVersion,0x1005f068
KERNEL32.dll,FlushConsoleInputBuffer,0x1005f06c
KERNEL32.dll,SetFilePointer,0x1005f070
KERNEL32.dll,GetStdHandle,0x1005f074
KERNEL32.dll,OutputDebugStringA,0x1005f078
KERNEL32.dll,GetModuleFileNameA,0x1005f07c
KERNEL32.dll,CloseHandle,0x1005f080
KERNEL32.dll,GetCurrentProcess,0x1005f084
KERNEL32.dll,GetCurrentProcessId,0x1005f088
KERNEL32.dll,GetProcAddress,0x1005f08c
KERNEL32.dll,LoadLibraryA,0x1005f090
KERNEL32.dll,GetDiskFreeSpaceA,0x1005f094
KERNEL32.dll,GetDriveTypeA,0x1005f098
KERNEL32.dll,GlobalMemoryStatus,0x1005f09c
KERNEL32.dll,GetTickCount,0x1005f0a0
KERNEL32.dll,GetSystemPowerStatus,0x1005f0a4
KERNEL32.dll,GetVersionExA,0x1005f0a8
KERNEL32.dll,GetSystemInfo,0x1005f0ac
KERNEL32.dll,GetComputerNameA,0x1005f0b0
KERNEL32.dll,WideCharToMultiByte,0x1005f0b4
KERNEL32.dll,GetModuleHandleA,0x1005f0b8
KERNEL32.dll,GetLastError,0x1005f0bc
KERNEL32.dll,OpenProcess,0x1005f0c0
KERNEL32.dll,Sleep,0x1005f0c4
KERNEL32.dll,TerminateProcess,0x1005f0c8
KERNEL32.dll,MultiByteToWideChar,0x1005f0cc
KERNEL32.dll,SetLastError,0x1005f0d0
KERNEL32.dll,FreeConsole,0x1005f0d4
KERNEL32.dll,TerminateThread,0x1005f0d8
KERNEL32.dll,CreateThread,0x1005f0dc
KERNEL32.dll,CreateProcessA,0x1005f0e0
KERNEL32.dll,GetStartupInfoA,0x1005f0e4
KERNEL32.dll,CreatePipe,0x1005f0e8
KERNEL32.dll,DeleteFileA,0x1005f0ec
KERNEL32.dll,CopyFileA,0x1005f0f0
KERNEL32.dll,GetWindowsDirectoryA,0x1005f0f4
KERNEL32.dll,GetTempPathA,0x1005f0f8
KERNEL32.dll,GetSystemDirectoryA,0x1005f0fc
KERNEL32.dll,ExitThread,0x1005f100
KERNEL32.dll,ReadFile,0x1005f104
KERNEL32.dll,PeekNamedPipe,0x1005f108
KERNEL32.dll,WriteFile,0x1005f10c
KERNEL32.dll,GetFileSize,0x1005f110
KERNEL32.dll,CreateFileA,0x1005f114
KERNEL32.dll,FreeLibrary,0x1005f118
KERNEL32.dll,QueryPerformanceCounter,0x1005f11c
USER32.dll,GetDesktopWindow,0x1005f278
USER32.dll,MessageBoxA,0x1005f27c
USER32.dll,wsprintfA,0x1005f280
USER32.dll,GetProcessWindowStation,0x1005f284
USER32.dll,GetUserObjectInformationW,0x1005f288
MSVCP60.dll,??1_Winit@std@@QAE@XZ,0x1005f124
MSVCP60.dll,??0_Winit@std@@QAE@XZ,0x1005f128
MSVCP60.dll,??1Init@ios_base@std@@QAE@XZ,0x1005f12c
MSVCP60.dll,??0Init@ios_base@std@@QAE@XZ,0x1005f130
ADVAPI32.dll,OpenProcessToken,0x1005f000
ADVAPI32.dll,LookupPrivilegeValueA,0x1005f004
ADVAPI32.dll,GetUserNameA,0x1005f008
ADVAPI32.dll,LookupAccountSidA,0x1005f00c
ADVAPI32.dll,DeregisterEventSource,0x1005f010
ADVAPI32.dll,ReportEventA,0x1005f014
ADVAPI32.dll,GetTokenInformation,0x1005f018
ADVAPI32.dll,RegCloseKey,0x1005f01c
ADVAPI32.dll,RegQueryValueExA,0x1005f020
ADVAPI32.dll,RegOpenKeyExA,0x1005f024
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x1005f028
ADVAPI32.dll,SetServiceStatus,0x1005f02c
ADVAPI32.dll,CreateProcessAsUserA,0x1005f030
ADVAPI32.dll,LogonUserA,0x1005f034
ADVAPI32.dll,RegCreateKeyA,0x1005f038
ADVAPI32.dll,RegSetValueExA,0x1005f03c
ADVAPI32.dll,CloseServiceHandle,0x1005f040
ADVAPI32.dll,RegisterEventSourceA,0x1005f044
ADVAPI32.dll,CreateServiceA,0x1005f048
ADVAPI32.dll,OpenSCManagerA,0x1005f04c
ADVAPI32.dll,AdjustTokenPrivileges,0x1005f050
ADVAPI32.dll,OpenServiceA,0x1005f054
ADVAPI32.dll,DeleteService,0x1005f058
WS2_32.dll,WSASetLastError,0x1005f298
WS2_32.dll,send,0x1005f29c
WS2_32.dll,WSAStartup,0x1005f2a0
WS2_32.dll,recv,0x1005f2a4
WS2_32.dll,gethostbyname,0x1005f2a8
WS2_32.dll,inet_ntoa,0x1005f2ac
WS2_32.dll,socket,0x1005f2b0
WS2_32.dll,htons,0x1005f2b4
WS2_32.dll,inet_addr,0x1005f2b8
WS2_32.dll,connect,0x1005f2bc
WS2_32.dll,gethostname,0x1005f2c0
WS2_32.dll,shutdown,0x1005f2c4
WS2_32.dll,closesocket,0x1005f2c8
WS2_32.dll,select,0x1005f2cc
WS2_32.dll,__WSAFDIsSet,0x1005f2d0
WS2_32.dll,WSAGetLastError,0x1005f2d4
WS2_32.dll,WSACleanup,0x1005f2d8
NETAPI32.dll,NetServerEnum,0x1005f26c
NETAPI32.dll,NetApiBufferFree,0x1005f270
WININET.dll,InternetGetConnectedState,0x1005f290
