dll,name,address
KERNEL32.dll,ExpandEnvironmentStringsW,0x404038
KERNEL32.dll,VirtualAlloc,0x40403c
KERNEL32.dll,WideCharToMultiByte,0x404040
KERNEL32.dll,GetProcessHeap,0x404044
KERNEL32.dll,SetUnhandledExceptionFilter,0x404048
KERNEL32.dll,UnhandledExceptionFilter,0x40404c
KERNEL32.dll,IsDebuggerPresent,0x404050
KERNEL32.dll,GetCurrentProcess,0x404054
KERNEL32.dll,TerminateProcess,0x404058
KERNEL32.dll,HeapFree,0x40405c
KERNEL32.dll,HeapAlloc,0x404060
KERNEL32.dll,HeapReAlloc,0x404064
ADVAPI32.dll,CryptCreateHash,0x404000
ADVAPI32.dll,CryptAcquireContextA,0x404004
ADVAPI32.dll,RegQueryValueExW,0x404008
ADVAPI32.dll,CryptHashData,0x40400c
ADVAPI32.dll,RegCloseKey,0x404010
ADVAPI32.dll,CryptDecrypt,0x404014
ADVAPI32.dll,RegOpenKeyExW,0x404018
ADVAPI32.dll,CryptGetHashParam,0x40401c
ADVAPI32.dll,CryptSetKeyParam,0x404020
ADVAPI32.dll,CryptImportKey,0x404024
WS2_32.dll,getaddrinfo,0x404080
WS2_32.dll,select,0x404084
WS2_32.dll,shutdown,0x404088
WS2_32.dll,connect,0x40408c
WS2_32.dll,WSAStartup,0x404090
WS2_32.dll,recv,0x404094
WS2_32.dll,socket,0x404098
WS2_32.dll,closesocket,0x40409c
WS2_32.dll,send,0x4040a0
WS2_32.dll,freeaddrinfo,0x4040a4
Secur32.dll,AcquireCredentialsHandleA,0x404074
Secur32.dll,InitializeSecurityContextA,0x404078
CRYPT32.dll,CryptBinaryToStringA,0x40402c
CRYPT32.dll,CryptStringToBinaryA,0x404030
SHLWAPI.dll,wvnsprintfA,0x40406c
