dll,name,address
kernel32.dll,DeleteCriticalSection,0x488168
kernel32.dll,LeaveCriticalSection,0x48816c
kernel32.dll,EnterCriticalSection,0x488170
kernel32.dll,InitializeCriticalSection,0x488174
kernel32.dll,VirtualFree,0x488178
kernel32.dll,VirtualAlloc,0x48817c
kernel32.dll,LocalFree,0x488180
kernel32.dll,LocalAlloc,0x488184
kernel32.dll,GetVersion,0x488188
kernel32.dll,GetCurrentThreadId,0x48818c
kernel32.dll,InterlockedDecrement,0x488190
kernel32.dll,InterlockedIncrement,0x488194
kernel32.dll,VirtualQuery,0x488198
kernel32.dll,WideCharToMultiByte,0x48819c
kernel32.dll,MultiByteToWideChar,0x4881a0
kernel32.dll,lstrlenA,0x4881a4
kernel32.dll,lstrcpynA,0x4881a8
kernel32.dll,LoadLibraryExA,0x4881ac
kernel32.dll,GetThreadLocale,0x4881b0
kernel32.dll,GetStartupInfoA,0x4881b4
kernel32.dll,GetProcAddress,0x4881b8
kernel32.dll,GetModuleHandleA,0x4881bc
kernel32.dll,GetModuleFileNameA,0x4881c0
kernel32.dll,GetLocaleInfoA,0x4881c4
kernel32.dll,GetCommandLineA,0x4881c8
kernel32.dll,FreeLibrary,0x4881cc
kernel32.dll,FindFirstFileA,0x4881d0
kernel32.dll,FindClose,0x4881d4
kernel32.dll,ExitProcess,0x4881d8
kernel32.dll,WriteFile,0x4881dc
kernel32.dll,UnhandledExceptionFilter,0x4881e0
kernel32.dll,RtlUnwind,0x4881e4
kernel32.dll,RaiseException,0x4881e8
kernel32.dll,GetStdHandle,0x4881ec
user32.dll,GetKeyboardType,0x4881f4
user32.dll,LoadStringA,0x4881f8
user32.dll,MessageBoxA,0x4881fc
user32.dll,CharNextA,0x488200
advapi32.dll,RegQueryValueExA,0x488208
advapi32.dll,RegOpenKeyExA,0x48820c
advapi32.dll,RegCloseKey,0x488210
oleaut32.dll,SysFreeString,0x488218
oleaut32.dll,SysReAllocStringLen,0x48821c
oleaut32.dll,SysAllocStringLen,0x488220
kernel32.dll,TlsSetValue,0x488228
kernel32.dll,TlsGetValue,0x48822c
kernel32.dll,LocalAlloc,0x488230
kernel32.dll,GetModuleHandleA,0x488234
advapi32.dll,RegQueryValueExA,0x48823c
advapi32.dll,RegOpenKeyExA,0x488240
advapi32.dll,RegCloseKey,0x488244
kernel32.dll,lstrcpyA,0x48824c
kernel32.dll,WriteFile,0x488250
kernel32.dll,WinExec,0x488254
kernel32.dll,WaitForSingleObject,0x488258
kernel32.dll,VirtualQuery,0x48825c
kernel32.dll,VirtualAlloc,0x488260
kernel32.dll,Sleep,0x488264
kernel32.dll,SizeofResource,0x488268
kernel32.dll,SetThreadLocale,0x48826c
kernel32.dll,SetFilePointer,0x488270
kernel32.dll,SetEvent,0x488274
kernel32.dll,SetErrorMode,0x488278
kernel32.dll,SetEndOfFile,0x48827c
kernel32.dll,ResetEvent,0x488280
kernel32.dll,ReadFile,0x488284
kernel32.dll,MultiByteToWideChar,0x488288
kernel32.dll,MulDiv,0x48828c
kernel32.dll,LockResource,0x488290
kernel32.dll,LoadResource,0x488294
kernel32.dll,LoadLibraryA,0x488298
kernel32.dll,LeaveCriticalSection,0x48829c
kernel32.dll,InitializeCriticalSection,0x4882a0
kernel32.dll,GlobalUnlock,0x4882a4
kernel32.dll,GlobalSize,0x4882a8
kernel32.dll,GlobalReAlloc,0x4882ac
kernel32.dll,GlobalHandle,0x4882b0
kernel32.dll,GlobalLock,0x4882b4
kernel32.dll,GlobalFree,0x4882b8
kernel32.dll,GlobalFindAtomA,0x4882bc
kernel32.dll,GlobalDeleteAtom,0x4882c0
kernel32.dll,GlobalAlloc,0x4882c4
kernel32.dll,GlobalAddAtomA,0x4882c8
kernel32.dll,GetVersionExA,0x4882cc
kernel32.dll,GetVersion,0x4882d0
kernel32.dll,GetUserDefaultLCID,0x4882d4
kernel32.dll,GetTickCount,0x4882d8
kernel32.dll,GetThreadLocale,0x4882dc
kernel32.dll,GetTempPathA,0x4882e0
kernel32.dll,GetSystemInfo,0x4882e4
kernel32.dll,GetStringTypeExA,0x4882e8
kernel32.dll,GetStdHandle,0x4882ec
kernel32.dll,GetProcAddress,0x4882f0
kernel32.dll,GetModuleHandleA,0x4882f4
kernel32.dll,GetModuleFileNameA,0x4882f8
kernel32.dll,GetLocaleInfoA,0x4882fc
kernel32.dll,GetLocalTime,0x488300
kernel32.dll,GetLastError,0x488304
kernel32.dll,GetFullPathNameA,0x488308
kernel32.dll,GetFileSize,0x48830c
kernel32.dll,GetDiskFreeSpaceA,0x488310
kernel32.dll,GetDateFormatA,0x488314
kernel32.dll,GetCurrentThreadId,0x488318
kernel32.dll,GetCurrentProcessId,0x48831c
kernel32.dll,GetComputerNameA,0x488320
kernel32.dll,GetCPInfo,0x488324
kernel32.dll,GetACP,0x488328
kernel32.dll,FreeResource,0x48832c
kernel32.dll,InterlockedExchange,0x488330
kernel32.dll,FreeLibrary,0x488334
kernel32.dll,FormatMessageA,0x488338
kernel32.dll,FoldStringA,0x48833c
kernel32.dll,FindResourceA,0x488340
kernel32.dll,EnumCalendarInfoA,0x488344
kernel32.dll,EnterCriticalSection,0x488348
kernel32.dll,DeleteCriticalSection,0x48834c
kernel32.dll,CreateThread,0x488350
kernel32.dll,CreateFileA,0x488354
kernel32.dll,CreateEventA,0x488358
kernel32.dll,CompareStringA,0x48835c
kernel32.dll,CloseHandle,0x488360
version.dll,VerQueryValueA,0x488368
version.dll,GetFileVersionInfoSizeA,0x48836c
version.dll,GetFileVersionInfoA,0x488370
gdi32.dll,UnrealizeObject,0x488378
gdi32.dll,StretchBlt,0x48837c
gdi32.dll,SetWindowOrgEx,0x488380
gdi32.dll,SetWinMetaFileBits,0x488384
gdi32.dll,SetViewportOrgEx,0x488388
gdi32.dll,SetTextColor,0x48838c
gdi32.dll,SetStretchBltMode,0x488390
gdi32.dll,SetROP2,0x488394
gdi32.dll,SetPixel,0x488398
gdi32.dll,SetMapMode,0x48839c
gdi32.dll,SetEnhMetaFileBits,0x4883a0
gdi32.dll,SetDIBColorTable,0x4883a4
gdi32.dll,SetBrushOrgEx,0x4883a8
gdi32.dll,SetBkMode,0x4883ac
gdi32.dll,SetBkColor,0x4883b0
gdi32.dll,SetAbortProc,0x4883b4
gdi32.dll,SelectPalette,0x4883b8
gdi32.dll,SelectObject,0x4883bc
gdi32.dll,SelectClipRgn,0x4883c0
gdi32.dll,SaveDC,0x4883c4
gdi32.dll,RestoreDC,0x4883c8
gdi32.dll,Rectangle,0x4883cc
gdi32.dll,RectVisible,0x4883d0
gdi32.dll,RealizePalette,0x4883d4
gdi32.dll,Polyline,0x4883d8
gdi32.dll,PlayEnhMetaFile,0x4883dc
gdi32.dll,PatBlt,0x4883e0
gdi32.dll,MoveToEx,0x4883e4
gdi32.dll,MaskBlt,0x4883e8
gdi32.dll,LineTo,0x4883ec
gdi32.dll,LPtoDP,0x4883f0
gdi32.dll,IntersectClipRect,0x4883f4
gdi32.dll,GetWindowOrgEx,0x4883f8
gdi32.dll,GetWinMetaFileBits,0x4883fc
gdi32.dll,GetTextMetricsA,0x488400
gdi32.dll,GetTextExtentPoint32A,0x488404
gdi32.dll,GetSystemPaletteEntries,0x488408
gdi32.dll,GetStockObject,0x48840c
gdi32.dll,GetPixel,0x488410
gdi32.dll,GetPaletteEntries,0x488414
gdi32.dll,GetObjectA,0x488418
gdi32.dll,GetEnhMetaFilePaletteEntries,0x48841c
gdi32.dll,GetEnhMetaFileHeader,0x488420
gdi32.dll,GetEnhMetaFileDescriptionA,0x488424
gdi32.dll,GetEnhMetaFileBits,0x488428
gdi32.dll,GetDeviceCaps,0x48842c
gdi32.dll,GetDIBits,0x488430
gdi32.dll,GetDIBColorTable,0x488434
gdi32.dll,GetDCOrgEx,0x488438
gdi32.dll,GetCurrentPositionEx,0x48843c
gdi32.dll,GetClipBox,0x488440
gdi32.dll,GetBrushOrgEx,0x488444
gdi32.dll,GetBitmapBits,0x488448
gdi32.dll,ExcludeClipRect,0x48844c
gdi32.dll,DeleteObject,0x488450
gdi32.dll,DeleteEnhMetaFile,0x488454
gdi32.dll,DeleteDC,0x488458
gdi32.dll,CreateSolidBrush,0x48845c
gdi32.dll,CreatePenIndirect,0x488460
gdi32.dll,CreatePen,0x488464
gdi32.dll,CreatePalette,0x488468
gdi32.dll,CreateHalftonePalette,0x48846c
gdi32.dll,CreateFontIndirectA,0x488470
gdi32.dll,CreateEnhMetaFileA,0x488474
gdi32.dll,CreateDIBitmap,0x488478
gdi32.dll,CreateDIBSection,0x48847c
gdi32.dll,CreateCompatibleDC,0x488480
gdi32.dll,CreateCompatibleBitmap,0x488484
gdi32.dll,CreateBrushIndirect,0x488488
gdi32.dll,CreateBitmap,0x48848c
gdi32.dll,CopyEnhMetaFileA,0x488490
gdi32.dll,CloseEnhMetaFile,0x488494
gdi32.dll,BitBlt,0x488498
user32.dll,CreateWindowExA,0x4884a0
user32.dll,WindowFromPoint,0x4884a4
user32.dll,WinHelpA,0x4884a8
user32.dll,WaitMessage,0x4884ac
user32.dll,ValidateRect,0x4884b0
user32.dll,UpdateWindow,0x4884b4
user32.dll,UnregisterClassA,0x4884b8
user32.dll,UnhookWindowsHookEx,0x4884bc
user32.dll,TranslateMessage,0x4884c0
user32.dll,TranslateMDISysAccel,0x4884c4
user32.dll,TrackPopupMenu,0x4884c8
user32.dll,SystemParametersInfoA,0x4884cc
user32.dll,ShowWindow,0x4884d0
user32.dll,ShowScrollBar,0x4884d4
user32.dll,ShowOwnedPopups,0x4884d8
user32.dll,ShowCursor,0x4884dc
user32.dll,SetWindowsHookExA,0x4884e0
user32.dll,SetWindowTextA,0x4884e4
user32.dll,SetWindowPos,0x4884e8
user32.dll,SetWindowPlacement,0x4884ec
user32.dll,SetWindowLongA,0x4884f0
user32.dll,SetTimer,0x4884f4
user32.dll,SetScrollRange,0x4884f8
user32.dll,SetScrollPos,0x4884fc
user32.dll,SetScrollInfo,0x488500
user32.dll,SetRect,0x488504
user32.dll,SetPropA,0x488508
user32.dll,SetParent,0x48850c
user32.dll,SetMenuItemInfoA,0x488510
user32.dll,SetMenu,0x488514
user32.dll,SetForegroundWindow,0x488518
user32.dll,SetFocus,0x48851c
user32.dll,SetCursor,0x488520
user32.dll,SetClassLongA,0x488524
user32.dll,SetCapture,0x488528
user32.dll,SetActiveWindow,0x48852c
user32.dll,SendMessageA,0x488530
user32.dll,ScrollWindow,0x488534
user32.dll,ScreenToClient,0x488538
user32.dll,RemovePropA,0x48853c
user32.dll,RemoveMenu,0x488540
user32.dll,ReleaseDC,0x488544
user32.dll,ReleaseCapture,0x488548
user32.dll,RegisterWindowMessageA,0x48854c
user32.dll,RegisterClipboardFormatA,0x488550
user32.dll,RegisterClassA,0x488554
user32.dll,RedrawWindow,0x488558
user32.dll,PtInRect,0x48855c
user32.dll,PostQuitMessage,0x488560
user32.dll,PostMessageA,0x488564
user32.dll,PeekMessageA,0x488568
user32.dll,OffsetRect,0x48856c
user32.dll,OemToCharA,0x488570
user32.dll,MessageBoxA,0x488574
user32.dll,MapWindowPoints,0x488578
user32.dll,MapVirtualKeyA,0x48857c
