dll,name,address
KERNEL32.dll,CreateFileA,0x1000d050
KERNEL32.dll,CopyFileA,0x1000d054
KERNEL32.dll,DeviceIoControl,0x1000d058
KERNEL32.dll,GetFileAttributesA,0x1000d05c
KERNEL32.dll,Process32Next,0x1000d060
KERNEL32.dll,Process32First,0x1000d064
KERNEL32.dll,CreateToolhelp32Snapshot,0x1000d068
KERNEL32.dll,OpenProcess,0x1000d06c
KERNEL32.dll,GetVersion,0x1000d070
KERNEL32.dll,OpenEventA,0x1000d074
KERNEL32.dll,GlobalMemoryStatus,0x1000d078
KERNEL32.dll,GetWindowsDirectoryA,0x1000d07c
KERNEL32.dll,GetModuleFileNameA,0x1000d080
KERNEL32.dll,GetCurrentProcessId,0x1000d084
KERNEL32.dll,GetTickCount,0x1000d088
KERNEL32.dll,GetDiskFreeSpaceExA,0x1000d08c
KERNEL32.dll,GetDriveTypeA,0x1000d090
KERNEL32.dll,GetVersionExA,0x1000d094
KERNEL32.dll,FreeLibrary,0x1000d098
KERNEL32.dll,GetSystemDefaultLangID,0x1000d09c
KERNEL32.dll,GetComputerNameA,0x1000d0a0
KERNEL32.dll,FindClose,0x1000d0a4
KERNEL32.dll,FindNextFileA,0x1000d0a8
KERNEL32.dll,FindFirstFileA,0x1000d0ac
KERNEL32.dll,SetLastError,0x1000d0b0
KERNEL32.dll,GetLastError,0x1000d0b4
KERNEL32.dll,MultiByteToWideChar,0x1000d0b8
KERNEL32.dll,WaitForMultipleObjects,0x1000d0bc
KERNEL32.dll,GlobalFree,0x1000d0c0
KERNEL32.dll,GlobalAlloc,0x1000d0c4
KERNEL32.dll,CreateDirectoryA,0x1000d0c8
KERNEL32.dll,DeleteFileA,0x1000d0cc
KERNEL32.dll,GetFileSize,0x1000d0d0
KERNEL32.dll,CreateThread,0x1000d0d4
KERNEL32.dll,GetModuleHandleA,0x1000d0d8
KERNEL32.dll,GetCurrentThreadId,0x1000d0dc
KERNEL32.dll,ResetEvent,0x1000d0e0
KERNEL32.dll,EnterCriticalSection,0x1000d0e4
KERNEL32.dll,LeaveCriticalSection,0x1000d0e8
KERNEL32.dll,WaitForSingleObject,0x1000d0ec
KERNEL32.dll,DeleteCriticalSection,0x1000d0f0
KERNEL32.dll,CreateEventA,0x1000d0f4
KERNEL32.dll,SetEvent,0x1000d0f8
KERNEL32.dll,InitializeCriticalSection,0x1000d0fc
KERNEL32.dll,WriteFile,0x1000d100
KERNEL32.dll,CreatePipe,0x1000d104
KERNEL32.dll,GetSystemDirectoryA,0x1000d108
KERNEL32.dll,CreateProcessA,0x1000d10c
KERNEL32.dll,PeekNamedPipe,0x1000d110
KERNEL32.dll,ReadFile,0x1000d114
KERNEL32.dll,Sleep,0x1000d118
KERNEL32.dll,CloseHandle,0x1000d11c
KERNEL32.dll,TerminateProcess,0x1000d120
KERNEL32.dll,LoadLibraryA,0x1000d124
KERNEL32.dll,GetACP,0x1000d128
KERNEL32.dll,GetProcAddress,0x1000d12c
USER32.dll,SetCursorPos,0x1000d190
USER32.dll,GetProcessWindowStation,0x1000d194
USER32.dll,GetThreadDesktop,0x1000d198
USER32.dll,OpenWindowStationA,0x1000d19c
USER32.dll,SetProcessWindowStation,0x1000d1a0
USER32.dll,OpenDesktopA,0x1000d1a4
USER32.dll,SetThreadDesktop,0x1000d1a8
USER32.dll,CloseDesktop,0x1000d1ac
USER32.dll,CloseWindowStation,0x1000d1b0
USER32.dll,GetCursorPos,0x1000d1b4
USER32.dll,GetSystemMetrics,0x1000d1b8
GDI32.dll,SelectObject,0x1000d028
GDI32.dll,BitBlt,0x1000d02c
GDI32.dll,DeleteDC,0x1000d030
GDI32.dll,DeleteObject,0x1000d034
GDI32.dll,CreateCompatibleBitmap,0x1000d038
GDI32.dll,GetDeviceCaps,0x1000d03c
GDI32.dll,CreateDCA,0x1000d040
GDI32.dll,CreateCompatibleDC,0x1000d044
GDI32.dll,GetDIBits,0x1000d048
ADVAPI32.dll,LookupAccountSidA,0x1000d000
ADVAPI32.dll,GetUserNameA,0x1000d004
ADVAPI32.dll,RevertToSelf,0x1000d008
ADVAPI32.dll,RegOpenKeyA,0x1000d00c
ADVAPI32.dll,RegQueryValueExA,0x1000d010
ADVAPI32.dll,RegCloseKey,0x1000d014
ADVAPI32.dll,ImpersonateLoggedOnUser,0x1000d018
ADVAPI32.dll,OpenProcessToken,0x1000d01c
ADVAPI32.dll,GetTokenInformation,0x1000d020
MSVCRT.dll,_snprintf,0x1000d134
MSVCRT.dll,wcscat,0x1000d138
MSVCRT.dll,wcscpy,0x1000d13c
MSVCRT.dll,strrchr,0x1000d140
MSVCRT.dll,_ftol,0x1000d144
MSVCRT.dll,_initterm,0x1000d148
MSVCRT.dll,_adjust_fdiv,0x1000d14c
MSVCRT.dll,_strcmpi,0x1000d150
MSVCRT.dll,strncpy,0x1000d154
MSVCRT.dll,??3@YAXPAX@Z,0x1000d158
MSVCRT.dll,free,0x1000d15c
MSVCRT.dll,malloc,0x1000d160
MSVCRT.dll,_beginthread,0x1000d164
MSVCRT.dll,??2@YAPAXI@Z,0x1000d168
MSVCRT.dll,__CxxFrameHandler,0x1000d16c
MSVCRT.dll,strchr,0x1000d170
MSVCRT.dll,atoi,0x1000d174
MSVCRT.dll,sscanf,0x1000d178
MSVCRT.dll,tolower,0x1000d17c
MSVCRT.dll,_except_handler3,0x1000d180
MSVCRT.dll,strstr,0x1000d184
MSVCRT.dll,sprintf,0x1000d188
