dll,name,address
kernel32.dll,DeleteCriticalSection,0x4150dc
kernel32.dll,LeaveCriticalSection,0x4150e0
kernel32.dll,EnterCriticalSection,0x4150e4
kernel32.dll,InitializeCriticalSection,0x4150e8
kernel32.dll,VirtualFree,0x4150ec
kernel32.dll,VirtualAlloc,0x4150f0
kernel32.dll,LocalFree,0x4150f4
kernel32.dll,LocalAlloc,0x4150f8
kernel32.dll,GetVersion,0x4150fc
kernel32.dll,GetCurrentThreadId,0x415100
kernel32.dll,GetThreadLocale,0x415104
kernel32.dll,GetStartupInfoA,0x415108
kernel32.dll,GetLocaleInfoA,0x41510c
kernel32.dll,GetCommandLineA,0x415110
kernel32.dll,FreeLibrary,0x415114
kernel32.dll,ExitProcess,0x415118
kernel32.dll,WriteFile,0x41511c
kernel32.dll,UnhandledExceptionFilter,0x415120
kernel32.dll,RtlUnwind,0x415124
kernel32.dll,RaiseException,0x415128
kernel32.dll,GetStdHandle,0x41512c
user32.dll,GetKeyboardType,0x415134
user32.dll,MessageBoxA,0x415138
advapi32.dll,RegQueryValueExA,0x415140
advapi32.dll,RegOpenKeyExA,0x415144
advapi32.dll,RegCloseKey,0x415148
oleaut32.dll,SysFreeString,0x415150
oleaut32.dll,SysReAllocStringLen,0x415154
kernel32.dll,TlsSetValue,0x41515c
kernel32.dll,TlsGetValue,0x415160
kernel32.dll,LocalAlloc,0x415164
kernel32.dll,GetModuleHandleA,0x415168
advapi32.dll,RegSetValueExA,0x415170
advapi32.dll,RegOpenKeyExA,0x415174
advapi32.dll,RegCloseKey,0x415178
kernel32.dll,WriteFile,0x415180
kernel32.dll,WinExec,0x415184
kernel32.dll,SetFilePointer,0x415188
kernel32.dll,SetFileAttributesA,0x41518c
kernel32.dll,SetEndOfFile,0x415190
kernel32.dll,SetCurrentDirectoryA,0x415194
kernel32.dll,ReleaseMutex,0x415198
kernel32.dll,ReadFile,0x41519c
kernel32.dll,GetWindowsDirectoryA,0x4151a0
kernel32.dll,GetTempPathA,0x4151a4
kernel32.dll,GetShortPathNameA,0x4151a8
kernel32.dll,GetModuleFileNameA,0x4151ac
kernel32.dll,GetLogicalDriveStringsA,0x4151b0
kernel32.dll,GetLocalTime,0x4151b4
kernel32.dll,GetLastError,0x4151b8
kernel32.dll,GetFileSize,0x4151bc
kernel32.dll,GetFileAttributesA,0x4151c0
kernel32.dll,GetDriveTypeA,0x4151c4
kernel32.dll,GetCommandLineA,0x4151c8
kernel32.dll,FreeLibrary,0x4151cc
kernel32.dll,FindNextFileA,0x4151d0
kernel32.dll,FindFirstFileA,0x4151d4
kernel32.dll,FindClose,0x4151d8
kernel32.dll,DeleteFileA,0x4151dc
kernel32.dll,CreateMutexA,0x4151e0
kernel32.dll,CreateFileA,0x4151e4
kernel32.dll,CreateDirectoryA,0x4151e8
kernel32.dll,CloseHandle,0x4151ec
gdi32.dll,StretchDIBits,0x4151f4
gdi32.dll,SetDIBits,0x4151f8
gdi32.dll,SelectObject,0x4151fc
gdi32.dll,GetObjectA,0x415200
gdi32.dll,GetDIBits,0x415204
gdi32.dll,DeleteObject,0x415208
gdi32.dll,DeleteDC,0x41520c
gdi32.dll,CreateSolidBrush,0x415210
gdi32.dll,CreateDIBSection,0x415214
gdi32.dll,CreateCompatibleDC,0x415218
gdi32.dll,CreateCompatibleBitmap,0x41521c
gdi32.dll,BitBlt,0x415220
user32.dll,ReleaseDC,0x415228
user32.dll,GetSysColor,0x41522c
user32.dll,GetIconInfo,0x415230
user32.dll,GetDC,0x415234
user32.dll,FillRect,0x415238
user32.dll,DestroyIcon,0x41523c
user32.dll,CopyImage,0x415240
user32.dll,CharLowerBuffA,0x415244
shell32.dll,ShellExecuteA,0x41524c
shell32.dll,ExtractIconA,0x415250
