dll,name,address
KERNEL32.dll,GetVersion,0x59e000
KERNEL32.dll,GetVersionExA,0x59e004
KERNEL32.dll,lstrlenA,0x59e008
USER32.dll,GetMessageA,0x59e010
GDI32.dll,PtVisible,0x59e018
WINMM.dll,midiStreamOut,0x59e020
WINSPOOL.DRV,OpenPrinterA,0x59e028
ADVAPI32.dll,RegCloseKey,0x59e030
SHELL32.dll,ShellExecuteA,0x59e038
ole32.dll,StgOpenStorageOnILockBytes,0x59e040
OLEAUT32.dll,SafeArrayAccessData,0x59e048
COMCTL32.dll,ImageList_Destroy,0x59e050
oledlg.dll,,0x59e058
WS2_32.dll,recv,0x59e060
comdlg32.dll,GetFileTitleA,0x59e068
KERNEL32.dll,GetModuleFileNameW,0x59e070
KERNEL32.dll,GetModuleHandleA,0x59e078
KERNEL32.dll,LoadLibraryA,0x59e07c
KERNEL32.dll,LocalAlloc,0x59e080
KERNEL32.dll,LocalFree,0x59e084
KERNEL32.dll,GetModuleFileNameA,0x59e088
KERNEL32.dll,ExitProcess,0x59e08c
