dll,name,address
KERNEL32.dll,GetModuleHandleW,0x44f000
KERNEL32.dll,GetTickCount,0x44f004
KERNEL32.dll,Sleep,0x44f008
KERNEL32.dll,GetProcAddress,0x44f00c
KERNEL32.dll,VirtualAlloc,0x44f010
KERNEL32.dll,LoadLibraryA,0x44f014
KERNEL32.dll,VirtualProtect,0x44f018
KERNEL32.dll,InterlockedCompareExchange,0x44f01c
KERNEL32.dll,IsValidLocale,0x44f020
KERNEL32.dll,EnumSystemLocalesA,0x44f024
KERNEL32.dll,GetLocaleInfoA,0x44f028
KERNEL32.dll,GetUserDefaultLCID,0x44f02c
KERNEL32.dll,CloseHandle,0x44f030
KERNEL32.dll,CreateFileW,0x44f034
KERNEL32.dll,SetStdHandle,0x44f038
KERNEL32.dll,SetFilePointer,0x44f03c
KERNEL32.dll,GetStringTypeW,0x44f040
KERNEL32.dll,MultiByteToWideChar,0x44f044
KERNEL32.dll,LCMapStringW,0x44f048
KERNEL32.dll,HeapReAlloc,0x44f04c
KERNEL32.dll,FlushFileBuffers,0x44f050
KERNEL32.dll,GetConsoleMode,0x44f054
KERNEL32.dll,GetConsoleCP,0x44f058
KERNEL32.dll,RtlUnwind,0x44f05c
KERNEL32.dll,IsValidCodePage,0x44f060
KERNEL32.dll,GetOEMCP,0x44f064
KERNEL32.dll,GetACP,0x44f068
KERNEL32.dll,HeapAlloc,0x44f06c
KERNEL32.dll,GetCommandLineA,0x44f070
KERNEL32.dll,HeapSetInformation,0x44f074
KERNEL32.dll,GetStartupInfoW,0x44f078
KERNEL32.dll,GetLastError,0x44f07c
KERNEL32.dll,HeapFree,0x44f080
KERNEL32.dll,WriteConsoleW,0x44f084
KERNEL32.dll,GetFileType,0x44f088
KERNEL32.dll,GetStdHandle,0x44f08c
KERNEL32.dll,GetModuleFileNameW,0x44f090
KERNEL32.dll,EncodePointer,0x44f094
KERNEL32.dll,DecodePointer,0x44f098
KERNEL32.dll,TerminateProcess,0x44f09c
KERNEL32.dll,GetCurrentProcess,0x44f0a0
KERNEL32.dll,UnhandledExceptionFilter,0x44f0a4
KERNEL32.dll,SetUnhandledExceptionFilter,0x44f0a8
KERNEL32.dll,IsDebuggerPresent,0x44f0ac
KERNEL32.dll,IsProcessorFeaturePresent,0x44f0b0
KERNEL32.dll,ExitProcess,0x44f0b4
KERNEL32.dll,WriteFile,0x44f0b8
KERNEL32.dll,HeapCreate,0x44f0bc
KERNEL32.dll,HeapDestroy,0x44f0c0
KERNEL32.dll,TlsAlloc,0x44f0c4
KERNEL32.dll,TlsGetValue,0x44f0c8
KERNEL32.dll,TlsSetValue,0x44f0cc
KERNEL32.dll,TlsFree,0x44f0d0
KERNEL32.dll,InterlockedIncrement,0x44f0d4
KERNEL32.dll,SetLastError,0x44f0d8
KERNEL32.dll,GetCurrentThreadId,0x44f0dc
KERNEL32.dll,InterlockedDecrement,0x44f0e0
KERNEL32.dll,GetCurrentThread,0x44f0e4
KERNEL32.dll,RaiseException,0x44f0e8
KERNEL32.dll,GetModuleFileNameA,0x44f0ec
KERNEL32.dll,FreeEnvironmentStringsW,0x44f0f0
KERNEL32.dll,WideCharToMultiByte,0x44f0f4
KERNEL32.dll,GetEnvironmentStringsW,0x44f0f8
KERNEL32.dll,SetHandleCount,0x44f0fc
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x44f100
KERNEL32.dll,DeleteCriticalSection,0x44f104
KERNEL32.dll,QueryPerformanceCounter,0x44f108
KERNEL32.dll,GetCurrentProcessId,0x44f10c
KERNEL32.dll,GetSystemTimeAsFileTime,0x44f110
KERNEL32.dll,EnterCriticalSection,0x44f114
KERNEL32.dll,LeaveCriticalSection,0x44f118
KERNEL32.dll,SetConsoleCtrlHandler,0x44f11c
KERNEL32.dll,LoadLibraryW,0x44f120
KERNEL32.dll,HeapSize,0x44f124
KERNEL32.dll,GetLocaleInfoW,0x44f128
KERNEL32.dll,FatalAppExitA,0x44f12c
KERNEL32.dll,FreeLibrary,0x44f130
KERNEL32.dll,InterlockedExchange,0x44f134
KERNEL32.dll,GetCPInfo,0x44f138
KERNEL32.dll,InitializeCriticalSection,0x44f13c
USER32.dll,EndPaint,0x44f144
USER32.dll,DestroyWindow,0x44f148
USER32.dll,GetMessageA,0x44f14c
USER32.dll,RegisterClassExA,0x44f150
USER32.dll,PostQuitMessage,0x44f154
USER32.dll,LoadStringA,0x44f158
USER32.dll,LoadIconA,0x44f15c
USER32.dll,BeginPaint,0x44f160
USER32.dll,TranslateMessage,0x44f164
USER32.dll,CreateWindowExA,0x44f168
USER32.dll,TranslateAcceleratorA,0x44f16c
USER32.dll,EndDialog,0x44f170
USER32.dll,DefWindowProcA,0x44f174
USER32.dll,LoadAcceleratorsA,0x44f178
USER32.dll,ShowWindow,0x44f17c
USER32.dll,DispatchMessageA,0x44f180
USER32.dll,UpdateWindow,0x44f184
USER32.dll,LoadCursorA,0x44f188
USER32.dll,DialogBoxParamA,0x44f18c
