dll,name,address
KERNEL32.dll,LoadLibraryA,0x18000c000
KERNEL32.dll,GetModuleHandleA,0x18000c008
KERNEL32.dll,GetProcAddress,0x18000c010
KERNEL32.dll,GetCurrentProcessId,0x18000c018
KERNEL32.dll,IsBadReadPtr,0x18000c020
KERNEL32.dll,GetCurrentProcess,0x18000c028
KERNEL32.dll,GetLastError,0x18000c030
KERNEL32.dll,VirtualAlloc,0x18000c038
KERNEL32.dll,VirtualProtect,0x18000c040
KERNEL32.dll,VirtualFree,0x18000c048
KERNEL32.dll,HeapFree,0x18000c050
KERNEL32.dll,GetProcessHeap,0x18000c058
KERNEL32.dll,FreeLibrary,0x18000c060
KERNEL32.dll,HeapAlloc,0x18000c068
KERNEL32.dll,SetFileAttributesA,0x18000c070
KERNEL32.dll,MultiByteToWideChar,0x18000c078
KERNEL32.dll,GetFileAttributesA,0x18000c080
KERNEL32.dll,lstrcatA,0x18000c088
KERNEL32.dll,GetSystemDirectoryA,0x18000c090
KERNEL32.dll,ExitProcess,0x18000c098
KERNEL32.dll,OutputDebugStringA,0x18000c0a0
KERNEL32.dll,SetFileTime,0x18000c0a8
KERNEL32.dll,LocalFileTimeToFileTime,0x18000c0b0
KERNEL32.dll,SystemTimeToFileTime,0x18000c0b8
KERNEL32.dll,GetFileTime,0x18000c0c0
KERNEL32.dll,DisableThreadLibraryCalls,0x18000c0c8
KERNEL32.dll,CopyFileA,0x18000c0d0
KERNEL32.dll,WaitForSingleObject,0x18000c0d8
KERNEL32.dll,LoadLibraryW,0x18000c0e0
KERNEL32.dll,GetModuleFileNameW,0x18000c0e8
KERNEL32.dll,GetWindowsDirectoryA,0x18000c0f0
KERNEL32.dll,GetModuleFileNameA,0x18000c0f8
KERNEL32.dll,DeleteFileA,0x18000c100
KERNEL32.dll,WriteFile,0x18000c108
KERNEL32.dll,CloseHandle,0x18000c110
KERNEL32.dll,CreateFileA,0x18000c118
KERNEL32.dll,WideCharToMultiByte,0x18000c120
KERNEL32.dll,GetStringTypeW,0x18000c128
KERNEL32.dll,LCMapStringW,0x18000c130
KERNEL32.dll,HeapReAlloc,0x18000c138
KERNEL32.dll,MoveFileA,0x18000c140
KERNEL32.dll,GetCurrentThreadId,0x18000c148
KERNEL32.dll,FlsSetValue,0x18000c150
KERNEL32.dll,GetCommandLineA,0x18000c158
KERNEL32.dll,TerminateProcess,0x18000c160
KERNEL32.dll,UnhandledExceptionFilter,0x18000c168
KERNEL32.dll,SetUnhandledExceptionFilter,0x18000c170
KERNEL32.dll,IsDebuggerPresent,0x18000c178
KERNEL32.dll,RtlVirtualUnwind,0x18000c180
KERNEL32.dll,RtlLookupFunctionEntry,0x18000c188
KERNEL32.dll,RtlCaptureContext,0x18000c190
KERNEL32.dll,EncodePointer,0x18000c198
KERNEL32.dll,DecodePointer,0x18000c1a0
KERNEL32.dll,HeapSetInformation,0x18000c1a8
KERNEL32.dll,GetVersion,0x18000c1b0
KERNEL32.dll,HeapCreate,0x18000c1b8
KERNEL32.dll,HeapDestroy,0x18000c1c0
KERNEL32.dll,RaiseException,0x18000c1c8
KERNEL32.dll,RtlPcToFileHeader,0x18000c1d0
KERNEL32.dll,RtlUnwindEx,0x18000c1d8
KERNEL32.dll,FlsGetValue,0x18000c1e0
KERNEL32.dll,FlsFree,0x18000c1e8
KERNEL32.dll,SetLastError,0x18000c1f0
KERNEL32.dll,FlsAlloc,0x18000c1f8
KERNEL32.dll,Sleep,0x18000c200
KERNEL32.dll,GetModuleHandleW,0x18000c208
KERNEL32.dll,SetHandleCount,0x18000c210
KERNEL32.dll,GetStdHandle,0x18000c218
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x18000c220
KERNEL32.dll,GetFileType,0x18000c228
KERNEL32.dll,GetStartupInfoW,0x18000c230
KERNEL32.dll,DeleteCriticalSection,0x18000c238
KERNEL32.dll,FreeEnvironmentStringsW,0x18000c240
KERNEL32.dll,GetEnvironmentStringsW,0x18000c248
KERNEL32.dll,QueryPerformanceCounter,0x18000c250
KERNEL32.dll,GetTickCount,0x18000c258
KERNEL32.dll,GetSystemTimeAsFileTime,0x18000c260
KERNEL32.dll,LeaveCriticalSection,0x18000c268
KERNEL32.dll,EnterCriticalSection,0x18000c270
KERNEL32.dll,HeapSize,0x18000c278
KERNEL32.dll,GetCPInfo,0x18000c280
KERNEL32.dll,GetACP,0x18000c288
KERNEL32.dll,GetOEMCP,0x18000c290
KERNEL32.dll,IsValidCodePage,0x18000c298
USER32.dll,wsprintfA,0x18000c2a8
USER32.dll,MessageBoxA,0x18000c2b0
ole32.dll,CoUninitialize,0x18000c2c0
ole32.dll,CoCreateInstance,0x18000c2c8
ole32.dll,CoInitialize,0x18000c2d0
