dll,name,address
kernel32.dll,DeleteCriticalSection,0x46c12c
kernel32.dll,LeaveCriticalSection,0x46c130
kernel32.dll,EnterCriticalSection,0x46c134
kernel32.dll,InitializeCriticalSection,0x46c138
kernel32.dll,VirtualFree,0x46c13c
kernel32.dll,VirtualAlloc,0x46c140
kernel32.dll,LocalFree,0x46c144
kernel32.dll,LocalAlloc,0x46c148
kernel32.dll,GetVersion,0x46c14c
kernel32.dll,GetCurrentThreadId,0x46c150
kernel32.dll,InterlockedDecrement,0x46c154
kernel32.dll,InterlockedIncrement,0x46c158
kernel32.dll,VirtualQuery,0x46c15c
kernel32.dll,WideCharToMultiByte,0x46c160
kernel32.dll,MultiByteToWideChar,0x46c164
kernel32.dll,lstrlenA,0x46c168
kernel32.dll,lstrcpynA,0x46c16c
kernel32.dll,LoadLibraryExA,0x46c170
kernel32.dll,GetThreadLocale,0x46c174
kernel32.dll,GetStartupInfoA,0x46c178
kernel32.dll,GetProcAddress,0x46c17c
kernel32.dll,GetModuleHandleA,0x46c180
kernel32.dll,GetModuleFileNameA,0x46c184
kernel32.dll,GetLocaleInfoA,0x46c188
kernel32.dll,GetCommandLineA,0x46c18c
kernel32.dll,FreeLibrary,0x46c190
kernel32.dll,FindFirstFileA,0x46c194
kernel32.dll,FindClose,0x46c198
kernel32.dll,ExitProcess,0x46c19c
kernel32.dll,WriteFile,0x46c1a0
kernel32.dll,UnhandledExceptionFilter,0x46c1a4
kernel32.dll,RtlUnwind,0x46c1a8
kernel32.dll,RaiseException,0x46c1ac
kernel32.dll,GetStdHandle,0x46c1b0
user32.dll,GetKeyboardType,0x46c1b8
user32.dll,LoadStringA,0x46c1bc
user32.dll,MessageBoxA,0x46c1c0
user32.dll,CharNextA,0x46c1c4
advapi32.dll,RegQueryValueExA,0x46c1cc
advapi32.dll,RegOpenKeyExA,0x46c1d0
advapi32.dll,RegCloseKey,0x46c1d4
oleaut32.dll,SysFreeString,0x46c1dc
oleaut32.dll,SysReAllocStringLen,0x46c1e0
oleaut32.dll,SysAllocStringLen,0x46c1e4
kernel32.dll,TlsSetValue,0x46c1ec
kernel32.dll,TlsGetValue,0x46c1f0
kernel32.dll,LocalAlloc,0x46c1f4
kernel32.dll,GetModuleHandleA,0x46c1f8
advapi32.dll,RegQueryValueExA,0x46c200
advapi32.dll,RegOpenKeyExA,0x46c204
advapi32.dll,RegCloseKey,0x46c208
kernel32.dll,lstrcpyA,0x46c210
kernel32.dll,WriteFile,0x46c214
kernel32.dll,WaitForSingleObject,0x46c218
kernel32.dll,VirtualQuery,0x46c21c
kernel32.dll,VirtualAlloc,0x46c220
kernel32.dll,Sleep,0x46c224
kernel32.dll,SizeofResource,0x46c228
kernel32.dll,SetThreadLocale,0x46c22c
kernel32.dll,SetFilePointer,0x46c230
kernel32.dll,SetEvent,0x46c234
kernel32.dll,SetErrorMode,0x46c238
kernel32.dll,SetEndOfFile,0x46c23c
kernel32.dll,ResetEvent,0x46c240
kernel32.dll,ReadFile,0x46c244
kernel32.dll,MulDiv,0x46c248
kernel32.dll,LockResource,0x46c24c
kernel32.dll,LoadResource,0x46c250
kernel32.dll,LoadLibraryA,0x46c254
kernel32.dll,LeaveCriticalSection,0x46c258
kernel32.dll,InitializeCriticalSection,0x46c25c
kernel32.dll,GlobalUnlock,0x46c260
kernel32.dll,GlobalReAlloc,0x46c264
kernel32.dll,GlobalHandle,0x46c268
kernel32.dll,GlobalLock,0x46c26c
kernel32.dll,GlobalFree,0x46c270
kernel32.dll,GlobalFindAtomA,0x46c274
kernel32.dll,GlobalDeleteAtom,0x46c278
kernel32.dll,GlobalAlloc,0x46c27c
kernel32.dll,GlobalAddAtomA,0x46c280
kernel32.dll,GetVersionExA,0x46c284
kernel32.dll,GetVersion,0x46c288
kernel32.dll,GetTickCount,0x46c28c
kernel32.dll,GetThreadLocale,0x46c290
kernel32.dll,GetSystemInfo,0x46c294
kernel32.dll,GetStringTypeExA,0x46c298
kernel32.dll,GetStdHandle,0x46c29c
kernel32.dll,GetProcAddress,0x46c2a0
kernel32.dll,GetModuleHandleA,0x46c2a4
kernel32.dll,GetModuleFileNameA,0x46c2a8
kernel32.dll,GetLocaleInfoA,0x46c2ac
kernel32.dll,GetLocalTime,0x46c2b0
kernel32.dll,GetLastError,0x46c2b4
kernel32.dll,GetFullPathNameA,0x46c2b8
kernel32.dll,GetDiskFreeSpaceA,0x46c2bc
kernel32.dll,GetDateFormatA,0x46c2c0
kernel32.dll,GetCurrentThreadId,0x46c2c4
kernel32.dll,GetCurrentProcessId,0x46c2c8
kernel32.dll,GetCPInfo,0x46c2cc
kernel32.dll,GetACP,0x46c2d0
kernel32.dll,FreeResource,0x46c2d4
kernel32.dll,InterlockedExchange,0x46c2d8
kernel32.dll,FreeLibrary,0x46c2dc
kernel32.dll,FormatMessageA,0x46c2e0
kernel32.dll,FindResourceA,0x46c2e4
kernel32.dll,EnumCalendarInfoA,0x46c2e8
kernel32.dll,EnterCriticalSection,0x46c2ec
kernel32.dll,DeleteCriticalSection,0x46c2f0
kernel32.dll,CreateThread,0x46c2f4
kernel32.dll,CreateFileA,0x46c2f8
kernel32.dll,CreateEventA,0x46c2fc
kernel32.dll,CompareStringA,0x46c300
kernel32.dll,CloseHandle,0x46c304
version.dll,VerQueryValueA,0x46c30c
version.dll,GetFileVersionInfoSizeA,0x46c310
version.dll,GetFileVersionInfoA,0x46c314
gdi32.dll,UnrealizeObject,0x46c31c
gdi32.dll,StretchBlt,0x46c320
gdi32.dll,SetWindowOrgEx,0x46c324
gdi32.dll,SetWinMetaFileBits,0x46c328
gdi32.dll,SetViewportOrgEx,0x46c32c
gdi32.dll,SetTextColor,0x46c330
gdi32.dll,SetStretchBltMode,0x46c334
gdi32.dll,SetROP2,0x46c338
gdi32.dll,SetPixel,0x46c33c
gdi32.dll,SetMetaRgn,0x46c340
gdi32.dll,SetEnhMetaFileBits,0x46c344
gdi32.dll,SetDIBColorTable,0x46c348
gdi32.dll,SetBrushOrgEx,0x46c34c
gdi32.dll,SetBkMode,0x46c350
gdi32.dll,SetBkColor,0x46c354
gdi32.dll,SelectPalette,0x46c358
gdi32.dll,SelectObject,0x46c35c
gdi32.dll,SelectClipRgn,0x46c360
gdi32.dll,ScaleWindowExtEx,0x46c364
gdi32.dll,SaveDC,0x46c368
gdi32.dll,RestoreDC,0x46c36c
gdi32.dll,Rectangle,0x46c370
gdi32.dll,RectVisible,0x46c374
gdi32.dll,RealizePalette,0x46c378
gdi32.dll,Polyline,0x46c37c
gdi32.dll,PlayEnhMetaFile,0x46c380
gdi32.dll,PatBlt,0x46c384
gdi32.dll,MoveToEx,0x46c388
gdi32.dll,MaskBlt,0x46c38c
gdi32.dll,LineTo,0x46c390
gdi32.dll,IntersectClipRect,0x46c394
gdi32.dll,GetWindowOrgEx,0x46c398
gdi32.dll,GetWinMetaFileBits,0x46c39c
gdi32.dll,GetTextMetricsA,0x46c3a0
gdi32.dll,GetTextExtentPoint32A,0x46c3a4
gdi32.dll,GetSystemPaletteEntries,0x46c3a8
gdi32.dll,GetStockObject,0x46c3ac
gdi32.dll,GetPixel,0x46c3b0
gdi32.dll,GetPaletteEntries,0x46c3b4
gdi32.dll,GetObjectA,0x46c3b8
gdi32.dll,GetEnhMetaFilePaletteEntries,0x46c3bc
gdi32.dll,GetEnhMetaFileHeader,0x46c3c0
gdi32.dll,GetEnhMetaFileBits,0x46c3c4
gdi32.dll,GetDeviceCaps,0x46c3c8
gdi32.dll,GetDIBits,0x46c3cc
gdi32.dll,GetDIBColorTable,0x46c3d0
gdi32.dll,GetDCOrgEx,0x46c3d4
gdi32.dll,GetCurrentPositionEx,0x46c3d8
gdi32.dll,GetClipBox,0x46c3dc
gdi32.dll,GetBrushOrgEx,0x46c3e0
gdi32.dll,GetBitmapBits,0x46c3e4
gdi32.dll,ExcludeClipRect,0x46c3e8
gdi32.dll,DeleteObject,0x46c3ec
gdi32.dll,DeleteEnhMetaFile,0x46c3f0
gdi32.dll,DeleteDC,0x46c3f4
gdi32.dll,CreateSolidBrush,0x46c3f8
gdi32.dll,CreatePenIndirect,0x46c3fc
gdi32.dll,CreatePalette,0x46c400
gdi32.dll,CreateHalftonePalette,0x46c404
gdi32.dll,CreateFontIndirectA,0x46c408
gdi32.dll,CreateDIBitmap,0x46c40c
gdi32.dll,CreateDIBSection,0x46c410
gdi32.dll,CreateCompatibleDC,0x46c414
gdi32.dll,CreateCompatibleBitmap,0x46c418
gdi32.dll,CreateBrushIndirect,0x46c41c
gdi32.dll,CreateBitmap,0x46c420
gdi32.dll,CopyEnhMetaFileA,0x46c424
gdi32.dll,BitBlt,0x46c428
user32.dll,CreateWindowExA,0x46c430
user32.dll,WindowFromPoint,0x46c434
user32.dll,WinHelpA,0x46c438
user32.dll,WaitMessage,0x46c43c
user32.dll,UpdateWindow,0x46c440
user32.dll,UnregisterClassA,0x46c444
user32.dll,UnhookWindowsHookEx,0x46c448
user32.dll,TranslateMessage,0x46c44c
user32.dll,TranslateMDISysAccel,0x46c450
user32.dll,TrackPopupMenu,0x46c454
user32.dll,SystemParametersInfoA,0x46c458
user32.dll,ShowWindow,0x46c45c
user32.dll,ShowScrollBar,0x46c460
user32.dll,ShowOwnedPopups,0x46c464
user32.dll,ShowCursor,0x46c468
user32.dll,SetWindowsHookExA,0x46c46c
user32.dll,SetWindowTextA,0x46c470
user32.dll,SetWindowPos,0x46c474
user32.dll,SetWindowPlacement,0x46c478
user32.dll,SetWindowLongA,0x46c47c
user32.dll,SetTimer,0x46c480
user32.dll,SetScrollRange,0x46c484
user32.dll,SetScrollPos,0x46c488
user32.dll,SetScrollInfo,0x46c48c
user32.dll,SetRect,0x46c490
user32.dll,SetPropA,0x46c494
user32.dll,SetParent,0x46c498
user32.dll,SetMenuItemInfoA,0x46c49c
user32.dll,SetMenu,0x46c4a0
user32.dll,SetKeyboardState,0x46c4a4
user32.dll,SetForegroundWindow,0x46c4a8
user32.dll,SetFocus,0x46c4ac
user32.dll,SetCursor,0x46c4b0
user32.dll,SetClipboardData,0x46c4b4
user32.dll,SetClassLongA,0x46c4b8
user32.dll,SetCapture,0x46c4bc
user32.dll,SetActiveWindow,0x46c4c0
user32.dll,SendMessageA,0x46c4c4
user32.dll,ScrollWindow,0x46c4c8
user32.dll,ScreenToClient,0x46c4cc
user32.dll,RemovePropA,0x46c4d0
user32.dll,RemoveMenu,0x46c4d4
user32.dll,ReleaseDC,0x46c4d8
user32.dll,ReleaseCapture,0x46c4dc
