dll,name,address
kernel32.dll,DeleteCriticalSection,0x46712c
kernel32.dll,LeaveCriticalSection,0x467130
kernel32.dll,EnterCriticalSection,0x467134
kernel32.dll,InitializeCriticalSection,0x467138
kernel32.dll,VirtualFree,0x46713c
kernel32.dll,VirtualAlloc,0x467140
kernel32.dll,LocalFree,0x467144
kernel32.dll,LocalAlloc,0x467148
kernel32.dll,GetVersion,0x46714c
kernel32.dll,GetCurrentThreadId,0x467150
kernel32.dll,InterlockedDecrement,0x467154
kernel32.dll,InterlockedIncrement,0x467158
kernel32.dll,VirtualQuery,0x46715c
kernel32.dll,WideCharToMultiByte,0x467160
kernel32.dll,MultiByteToWideChar,0x467164
kernel32.dll,lstrlenA,0x467168
kernel32.dll,lstrcpynA,0x46716c
kernel32.dll,LoadLibraryExA,0x467170
kernel32.dll,GetThreadLocale,0x467174
kernel32.dll,GetStartupInfoA,0x467178
kernel32.dll,GetProcAddress,0x46717c
kernel32.dll,GetModuleHandleA,0x467180
kernel32.dll,GetModuleFileNameA,0x467184
kernel32.dll,GetLocaleInfoA,0x467188
kernel32.dll,GetCommandLineA,0x46718c
kernel32.dll,FreeLibrary,0x467190
kernel32.dll,FindFirstFileA,0x467194
kernel32.dll,FindClose,0x467198
kernel32.dll,ExitProcess,0x46719c
kernel32.dll,WriteFile,0x4671a0
kernel32.dll,UnhandledExceptionFilter,0x4671a4
kernel32.dll,RtlUnwind,0x4671a8
kernel32.dll,RaiseException,0x4671ac
kernel32.dll,GetStdHandle,0x4671b0
user32.dll,GetKeyboardType,0x4671b8
user32.dll,LoadStringA,0x4671bc
user32.dll,MessageBoxA,0x4671c0
user32.dll,CharNextA,0x4671c4
advapi32.dll,RegQueryValueExA,0x4671cc
advapi32.dll,RegOpenKeyExA,0x4671d0
advapi32.dll,RegCloseKey,0x4671d4
oleaut32.dll,SysFreeString,0x4671dc
oleaut32.dll,SysReAllocStringLen,0x4671e0
oleaut32.dll,SysAllocStringLen,0x4671e4
kernel32.dll,TlsSetValue,0x4671ec
kernel32.dll,TlsGetValue,0x4671f0
kernel32.dll,LocalAlloc,0x4671f4
