dll,name,address
KERNEL32.dll,MultiByteToWideChar,0x408000
KERNEL32.dll,ExitProcess,0x408004
KERNEL32.dll,GetEnvironmentVariableW,0x408008
KERNEL32.dll,GetTempFileNameW,0x40800c
KERNEL32.dll,FreeResource,0x408010
KERNEL32.dll,lstrlenA,0x408014
KERNEL32.dll,FindResourceW,0x408018
KERNEL32.dll,LoadResource,0x40801c
KERNEL32.dll,GetModuleHandleW,0x408020
KERNEL32.dll,WriteFile,0x408024
KERNEL32.dll,SizeofResource,0x408028
KERNEL32.dll,GetModuleFileNameW,0x40802c
KERNEL32.dll,CreateFileW,0x408030
KERNEL32.dll,lstrcatA,0x408034
KERNEL32.dll,GetTempPathW,0x408038
KERNEL32.dll,LockResource,0x40803c
KERNEL32.dll,CloseHandle,0x408040
KERNEL32.dll,DeleteFileW,0x408044
KERNEL32.dll,lstrcpyA,0x408048
KERNEL32.dll,HeapSize,0x40804c
KERNEL32.dll,HeapReAlloc,0x408050
KERNEL32.dll,GetStringTypeW,0x408054
KERNEL32.dll,LCMapStringW,0x408058
KERNEL32.dll,RtlUnwind,0x40805c
KERNEL32.dll,LoadLibraryW,0x408060
KERNEL32.dll,GetCurrentProcessId,0x408064
KERNEL32.dll,GetTickCount,0x408068
KERNEL32.dll,QueryPerformanceCounter,0x40806c
KERNEL32.dll,GetFileType,0x408070
KERNEL32.dll,GetLastError,0x408074
KERNEL32.dll,HeapFree,0x408078
KERNEL32.dll,HeapAlloc,0x40807c
KERNEL32.dll,GetFullPathNameW,0x408080
KERNEL32.dll,SetEnvironmentVariableW,0x408084
KERNEL32.dll,GetCurrentDirectoryW,0x408088
KERNEL32.dll,SetCurrentDirectoryW,0x40808c
KERNEL32.dll,WideCharToMultiByte,0x408090
KERNEL32.dll,GetSystemTimeAsFileTime,0x408094
KERNEL32.dll,GetCommandLineW,0x408098
KERNEL32.dll,HeapSetInformation,0x40809c
KERNEL32.dll,GetStartupInfoW,0x4080a0
KERNEL32.dll,TerminateProcess,0x4080a4
KERNEL32.dll,GetCurrentProcess,0x4080a8
KERNEL32.dll,UnhandledExceptionFilter,0x4080ac
KERNEL32.dll,SetUnhandledExceptionFilter,0x4080b0
KERNEL32.dll,IsDebuggerPresent,0x4080b4
KERNEL32.dll,HeapCreate,0x4080b8
KERNEL32.dll,GetProcAddress,0x4080bc
KERNEL32.dll,DecodePointer,0x4080c0
KERNEL32.dll,GetStdHandle,0x4080c4
KERNEL32.dll,EncodePointer,0x4080c8
KERNEL32.dll,TlsAlloc,0x4080cc
KERNEL32.dll,TlsGetValue,0x4080d0
KERNEL32.dll,TlsSetValue,0x4080d4
KERNEL32.dll,TlsFree,0x4080d8
KERNEL32.dll,InterlockedIncrement,0x4080dc
KERNEL32.dll,SetLastError,0x4080e0
KERNEL32.dll,GetCurrentThreadId,0x4080e4
KERNEL32.dll,InterlockedDecrement,0x4080e8
KERNEL32.dll,GetDriveTypeW,0x4080ec
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4080f0
KERNEL32.dll,DeleteCriticalSection,0x4080f4
KERNEL32.dll,LeaveCriticalSection,0x4080f8
KERNEL32.dll,EnterCriticalSection,0x4080fc
KERNEL32.dll,Sleep,0x408100
KERNEL32.dll,GetCPInfo,0x408104
KERNEL32.dll,GetACP,0x408108
KERNEL32.dll,GetOEMCP,0x40810c
KERNEL32.dll,IsValidCodePage,0x408110
KERNEL32.dll,FreeEnvironmentStringsW,0x408114
KERNEL32.dll,GetEnvironmentStringsW,0x408118
KERNEL32.dll,SetHandleCount,0x40811c
KERNEL32.dll,IsProcessorFeaturePresent,0x408120
USER32.dll,TranslateAcceleratorW,0x408130
USER32.dll,GetMessageW,0x408134
USER32.dll,TranslateMessage,0x408138
USER32.dll,LoadAcceleratorsW,0x40813c
USER32.dll,LoadStringW,0x408140
USER32.dll,CreateWindowExW,0x408144
USER32.dll,UpdateWindow,0x408148
USER32.dll,DispatchMessageW,0x40814c
SHELL32.dll,ShellExecuteW,0x408128
