dll,name,address
KERNEL32.dll,IsBadWritePtr,0x42a148
KERNEL32.dll,IsBadReadPtr,0x42a14c
KERNEL32.dll,HeapValidate,0x42a150
KERNEL32.dll,GetCommandLineA,0x42a154
KERNEL32.dll,GetVersion,0x42a158
KERNEL32.dll,ExitProcess,0x42a15c
KERNEL32.dll,GetLastError,0x42a160
KERNEL32.dll,CloseHandle,0x42a164
KERNEL32.dll,DebugBreak,0x42a168
KERNEL32.dll,GetStdHandle,0x42a16c
KERNEL32.dll,WriteFile,0x42a170
KERNEL32.dll,InterlockedDecrement,0x42a174
KERNEL32.dll,OutputDebugStringA,0x42a178
KERNEL32.dll,GetProcAddress,0x42a17c
KERNEL32.dll,LoadLibraryA,0x42a180
KERNEL32.dll,InterlockedIncrement,0x42a184
KERNEL32.dll,GetModuleFileNameA,0x42a188
KERNEL32.dll,HeapAlloc,0x42a18c
KERNEL32.dll,HeapReAlloc,0x42a190
KERNEL32.dll,HeapFree,0x42a194
KERNEL32.dll,HeapDestroy,0x42a198
KERNEL32.dll,HeapCreate,0x42a19c
KERNEL32.dll,VirtualFree,0x42a1a0
KERNEL32.dll,TerminateProcess,0x42a1a4
KERNEL32.dll,GetCurrentProcess,0x42a1a8
KERNEL32.dll,VirtualAlloc,0x42a1ac
KERNEL32.dll,FlushFileBuffers,0x42a1b0
KERNEL32.dll,SetHandleCount,0x42a1b4
KERNEL32.dll,GetFileType,0x42a1b8
KERNEL32.dll,GetStartupInfoA,0x42a1bc
KERNEL32.dll,ReadFile,0x42a1c0
KERNEL32.dll,SetFilePointer,0x42a1c4
KERNEL32.dll,UnhandledExceptionFilter,0x42a1c8
KERNEL32.dll,FreeEnvironmentStringsA,0x42a1cc
KERNEL32.dll,FreeEnvironmentStringsW,0x42a1d0
KERNEL32.dll,WideCharToMultiByte,0x42a1d4
KERNEL32.dll,GetEnvironmentStrings,0x42a1d8
KERNEL32.dll,GetEnvironmentStringsW,0x42a1dc
KERNEL32.dll,RtlUnwind,0x42a1e0
KERNEL32.dll,SetStdHandle,0x42a1e4
KERNEL32.dll,SetConsoleCtrlHandler,0x42a1e8
KERNEL32.dll,CreateFileA,0x42a1ec
KERNEL32.dll,MultiByteToWideChar,0x42a1f0
KERNEL32.dll,GetStringTypeA,0x42a1f4
KERNEL32.dll,GetStringTypeW,0x42a1f8
KERNEL32.dll,GetCPInfo,0x42a1fc
KERNEL32.dll,GetACP,0x42a200
KERNEL32.dll,GetOEMCP,0x42a204
KERNEL32.dll,SetEndOfFile,0x42a208
KERNEL32.dll,LCMapStringA,0x42a20c
KERNEL32.dll,LCMapStringW,0x42a210
