dll,name,address
KERNEL32.dll,TerminateProcess,0x404000
KERNEL32.dll,AllocConsole,0x404004
KERNEL32.dll,MultiByteToWideChar,0x404008
KERNEL32.dll,GetSystemTime,0x40400c
KERNEL32.dll,WriteFile,0x404010
KERNEL32.dll,ReadFile,0x404014
KERNEL32.dll,PeekNamedPipe,0x404018
KERNEL32.dll,Sleep,0x40401c
KERNEL32.dll,CreateProcessA,0x404020
KERNEL32.dll,GetSystemDirectoryA,0x404024
KERNEL32.dll,CreatePipe,0x404028
KERNEL32.dll,FreeConsole,0x40402c
KERNEL32.dll,GetLastError,0x404030
KERNEL32.dll,CreateMutexA,0x404034
KERNEL32.dll,CopyFileA,0x404038
KERNEL32.dll,GetModuleFileNameA,0x40403c
KERNEL32.dll,LoadLibraryA,0x404040
KERNEL32.dll,CloseHandle,0x404044
KERNEL32.dll,GetComputerNameA,0x404048
SHELL32.dll,ShellExecuteA,0x40410c
SHELL32.dll,SHGetSpecialFolderPathA,0x404110
MSVCRT.dll,_controlfp,0x404050
MSVCRT.dll,_except_handler3,0x404054
MSVCRT.dll,__set_app_type,0x404058
MSVCRT.dll,strlen,0x40405c
MSVCRT.dll,strcat,0x404060
MSVCRT.dll,sprintf,0x404064
MSVCRT.dll,getenv,0x404068
MSVCRT.dll,strcpy,0x40406c
MSVCRT.dll,memset,0x404070
MSVCRT.dll,strcmp,0x404074
MSVCRT.dll,freopen,0x404078
MSVCRT.dll,_iob,0x40407c
MSVCRT.dll,rand,0x404080
MSVCRT.dll,srand,0x404084
MSVCRT.dll,time,0x404088
MSVCRT.dll,memcpy,0x40408c
MSVCRT.dll,strstr,0x404090
MSVCRT.dll,atoi,0x404094
MSVCRT.dll,strncmp,0x404098
MSVCRT.dll,_itoa,0x40409c
MSVCRT.dll,strchr,0x4040a0
MSVCRT.dll,__CxxFrameHandler,0x4040a4
MSVCRT.dll,_EH_prolog,0x4040a8
MSVCRT.dll,fclose,0x4040ac
MSVCRT.dll,fwrite,0x4040b0
MSVCRT.dll,fopen,0x4040b4
MSVCRT.dll,??3@YAXPAX@Z,0x4040b8
MSVCRT.dll,??2@YAPAXI@Z,0x4040bc
MSVCRT.dll,fread,0x4040c0
MSVCRT.dll,ftell,0x4040c4
MSVCRT.dll,fseek,0x4040c8
MSVCRT.dll,strncpy,0x4040cc
MSVCRT.dll,strrchr,0x4040d0
MSVCRT.dll,getchar,0x4040d4
MSVCRT.dll,printf,0x4040d8
MSVCRT.dll,_exit,0x4040dc
MSVCRT.dll,_XcptFilter,0x4040e0
MSVCRT.dll,exit,0x4040e4
MSVCRT.dll,__p___initenv,0x4040e8
MSVCRT.dll,__getmainargs,0x4040ec
MSVCRT.dll,_initterm,0x4040f0
MSVCRT.dll,__setusermatherr,0x4040f4
MSVCRT.dll,_adjust_fdiv,0x4040f8
MSVCRT.dll,__p__commode,0x4040fc
MSVCRT.dll,__p__fmode,0x404100
MSVCRT.dll,_strnicmp,0x404104
WININET.dll,InternetConnectA,0x404118
WININET.dll,InternetCloseHandle,0x40411c
WININET.dll,HttpSendRequestA,0x404120
WININET.dll,InternetQueryOptionA,0x404124
WININET.dll,InternetReadFile,0x404128
WININET.dll,InternetSetOptionA,0x40412c
WININET.dll,HttpOpenRequestA,0x404130
WININET.dll,InternetOpenA,0x404134
WS2_32.dll,gethostname,0x40413c
WS2_32.dll,WSAStartup,0x404140
WS2_32.dll,gethostbyname,0x404144
WS2_32.dll,inet_ntoa,0x404148
