dll,name,address
MSVCRT.dll,_controlfp,0x4070bc
MSVCRT.dll,_except_handler3,0x4070c0
MSVCRT.dll,__set_app_type,0x4070c4
MSVCRT.dll,__p__fmode,0x4070c8
MSVCRT.dll,??3@YAXPAX@Z,0x4070cc
MSVCRT.dll,_adjust_fdiv,0x4070d0
MSVCRT.dll,__setusermatherr,0x4070d4
MSVCRT.dll,_initterm,0x4070d8
MSVCRT.dll,__getmainargs,0x4070dc
MSVCRT.dll,_acmdln,0x4070e0
MSVCRT.dll,exit,0x4070e4
MSVCRT.dll,_XcptFilter,0x4070e8
MSVCRT.dll,_exit,0x4070ec
MSVCRT.dll,tolower,0x4070f0
MSVCRT.dll,rand,0x4070f4
MSVCRT.dll,wcsncpy,0x4070f8
MSVCRT.dll,time,0x4070fc
MSVCRT.dll,srand,0x407100
MSVCRT.dll,sprintf,0x407104
MSVCRT.dll,_beginthreadex,0x407108
MSVCRT.dll,wcslen,0x40710c
MSVCRT.dll,_waccess,0x407110
MSVCRT.dll,wcschr,0x407114
MSVCRT.dll,swprintf,0x407118
MSVCRT.dll,wcsstr,0x40711c
MSVCRT.dll,wcscpy,0x407120
MSVCRT.dll,__CxxFrameHandler,0x407124
MSVCRT.dll,??2@YAPAXI@Z,0x407128
MSVCRT.dll,__p__commode,0x40712c
MFC42u.DLL,,0x4070a8
MFC42u.DLL,,0x4070ac
MFC42u.DLL,,0x4070b0
MFC42u.DLL,,0x4070b4
KERNEL32.dll,GetStartupInfoA,0x407010
KERNEL32.dll,GetModuleHandleA,0x407014
KERNEL32.dll,WideCharToMultiByte,0x407018
KERNEL32.dll,GetTickCount,0x40701c
KERNEL32.dll,UnmapViewOfFile,0x407020
KERNEL32.dll,CreateFileMappingW,0x407024
KERNEL32.dll,MapViewOfFile,0x407028
KERNEL32.dll,GetFileInformationByHandle,0x40702c
KERNEL32.dll,GetFileSize,0x407030
KERNEL32.dll,ReadFile,0x407034
KERNEL32.dll,SetFilePointer,0x407038
KERNEL32.dll,GetLocalTime,0x40703c
KERNEL32.dll,SystemTimeToFileTime,0x407040
KERNEL32.dll,FileTimeToSystemTime,0x407044
KERNEL32.dll,SetEvent,0x407048
KERNEL32.dll,WaitForSingleObject,0x40704c
KERNEL32.dll,GetCurrentThreadId,0x407050
KERNEL32.dll,MultiByteToWideChar,0x407054
KERNEL32.dll,GetProcessHeap,0x407058
KERNEL32.dll,HeapAlloc,0x40705c
KERNEL32.dll,CreateEventW,0x407060
KERNEL32.dll,WaitForMultipleObjects,0x407064
KERNEL32.dll,HeapFree,0x407068
KERNEL32.dll,GetModuleFileNameW,0x40706c
KERNEL32.dll,GetEnvironmentVariableW,0x407070
KERNEL32.dll,GetTempPathW,0x407074
KERNEL32.dll,GetTempFileNameW,0x407078
KERNEL32.dll,DeleteFileW,0x40707c
KERNEL32.dll,MoveFileW,0x407080
KERNEL32.dll,MoveFileExW,0x407084
KERNEL32.dll,ExpandEnvironmentStringsW,0x407088
KERNEL32.dll,CreateProcessW,0x40708c
KERNEL32.dll,CreateDirectoryW,0x407090
KERNEL32.dll,GetLastError,0x407094
KERNEL32.dll,CreateFileW,0x407098
KERNEL32.dll,WriteFile,0x40709c
KERNEL32.dll,CloseHandle,0x4070a0
USER32.dll,PostThreadMessageW,0x407148
USER32.dll,GetInputState,0x40714c
USER32.dll,GetDesktopWindow,0x407150
USER32.dll,GetMessageW,0x407154
ADVAPI32.dll,RegQueryValueExW,0x407000
ADVAPI32.dll,RegOpenKeyExW,0x407004
ADVAPI32.dll,RegCloseKey,0x407008
SHELL32.dll,ShellExecuteW,0x407134
SHLWAPI.dll,StrCmpNIW,0x40713c
SHLWAPI.dll,StrRChrIW,0x407140
