dll,name,address
KERNEL32.DLL,LoadLibraryA,0x43441c
KERNEL32.DLL,GetProcAddress,0x434420
KERNEL32.DLL,GetCommandLineA,0x434424
KERNEL32.DLL,GetStartupInfoA,0x434428
KERNEL32.DLL,GetProcessHeap,0x43442c
KERNEL32.DLL,GetLastError,0x434430
KERNEL32.DLL,GetModuleHandleA,0x434434
KERNEL32.DLL,TlsGetValue,0x434438
KERNEL32.DLL,InterlockedIncrement,0x43443c
KERNEL32.DLL,HeapAlloc,0x434440
KERNEL32.DLL,ExitProcess,0x434444
ADVAPI32.dll,FreeSid,0x43444c
ole32.dll,CoInitialize,0x434454
RPCRT4.dll,UuidCreate,0x43445c
Secur32.dll,GetComputerObjectNameW,0x434464
SHELL32.dll,SHGetFolderPathW,0x43446c
USER32.dll,wsprintfW,0x434474
WS2_32.dll,htons,0x43447c
WTSAPI32.dll,WTSFreeMemory,0x434484
