dll,name,address
KERNEL32.dll,OpenProcess,0x402018
KERNEL32.dll,Process32Next,0x40201c
KERNEL32.dll,Process32First,0x402020
KERNEL32.dll,CreateToolhelp32Snapshot,0x402024
KERNEL32.dll,lstrcatW,0x402028
KERNEL32.dll,ExpandEnvironmentStringsW,0x40202c
KERNEL32.dll,lstrcatA,0x402030
KERNEL32.dll,CreateProcessA,0x402034
KERNEL32.dll,lstrlenW,0x402038
KERNEL32.dll,lstrcpyA,0x40203c
KERNEL32.dll,GetModuleFileNameA,0x402040
KERNEL32.dll,DeleteFileA,0x402044
KERNEL32.dll,WinExec,0x402048
KERNEL32.dll,SetFileTime,0x40204c
KERNEL32.dll,CreateFileA,0x402050
KERNEL32.dll,GetFileAttributesExA,0x402054
KERNEL32.dll,VirtualAllocEx,0x402058
KERNEL32.dll,WriteProcessMemory,0x40205c
KERNEL32.dll,CreateRemoteThread,0x402060
KERNEL32.dll,GetModuleHandleA,0x402064
KERNEL32.dll,GetProcAddress,0x402068
KERNEL32.dll,ExpandEnvironmentStringsA,0x40206c
KERNEL32.dll,CloseHandle,0x402070
KERNEL32.dll,CopyFileA,0x402074
KERNEL32.dll,GetStartupInfoA,0x402078
ADVAPI32.dll,RegOpenKeyA,0x402000
ADVAPI32.dll,RegQueryValueExA,0x402004
ADVAPI32.dll,RegOpenKeyExA,0x402008
ADVAPI32.dll,RegSetValueExA,0x40200c
ADVAPI32.dll,RegCloseKey,0x402010
MSVCRT.dll,strcat,0x402080
MSVCRT.dll,memset,0x402084
MSVCRT.dll,_except_handler3,0x402088
MSVCRT.dll,strncpy,0x40208c
MSVCRT.dll,_mbsrchr,0x402090
MSVCRT.dll,fclose,0x402094
MSVCRT.dll,fwrite,0x402098
MSVCRT.dll,fopen,0x40209c
MSVCRT.dll,strcmp,0x4020a0
MSVCRT.dll,strncmp,0x4020a4
MSVCRT.dll,_exit,0x4020a8
MSVCRT.dll,_XcptFilter,0x4020ac
MSVCRT.dll,exit,0x4020b0
MSVCRT.dll,_acmdln,0x4020b4
MSVCRT.dll,__getmainargs,0x4020b8
MSVCRT.dll,_initterm,0x4020bc
MSVCRT.dll,__setusermatherr,0x4020c0
MSVCRT.dll,_adjust_fdiv,0x4020c4
MSVCRT.dll,__p__commode,0x4020c8
MSVCRT.dll,__p__fmode,0x4020cc
MSVCRT.dll,__set_app_type,0x4020d0
MSVCRT.dll,_controlfp,0x4020d4
MSVCRT.dll,_stricmp,0x4020d8
