dll,name,address
COMCTL32.dll,,0x40d018
KERNEL32.dll,SetFileAttributesW,0x40d044
KERNEL32.dll,GetFullPathNameA,0x40d048
KERNEL32.dll,MoveFileA,0x40d04c
KERNEL32.dll,DeleteFileA,0x40d050
KERNEL32.dll,DeleteFileW,0x40d054
KERNEL32.dll,CreateDirectoryA,0x40d058
KERNEL32.dll,CreateDirectoryW,0x40d05c
KERNEL32.dll,FindClose,0x40d060
KERNEL32.dll,FindNextFileA,0x40d064
KERNEL32.dll,FindFirstFileA,0x40d068
KERNEL32.dll,FindNextFileW,0x40d06c
KERNEL32.dll,FindFirstFileW,0x40d070
KERNEL32.dll,GetTickCount,0x40d074
KERNEL32.dll,WideCharToMultiByte,0x40d078
KERNEL32.dll,MultiByteToWideChar,0x40d07c
KERNEL32.dll,GetVersionExA,0x40d080
KERNEL32.dll,GlobalAlloc,0x40d084
KERNEL32.dll,lstrlenA,0x40d088
KERNEL32.dll,GetModuleFileNameA,0x40d08c
KERNEL32.dll,FindResourceA,0x40d090
KERNEL32.dll,GetModuleHandleA,0x40d094
KERNEL32.dll,HeapAlloc,0x40d098
KERNEL32.dll,GetProcessHeap,0x40d09c
KERNEL32.dll,HeapFree,0x40d0a0
KERNEL32.dll,HeapReAlloc,0x40d0a4
KERNEL32.dll,CompareStringA,0x40d0a8
KERNEL32.dll,ExitProcess,0x40d0ac
KERNEL32.dll,GetLocaleInfoA,0x40d0b0
KERNEL32.dll,GetNumberFormatA,0x40d0b4
KERNEL32.dll,SetFileAttributesA,0x40d0b8
KERNEL32.dll,GetProcAddress,0x40d0bc
KERNEL32.dll,DosDateTimeToFileTime,0x40d0c0
KERNEL32.dll,GetDateFormatA,0x40d0c4
KERNEL32.dll,GetTimeFormatA,0x40d0c8
KERNEL32.dll,FileTimeToSystemTime,0x40d0cc
KERNEL32.dll,FileTimeToLocalFileTime,0x40d0d0
KERNEL32.dll,ExpandEnvironmentStringsA,0x40d0d4
KERNEL32.dll,WaitForSingleObject,0x40d0d8
KERNEL32.dll,SetCurrentDirectoryA,0x40d0dc
KERNEL32.dll,Sleep,0x40d0e0
KERNEL32.dll,GetTempPathA,0x40d0e4
KERNEL32.dll,MoveFileExA,0x40d0e8
KERNEL32.dll,UnmapViewOfFile,0x40d0ec
KERNEL32.dll,GetCommandLineA,0x40d0f0
KERNEL32.dll,MapViewOfFile,0x40d0f4
KERNEL32.dll,CreateFileMappingA,0x40d0f8
KERNEL32.dll,GetModuleFileNameW,0x40d0fc
KERNEL32.dll,SetEnvironmentVariableA,0x40d100
KERNEL32.dll,OpenFileMappingA,0x40d104
KERNEL32.dll,LocalFileTimeToFileTime,0x40d108
KERNEL32.dll,SystemTimeToFileTime,0x40d10c
KERNEL32.dll,IsDBCSLeadByte,0x40d110
KERNEL32.dll,GetCPInfo,0x40d114
KERNEL32.dll,FreeLibrary,0x40d118
KERNEL32.dll,LoadLibraryA,0x40d11c
KERNEL32.dll,GetCurrentDirectoryA,0x40d120
KERNEL32.dll,GetFileAttributesW,0x40d124
KERNEL32.dll,GetFileAttributesA,0x40d128
KERNEL32.dll,WriteFile,0x40d12c
KERNEL32.dll,SetFileTime,0x40d130
KERNEL32.dll,SetLastError,0x40d134
KERNEL32.dll,GetStdHandle,0x40d138
KERNEL32.dll,ReadFile,0x40d13c
KERNEL32.dll,CreateFileW,0x40d140
KERNEL32.dll,CreateFileA,0x40d144
KERNEL32.dll,GetFileType,0x40d148
KERNEL32.dll,SetFilePointer,0x40d14c
KERNEL32.dll,CloseHandle,0x40d150
KERNEL32.dll,SetEndOfFile,0x40d154
KERNEL32.dll,GetLastError,0x40d158
KERNEL32.dll,lstrcmpiA,0x40d15c
USER32.dll,OemToCharBuffA,0x40d190
USER32.dll,CharLowerA,0x40d194
USER32.dll,wvsprintfA,0x40d198
USER32.dll,FindWindowExA,0x40d19c
USER32.dll,GetClassNameA,0x40d1a0
USER32.dll,ReleaseDC,0x40d1a4
USER32.dll,GetDC,0x40d1a8
USER32.dll,SendMessageA,0x40d1ac
USER32.dll,wsprintfA,0x40d1b0
USER32.dll,SetDlgItemTextA,0x40d1b4
USER32.dll,EndDialog,0x40d1b8
USER32.dll,DestroyIcon,0x40d1bc
USER32.dll,SendDlgItemMessageA,0x40d1c0
USER32.dll,GetDlgItemTextA,0x40d1c4
USER32.dll,DialogBoxParamA,0x40d1c8
USER32.dll,IsWindowVisible,0x40d1cc
USER32.dll,WaitForInputIdle,0x40d1d0
USER32.dll,GetSysColor,0x40d1d4
USER32.dll,PostMessageA,0x40d1d8
USER32.dll,SetMenu,0x40d1dc
USER32.dll,SetFocus,0x40d1e0
USER32.dll,LoadBitmapA,0x40d1e4
USER32.dll,CharToOemBuffA,0x40d1e8
USER32.dll,CharToOemA,0x40d1ec
USER32.dll,OemToCharA,0x40d1f0
USER32.dll,MapWindowPoints,0x40d1f4
USER32.dll,CreateWindowExA,0x40d1f8
USER32.dll,UpdateWindow,0x40d1fc
USER32.dll,SetWindowTextA,0x40d200
USER32.dll,LoadCursorA,0x40d204
USER32.dll,RegisterClassExA,0x40d208
USER32.dll,SetWindowLongA,0x40d20c
USER32.dll,GetWindowLongA,0x40d210
USER32.dll,DefWindowProcA,0x40d214
USER32.dll,PeekMessageA,0x40d218
USER32.dll,GetMessageA,0x40d21c
USER32.dll,TranslateMessage,0x40d220
USER32.dll,DispatchMessageA,0x40d224
USER32.dll,DestroyWindow,0x40d228
