dll,name,address
KERNEL32.dll,Process32NextW,0x4130a4
KERNEL32.dll,Process32FirstW,0x4130a8
KERNEL32.dll,CreateToolhelp32Snapshot,0x4130ac
KERNEL32.dll,SizeofResource,0x4130b0
KERNEL32.dll,LockResource,0x4130b4
KERNEL32.dll,LoadResource,0x4130b8
KERNEL32.dll,FindResourceA,0x4130bc
KERNEL32.dll,GetLocaleInfoA,0x4130c0
KERNEL32.dll,CreateProcessA,0x4130c4
KERNEL32.dll,OpenProcess,0x4130c8
KERNEL32.dll,GetCurrentProcessId,0x4130cc
KERNEL32.dll,lstrcatW,0x4130d0
KERNEL32.dll,GetTempFileNameW,0x4130d4
KERNEL32.dll,GetTempPathW,0x4130d8
KERNEL32.dll,TerminateProcess,0x4130dc
KERNEL32.dll,GetTickCount,0x4130e0
KERNEL32.dll,GetLogicalDriveStringsA,0x4130e4
KERNEL32.dll,GlobalUnlock,0x4130e8
KERNEL32.dll,GlobalLock,0x4130ec
KERNEL32.dll,GlobalAlloc,0x4130f0
KERNEL32.dll,OpenMutexA,0x4130f4
KERNEL32.dll,ResumeThread,0x4130f8
KERNEL32.dll,SetThreadContext,0x4130fc
KERNEL32.dll,WriteProcessMemory,0x413100
KERNEL32.dll,VirtualAllocEx,0x413104
KERNEL32.dll,ReadProcessMemory,0x413108
KERNEL32.dll,GetThreadContext,0x41310c
KERNEL32.dll,VirtualAlloc,0x413110
KERNEL32.dll,CreateProcessW,0x413114
KERNEL32.dll,GlobalFree,0x413118
KERNEL32.dll,LocalAlloc,0x41311c
KERNEL32.dll,PeekNamedPipe,0x413120
KERNEL32.dll,GetStdHandle,0x413124
KERNEL32.dll,CreatePipe,0x413128
KERNEL32.dll,DuplicateHandle,0x41312c
KERNEL32.dll,GetCurrentThread,0x413130
KERNEL32.dll,lstrcpynA,0x413134
KERNEL32.dll,GetModuleFileNameA,0x413138
KERNEL32.dll,ExitProcess,0x41313c
KERNEL32.dll,AllocConsole,0x413140
KERNEL32.dll,GetStartupInfoA,0x413144
KERNEL32.dll,CreateMutexA,0x413148
KERNEL32.dll,GetLongPathNameW,0x41314c
KERNEL32.dll,GetModuleFileNameW,0x413150
KERNEL32.dll,CopyFileW,0x413154
KERNEL32.dll,ExpandEnvironmentStringsA,0x413158
KERNEL32.dll,FindFirstFileA,0x41315c
KERNEL32.dll,FindNextFileA,0x413160
KERNEL32.dll,DeleteFileA,0x413164
KERNEL32.dll,GetLastError,0x413168
KERNEL32.dll,CreateFileMappingA,0x41316c
KERNEL32.dll,MapViewOfFileEx,0x413170
KERNEL32.dll,DeleteFileW,0x413174
KERNEL32.dll,RemoveDirectoryW,0x413178
KERNEL32.dll,GetFileAttributesW,0x41317c
KERNEL32.dll,SetFileAttributesW,0x413180
KERNEL32.dll,TerminateThread,0x413184
KERNEL32.dll,FindClose,0x413188
KERNEL32.dll,GetFileSize,0x41318c
KERNEL32.dll,SetFilePointer,0x413190
KERNEL32.dll,ReadFile,0x413194
KERNEL32.dll,GetDriveTypeA,0x413198
KERNEL32.dll,lstrlenA,0x41319c
KERNEL32.dll,FindFirstFileW,0x4131a0
KERNEL32.dll,FindNextFileW,0x4131a4
KERNEL32.dll,LoadLibraryA,0x4131a8
KERNEL32.dll,GetProcAddress,0x4131ac
KERNEL32.dll,SetEvent,0x4131b0
KERNEL32.dll,HeapCreate,0x4131b4
KERNEL32.dll,HeapFree,0x4131b8
KERNEL32.dll,GetLocalTime,0x4131bc
KERNEL32.dll,CreateEventA,0x4131c0
KERNEL32.dll,WaitForSingleObject,0x4131c4
KERNEL32.dll,CreateDirectoryW,0x4131c8
KERNEL32.dll,CreateFileW,0x4131cc
KERNEL32.dll,WriteFile,0x4131d0
KERNEL32.dll,CloseHandle,0x4131d4
KERNEL32.dll,ExitThread,0x4131d8
KERNEL32.dll,Sleep,0x4131dc
KERNEL32.dll,GetModuleHandleA,0x4131e0
KERNEL32.dll,GetCurrentProcess,0x4131e4
KERNEL32.dll,CreateThread,0x4131e8
USER32.dll,CallNextHookEx,0x413448
USER32.dll,GetKeyState,0x41344c
USER32.dll,GetWindowTextA,0x413450
USER32.dll,GetWindowTextLengthA,0x413454
USER32.dll,GetForegroundWindow,0x413458
USER32.dll,UnhookWindowsHookEx,0x41345c
USER32.dll,CloseClipboard,0x413460
USER32.dll,GetClipboardData,0x413464
USER32.dll,OpenClipboard,0x413468
USER32.dll,SetClipboardData,0x41346c
USER32.dll,EmptyClipboard,0x413470
USER32.dll,ExitWindowsEx,0x413474
USER32.dll,MessageBoxW,0x413478
USER32.dll,GetKeyboardLayoutNameA,0x41347c
USER32.dll,GetWindowThreadProcessId,0x413480
USER32.dll,ShowWindow,0x413484
USER32.dll,SetWindowsHookExA,0x413488
USER32.dll,IsWindowVisible,0x41348c
USER32.dll,GetWindowTextW,0x413490
USER32.dll,EnumWindows,0x413494
USER32.dll,DrawIcon,0x413498
USER32.dll,GetIconInfo,0x41349c
USER32.dll,SendInput,0x4134a0
USER32.dll,SystemParametersInfoW,0x4134a4
USER32.dll,CreateWindowExA,0x4134a8
USER32.dll,RegisterClassExA,0x4134ac
USER32.dll,AppendMenuA,0x4134b0
USER32.dll,CreatePopupMenu,0x4134b4
USER32.dll,TrackPopupMenu,0x4134b8
USER32.dll,SetForegroundWindow,0x4134bc
USER32.dll,GetCursorPos,0x4134c0
USER32.dll,DefWindowProcA,0x4134c4
USER32.dll,DispatchMessageA,0x4134c8
USER32.dll,GetKeyboardLayout,0x4134cc
USER32.dll,GetMessageA,0x4134d0
USER32.dll,CloseWindow,0x4134d4
USER32.dll,TranslateMessage,0x4134d8
USER32.dll,FindWindowA,0x4134dc
GDI32.dll,CreateDCA,0x413078
GDI32.dll,CreateCompatibleDC,0x41307c
GDI32.dll,GetDeviceCaps,0x413080
GDI32.dll,CreateCompatibleBitmap,0x413084
GDI32.dll,DeleteDC,0x413088
GDI32.dll,DeleteObject,0x41308c
GDI32.dll,SelectObject,0x413090
GDI32.dll,StretchBlt,0x413094
GDI32.dll,GetDIBits,0x413098
GDI32.dll,GetObjectA,0x41309c
ADVAPI32.dll,ChangeServiceConfigW,0x413000
ADVAPI32.dll,QueryServiceStatus,0x413004
ADVAPI32.dll,ControlService,0x413008
ADVAPI32.dll,OpenSCManagerW,0x41300c
ADVAPI32.dll,StartServiceW,0x413010
ADVAPI32.dll,OpenSCManagerA,0x413014
ADVAPI32.dll,EnumServicesStatusW,0x413018
ADVAPI32.dll,OpenServiceW,0x41301c
ADVAPI32.dll,QueryServiceConfigW,0x413020
ADVAPI32.dll,CloseServiceHandle,0x413024
ADVAPI32.dll,RegOpenKeyExA,0x413028
ADVAPI32.dll,RegDeleteKeyA,0x41302c
ADVAPI32.dll,RegCloseKey,0x413030
ADVAPI32.dll,RegQueryValueExA,0x413034
ADVAPI32.dll,RegQueryValueExW,0x413038
ADVAPI32.dll,RegOpenKeyExW,0x41303c
ADVAPI32.dll,RegSetValueExA,0x413040
ADVAPI32.dll,RegCreateKeyA,0x413044
ADVAPI32.dll,RegSetValueExW,0x413048
ADVAPI32.dll,RegCreateKeyW,0x41304c
ADVAPI32.dll,RegDeleteValueW,0x413050
ADVAPI32.dll,RegEnumValueA,0x413054
ADVAPI32.dll,RegEnumKeyExA,0x413058
ADVAPI32.dll,RegQueryInfoKeyA,0x41305c
ADVAPI32.dll,RegCreateKeyExA,0x413060
ADVAPI32.dll,AdjustTokenPrivileges,0x413064
ADVAPI32.dll,LookupPrivilegeValueA,0x413068
ADVAPI32.dll,OpenProcessToken,0x41306c
ADVAPI32.dll,GetUserNameW,0x413070
SHELL32.dll,ShellExecuteExA,0x413424
SHELL32.dll,ExtractIconA,0x413428
SHELL32.dll,Shell_NotifyIconA,0x41342c
SHELL32.dll,ShellExecuteW,0x413430
MSVCP60.dll,??6std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@0@AAV10@PBD@Z,0x4131f0
MSVCP60.dll,??0?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAE@PBDH@Z,0x4131f4
MSVCP60.dll,??8std@@YA_NPBGABV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@0@@Z,0x4131f8
MSVCP60.dll,?replace@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV12@IIPBG@Z,0x4131fc
MSVCP60.dll,?find@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBEIPBGI@Z,0x413200
MSVCP60.dll,?assign@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV12@ABV12@@Z,0x413204
MSVCP60.dll,??8std@@YA_NABV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@0@0@Z,0x413208
MSVCP60.dll,?find_last_of@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIDI@Z,0x41320c
MSVCP60.dll,??Y?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV01@G@Z,0x413210
MSVCP60.dll,?resize@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEXI@Z,0x413214
MSVCP60.dll,?rfind@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBEIGI@Z,0x413218
MSVCP60.dll,?npos@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@2IB,0x41321c
MSVCP60.dll,?substr@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBE?AV12@II@Z,0x413220
MSVCP60.dll,?find@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDII@Z,0x413224
MSVCP60.dll,??6std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@0@AAV10@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@@Z,0x413228
MSVCP60.dll,?is_open@?$basic_ofstream@DU?$char_traits@D@std@@@std@@QBE_NXZ,0x41322c
MSVCP60.dll,??0Init@ios_base@std@@QAE@XZ,0x413230
MSVCP60.dll,??1Init@ios_base@std@@QAE@XZ,0x413234
MSVCP60.dll,??0_Winit@std@@QAE@XZ,0x413238
MSVCP60.dll,??1_Winit@std@@QAE@XZ,0x41323c
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,0x413240
MSVCP60.dll,?find_last_of@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBEIPBGI@Z,0x413244
MSVCP60.dll,??Y?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@D@Z,0x413248
MSVCP60.dll,??Hstd@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@DABV10@@Z,0x41324c
