dll,name,address
USER32.dll,EndPaint,0x439140
USER32.dll,DestroyWindow,0x439144
USER32.dll,GetMessageA,0x439148
USER32.dll,RegisterClassExA,0x43914c
USER32.dll,PostQuitMessage,0x439150
USER32.dll,LoadStringA,0x439154
USER32.dll,LoadIconA,0x439158
USER32.dll,BeginPaint,0x43915c
USER32.dll,TranslateMessage,0x439160
USER32.dll,TranslateAcceleratorA,0x439164
USER32.dll,EndDialog,0x439168
USER32.dll,DefWindowProcA,0x43916c
USER32.dll,LoadAcceleratorsA,0x439170
USER32.dll,DispatchMessageA,0x439174
USER32.dll,LoadCursorA,0x439178
USER32.dll,DialogBoxParamA,0x43917c
KERNEL32.dll,TlsFree,0x439000
KERNEL32.dll,CreateFileW,0x439004
KERNEL32.dll,GetProcessHeap,0x439008
KERNEL32.dll,SetEndOfFile,0x43900c
KERNEL32.dll,WriteConsoleW,0x439010
KERNEL32.dll,SetStdHandle,0x439014
KERNEL32.dll,CreateFileA,0x439018
KERNEL32.dll,FlushFileBuffers,0x43901c
KERNEL32.dll,SetFilePointer,0x439020
KERNEL32.dll,IsValidLocale,0x439024
KERNEL32.dll,EnumSystemLocalesA,0x439028
KERNEL32.dll,GetLocaleInfoA,0x43902c
KERNEL32.dll,GetUserDefaultLCID,0x439030
KERNEL32.dll,GetStringTypeW,0x439034
KERNEL32.dll,HeapReAlloc,0x439038
KERNEL32.dll,GetCurrentProcessId,0x43903c
KERNEL32.dll,GetTickCount,0x439040
KERNEL32.dll,EncodePointer,0x439044
KERNEL32.dll,DecodePointer,0x439048
KERNEL32.dll,GetSystemTimeAsFileTime,0x43904c
KERNEL32.dll,GetProcAddress,0x439050
KERNEL32.dll,GetModuleHandleW,0x439054
KERNEL32.dll,ExitProcess,0x439058
KERNEL32.dll,GetLastError,0x43905c
KERNEL32.dll,HeapFree,0x439060
KERNEL32.dll,HeapAlloc,0x439064
KERNEL32.dll,EnterCriticalSection,0x439068
KERNEL32.dll,LeaveCriticalSection,0x43906c
KERNEL32.dll,GetCommandLineA,0x439070
KERNEL32.dll,HeapSetInformation,0x439074
KERNEL32.dll,GetStartupInfoW,0x439078
KERNEL32.dll,TerminateProcess,0x43907c
KERNEL32.dll,GetCurrentProcess,0x439080
KERNEL32.dll,UnhandledExceptionFilter,0x439084
KERNEL32.dll,SetUnhandledExceptionFilter,0x439088
KERNEL32.dll,IsDebuggerPresent,0x43908c
KERNEL32.dll,IsProcessorFeaturePresent,0x439090
KERNEL32.dll,Sleep,0x439094
KERNEL32.dll,HeapSize,0x439098
KERNEL32.dll,GetCPInfo,0x43909c
KERNEL32.dll,InterlockedIncrement,0x4390a0
KERNEL32.dll,InterlockedDecrement,0x4390a4
KERNEL32.dll,GetACP,0x4390a8
KERNEL32.dll,GetOEMCP,0x4390ac
KERNEL32.dll,IsValidCodePage,0x4390b0
KERNEL32.dll,TlsAlloc,0x4390b4
KERNEL32.dll,TlsGetValue,0x4390b8
KERNEL32.dll,TlsSetValue,0x4390bc
KERNEL32.dll,SetLastError,0x4390c0
KERNEL32.dll,GetCurrentThreadId,0x4390c4
KERNEL32.dll,GetCurrentThread,0x4390c8
KERNEL32.dll,WideCharToMultiByte,0x4390cc
KERNEL32.dll,LCMapStringW,0x4390d0
KERNEL32.dll,MultiByteToWideChar,0x4390d4
KERNEL32.dll,WriteFile,0x4390d8
KERNEL32.dll,GetStdHandle,0x4390dc
KERNEL32.dll,GetModuleFileNameW,0x4390e0
KERNEL32.dll,GetLocaleInfoW,0x4390e4
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4390e8
KERNEL32.dll,DeleteCriticalSection,0x4390ec
KERNEL32.dll,FatalAppExitA,0x4390f0
KERNEL32.dll,SetConsoleCtrlHandler,0x4390f4
KERNEL32.dll,FreeLibrary,0x4390f8
KERNEL32.dll,InterlockedExchange,0x4390fc
KERNEL32.dll,LoadLibraryW,0x439100
KERNEL32.dll,RaiseException,0x439104
KERNEL32.dll,HeapCreate,0x439108
KERNEL32.dll,HeapDestroy,0x43910c
KERNEL32.dll,SetHandleCount,0x439110
KERNEL32.dll,GetFileType,0x439114
KERNEL32.dll,RtlUnwind,0x439118
KERNEL32.dll,ReadFile,0x43911c
KERNEL32.dll,GetConsoleCP,0x439120
KERNEL32.dll,GetConsoleMode,0x439124
KERNEL32.dll,CloseHandle,0x439128
KERNEL32.dll,GetModuleFileNameA,0x43912c
KERNEL32.dll,FreeEnvironmentStringsW,0x439130
KERNEL32.dll,GetEnvironmentStringsW,0x439134
KERNEL32.dll,QueryPerformanceCounter,0x439138
