dll,name,address
ntoskrnl.exe,ObfDereferenceObject,0x12514
ntoskrnl.exe,ObReferenceObjectByHandle,0x12518
ntoskrnl.exe,ZwOpenDirectoryObject,0x1251c
ntoskrnl.exe,RtlInitUnicodeString,0x12520
ntoskrnl.exe,NtBuildNumber,0x12524
ntoskrnl.exe,NtDeviceIoControlFile,0x12528
ntoskrnl.exe,MmGetSystemRoutineAddress,0x1252c
ntoskrnl.exe,IoAttachDeviceByPointer,0x12530
ntoskrnl.exe,IoRaiseHardError,0x12534
ntoskrnl.exe,NtSetQuotaInformationFile,0x12538
ntoskrnl.exe,RtlUpcaseUnicodeChar,0x1253c
ntoskrnl.exe,MmIsAddressValid,0x12540
ntoskrnl.exe,KeTickCount,0x12544
ntoskrnl.exe,KeQueryTimeIncrement,0x12548
ntoskrnl.exe,_alldiv,0x1254c
ntoskrnl.exe,_allmul,0x12550
ntoskrnl.exe,IoFreeMdl,0x12554
ntoskrnl.exe,MmUnmapLockedPages,0x12558
ntoskrnl.exe,ZwClose,0x1255c
ntoskrnl.exe,MmBuildMdlForNonPagedPool,0x12560
ntoskrnl.exe,IoAllocateMdl,0x12564
ntoskrnl.exe,memcpy,0x12568
ntoskrnl.exe,ExFreePoolWithTag,0x1256c
ntoskrnl.exe,_stricmp,0x12570
ntoskrnl.exe,strrchr,0x12574
ntoskrnl.exe,ExAllocatePoolWithTag,0x12578
ntoskrnl.exe,ZwQuerySystemInformation,0x1257c
ntoskrnl.exe,KeInitializeMutex,0x12580
ntoskrnl.exe,KeReleaseMutex,0x12584
ntoskrnl.exe,KeWaitForSingleObject,0x12588
ntoskrnl.exe,KeBugCheckEx,0x1258c
ntoskrnl.exe,memset,0x12590
ntoskrnl.exe,IoCreateDevice,0x12594
ntoskrnl.exe,IoDeleteDevice,0x12598
ntoskrnl.exe,MmMapLockedPagesSpecifyCache,0x1259c
ntoskrnl.exe,IofCompleteRequest,0x125a0
HAL.dll,KfReleaseSpinLock,0x12500
HAL.dll,KeRaiseIrqlToDpcLevel,0x12504
HAL.dll,KfLowerIrql,0x12508
HAL.dll,KfAcquireSpinLock,0x1250c
