dll,name,address
KERNEL32.dll,MultiByteToWideChar,0x43d05c
KERNEL32.dll,WideCharToMultiByte,0x43d060
KERNEL32.dll,CreateProcessW,0x43d064
KERNEL32.dll,GetFileAttributesA,0x43d068
KERNEL32.dll,GetSystemDefaultLangID,0x43d06c
KERNEL32.dll,GetFileAttributesW,0x43d070
KERNEL32.dll,ExpandEnvironmentStringsW,0x43d074
KERNEL32.dll,CreateToolhelp32Snapshot,0x43d078
KERNEL32.dll,Process32FirstW,0x43d07c
KERNEL32.dll,OpenProcess,0x43d080
KERNEL32.dll,TerminateProcess,0x43d084
KERNEL32.dll,Process32NextW,0x43d088
KERNEL32.dll,CreateThread,0x43d08c
KERNEL32.dll,ProcessIdToSessionId,0x43d090
KERNEL32.dll,GetProcAddress,0x43d094
KERNEL32.dll,GetModuleHandleW,0x43d098
KERNEL32.dll,GetCurrentProcess,0x43d09c
KERNEL32.dll,GlobalAlloc,0x43d0a0
KERNEL32.dll,DeviceIoControl,0x43d0a4
KERNEL32.dll,GlobalFree,0x43d0a8
KERNEL32.dll,GetVolumeInformationW,0x43d0ac
KERNEL32.dll,CopyFileW,0x43d0b0
KERNEL32.dll,SetEndOfFile,0x43d0b4
KERNEL32.dll,WriteConsoleW,0x43d0b8
KERNEL32.dll,WinExec,0x43d0bc
KERNEL32.dll,DeleteFileW,0x43d0c0
KERNEL32.dll,GetModuleFileNameW,0x43d0c4
KERNEL32.dll,GetTempFileNameW,0x43d0c8
KERNEL32.dll,GetEnvironmentVariableW,0x43d0cc
KERNEL32.dll,GetVersionExW,0x43d0d0
KERNEL32.dll,SetFileAttributesW,0x43d0d4
KERNEL32.dll,FindClose,0x43d0d8
KERNEL32.dll,SetFileTime,0x43d0dc
KERNEL32.dll,CreateDirectoryW,0x43d0e0
KERNEL32.dll,FindFirstFileW,0x43d0e4
KERNEL32.dll,CloseHandle,0x43d0e8
KERNEL32.dll,GetLastError,0x43d0ec
KERNEL32.dll,CreateFileW,0x43d0f0
KERNEL32.dll,ReadFile,0x43d0f4
KERNEL32.dll,WriteFile,0x43d0f8
KERNEL32.dll,SetFilePointer,0x43d0fc
KERNEL32.dll,Sleep,0x43d100
KERNEL32.dll,SetStdHandle,0x43d104
KERNEL32.dll,LoadLibraryW,0x43d108
KERNEL32.dll,OutputDebugStringW,0x43d10c
KERNEL32.dll,HeapReAlloc,0x43d110
KERNEL32.dll,FreeEnvironmentStringsW,0x43d114
KERNEL32.dll,GetEnvironmentStringsW,0x43d118
KERNEL32.dll,GetCurrentProcessId,0x43d11c
KERNEL32.dll,QueryPerformanceCounter,0x43d120
KERNEL32.dll,GetCurrentThreadId,0x43d124
KERNEL32.dll,FlushFileBuffers,0x43d128
KERNEL32.dll,GetOEMCP,0x43d12c
KERNEL32.dll,GetACP,0x43d130
KERNEL32.dll,IsValidCodePage,0x43d134
KERNEL32.dll,LoadLibraryExW,0x43d138
KERNEL32.dll,GetFileType,0x43d13c
KERNEL32.dll,SetFilePointerEx,0x43d140
KERNEL32.dll,GetConsoleCP,0x43d144
KERNEL32.dll,ReadConsoleW,0x43d148
KERNEL32.dll,GetConsoleMode,0x43d14c
KERNEL32.dll,GetProcessHeap,0x43d150
KERNEL32.dll,GetStdHandle,0x43d154
KERNEL32.dll,HeapSize,0x43d158
KERNEL32.dll,EnumSystemLocalesW,0x43d15c
KERNEL32.dll,GetUserDefaultLCID,0x43d160
KERNEL32.dll,IsValidLocale,0x43d164
KERNEL32.dll,GetLocaleInfoW,0x43d168
KERNEL32.dll,LCMapStringW,0x43d16c
KERNEL32.dll,GetStartupInfoW,0x43d170
KERNEL32.dll,TlsFree,0x43d174
KERNEL32.dll,TlsSetValue,0x43d178
KERNEL32.dll,TlsGetValue,0x43d17c
KERNEL32.dll,TlsAlloc,0x43d180
KERNEL32.dll,InterlockedIncrement,0x43d184
KERNEL32.dll,InterlockedDecrement,0x43d188
KERNEL32.dll,EnterCriticalSection,0x43d18c
KERNEL32.dll,LeaveCriticalSection,0x43d190
KERNEL32.dll,DeleteCriticalSection,0x43d194
KERNEL32.dll,EncodePointer,0x43d198
KERNEL32.dll,DecodePointer,0x43d19c
KERNEL32.dll,GetStringTypeW,0x43d1a0
KERNEL32.dll,HeapFree,0x43d1a4
KERNEL32.dll,HeapAlloc,0x43d1a8
KERNEL32.dll,ExitProcess,0x43d1ac
KERNEL32.dll,GetModuleHandleExW,0x43d1b0
KERNEL32.dll,AreFileApisANSI,0x43d1b4
KERNEL32.dll,GetSystemTimeAsFileTime,0x43d1b8
KERNEL32.dll,IsDebuggerPresent,0x43d1bc
KERNEL32.dll,IsProcessorFeaturePresent,0x43d1c0
KERNEL32.dll,GetCommandLineW,0x43d1c4
