dll,name,address
WININET.dll,InternetCloseHandle,0x411188
WININET.dll,InternetOpenA,0x41118c
WININET.dll,HttpSendRequestA,0x411190
WININET.dll,HttpOpenRequestA,0x411194
WININET.dll,InternetConnectA,0x411198
WININET.dll,InternetOpenUrlA,0x41119c
KERNEL32.dll,DecodePointer,0x411000
KERNEL32.dll,SetEndOfFile,0x411004
KERNEL32.dll,CreateFileW,0x411008
KERNEL32.dll,HeapReAlloc,0x41100c
KERNEL32.dll,IsProcessorFeaturePresent,0x411010
KERNEL32.dll,CreateFileA,0x411014
KERNEL32.dll,SetStdHandle,0x411018
KERNEL32.dll,PeekNamedPipe,0x41101c
KERNEL32.dll,FreeLibrary,0x411020
KERNEL32.dll,WriteFile,0x411024
KERNEL32.dll,TerminateThread,0x411028
KERNEL32.dll,Sleep,0x41102c
KERNEL32.dll,GetExitCodeProcess,0x411030
KERNEL32.dll,CreateProcessA,0x411034
KERNEL32.dll,TerminateProcess,0x411038
KERNEL32.dll,ReadFile,0x41103c
KERNEL32.dll,GetSystemDirectoryA,0x411040
KERNEL32.dll,GetStartupInfoA,0x411044
KERNEL32.dll,GetLastError,0x411048
KERNEL32.dll,GetProcAddress,0x41104c
KERNEL32.dll,CopyFileA,0x411050
KERNEL32.dll,LoadLibraryA,0x411054
KERNEL32.dll,GetExitCodeThread,0x411058
KERNEL32.dll,WaitForMultipleObjects,0x41105c
KERNEL32.dll,CreatePipe,0x411060
KERNEL32.dll,GetModuleFileNameA,0x411064
KERNEL32.dll,GetCurrentDirectoryA,0x411068
KERNEL32.dll,CloseHandle,0x41106c
KERNEL32.dll,GetTempPathA,0x411070
KERNEL32.dll,DeleteFileA,0x411074
KERNEL32.dll,CreateThread,0x411078
KERNEL32.dll,SetPriorityClass,0x41107c
KERNEL32.dll,GetCurrentProcess,0x411080
KERNEL32.dll,GetCurrentThread,0x411084
KERNEL32.dll,SetProcessPriorityBoost,0x411088
KERNEL32.dll,lstrcatA,0x41108c
KERNEL32.dll,GetEnvironmentVariableA,0x411090
KERNEL32.dll,SetThreadPriority,0x411094
KERNEL32.dll,GetShortPathNameA,0x411098
KERNEL32.dll,lstrcpyA,0x41109c
KERNEL32.dll,WriteConsoleW,0x4110a0
KERNEL32.dll,HeapFree,0x4110a4
KERNEL32.dll,HeapAlloc,0x4110a8
KERNEL32.dll,GetSystemTimeAsFileTime,0x4110ac
KERNEL32.dll,GetCommandLineA,0x4110b0
KERNEL32.dll,HeapSetInformation,0x4110b4
KERNEL32.dll,GetStartupInfoW,0x4110b8
KERNEL32.dll,UnhandledExceptionFilter,0x4110bc
KERNEL32.dll,SetUnhandledExceptionFilter,0x4110c0
KERNEL32.dll,IsDebuggerPresent,0x4110c4
KERNEL32.dll,EncodePointer,0x4110c8
KERNEL32.dll,GetProcessHeap,0x4110cc
KERNEL32.dll,RaiseException,0x4110d0
KERNEL32.dll,HeapCreate,0x4110d4
KERNEL32.dll,GetModuleHandleW,0x4110d8
KERNEL32.dll,ExitProcess,0x4110dc
KERNEL32.dll,GetStdHandle,0x4110e0
KERNEL32.dll,GetModuleFileNameW,0x4110e4
KERNEL32.dll,GetCPInfo,0x4110e8
KERNEL32.dll,InterlockedIncrement,0x4110ec
KERNEL32.dll,InterlockedDecrement,0x4110f0
KERNEL32.dll,GetACP,0x4110f4
KERNEL32.dll,GetOEMCP,0x4110f8
KERNEL32.dll,IsValidCodePage,0x4110fc
KERNEL32.dll,TlsAlloc,0x411100
KERNEL32.dll,TlsGetValue,0x411104
KERNEL32.dll,TlsSetValue,0x411108
KERNEL32.dll,TlsFree,0x41110c
KERNEL32.dll,SetLastError,0x411110
KERNEL32.dll,GetCurrentThreadId,0x411114
KERNEL32.dll,WideCharToMultiByte,0x411118
KERNEL32.dll,GetConsoleCP,0x41111c
KERNEL32.dll,GetConsoleMode,0x411120
KERNEL32.dll,FlushFileBuffers,0x411124
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x411128
KERNEL32.dll,DeleteCriticalSection,0x41112c
KERNEL32.dll,LeaveCriticalSection,0x411130
KERNEL32.dll,EnterCriticalSection,0x411134
KERNEL32.dll,RtlUnwind,0x411138
KERNEL32.dll,MultiByteToWideChar,0x41113c
KERNEL32.dll,SetHandleCount,0x411140
KERNEL32.dll,GetFileType,0x411144
KERNEL32.dll,SetFilePointer,0x411148
KERNEL32.dll,FreeEnvironmentStringsW,0x41114c
KERNEL32.dll,GetEnvironmentStringsW,0x411150
KERNEL32.dll,QueryPerformanceCounter,0x411154
KERNEL32.dll,GetTickCount,0x411158
KERNEL32.dll,GetCurrentProcessId,0x41115c
KERNEL32.dll,HeapSize,0x411160
KERNEL32.dll,LoadLibraryW,0x411164
KERNEL32.dll,LCMapStringW,0x411168
KERNEL32.dll,GetStringTypeW,0x41116c
USER32.dll,LoadStringA,0x411180
SHELL32.dll,ShellExecuteExA,0x411174
SHELL32.dll,SHChangeNotify,0x411178
