dll,name,address
COMCTL32.DLL,InitCommonControlsEx,0x271000
KERNEL32.DLL,GetVersionExA,0x271008
KERNEL32.DLL,GetFileAttributesW,0x27100c
OLE32.DLL,CoUninitialize,0x271014
OLEAUT32.DLL,SysAllocStringByteLen,0x27101c
USER32.DLL,MessageBoxA,0x271024
WS2_32.DLL,closesocket,0x27102c
KERNEL32.DLL,GetModuleFileNameW,0x271034
KERNEL32.DLL,GetModuleHandleA,0x27103c
KERNEL32.DLL,LoadLibraryA,0x271040
KERNEL32.DLL,LocalAlloc,0x271044
KERNEL32.DLL,LocalFree,0x271048
KERNEL32.DLL,GetModuleFileNameA,0x27104c
KERNEL32.DLL,ExitProcess,0x271050
