dll,name,address
KERNEL32.dll,GetVersionExA,0x10158000
KERNEL32.dll,InterlockedExchangeAdd,0x10158004
USER32.dll,keybd_event,0x1015800c
GDI32.dll,BitBlt,0x10158014
ADVAPI32.dll,GetKernelObjectSecurity,0x1015801c
SHELL32.dll,SHFileOperationA,0x10158024
ole32.dll,CoCreateInstance,0x1015802c
WS2_32.dll,closesocket,0x10158034
SHLWAPI.dll,PathMatchSpecA,0x1015803c
DNSAPI.dll,DnsQuery_A,0x10158044
Secur32.dll,LsaEnumerateLogonSessions,0x1015804c
PSAPI.DLL,GetModuleBaseNameA,0x10158054
NETAPI32.dll,NetUserDel,0x1015805c
AVICAP32.dll,capCreateCaptureWindowA,0x10158064
WTSAPI32.dll,WTSFreeMemory,0x1015806c
USERENV.dll,DestroyEnvironmentBlock,0x10158074
VERSION.dll,GetFileVersionInfoA,0x1015807c
KERNEL32.dll,GetModuleFileNameW,0x10158084
KERNEL32.dll,GetModuleHandleA,0x1015808c
KERNEL32.dll,LoadLibraryA,0x10158090
KERNEL32.dll,LocalAlloc,0x10158094
KERNEL32.dll,LocalFree,0x10158098
KERNEL32.dll,GetModuleFileNameA,0x1015809c
KERNEL32.dll,ExitProcess,0x101580a0
