dll,name,address
KERNEL32.dll,GetModuleHandleW,0x428000
KERNEL32.dll,GetTickCount,0x428004
KERNEL32.dll,Sleep,0x428008
KERNEL32.dll,GetProcAddress,0x42800c
KERNEL32.dll,VirtualAlloc,0x428010
KERNEL32.dll,LoadLibraryA,0x428014
KERNEL32.dll,VirtualProtect,0x428018
KERNEL32.dll,EnumSystemLocalesA,0x42801c
KERNEL32.dll,GetLocaleInfoA,0x428020
KERNEL32.dll,GetUserDefaultLCID,0x428024
KERNEL32.dll,CreateFileW,0x428028
KERNEL32.dll,CloseHandle,0x42802c
KERNEL32.dll,WriteConsoleW,0x428030
KERNEL32.dll,SetStdHandle,0x428034
KERNEL32.dll,FlushFileBuffers,0x428038
KERNEL32.dll,GetStringTypeW,0x42803c
KERNEL32.dll,LCMapStringW,0x428040
KERNEL32.dll,GetConsoleMode,0x428044
KERNEL32.dll,GetConsoleCP,0x428048
KERNEL32.dll,SetFilePointer,0x42804c
KERNEL32.dll,HeapReAlloc,0x428050
KERNEL32.dll,VirtualQuery,0x428054
KERNEL32.dll,IsValidCodePage,0x428058
KERNEL32.dll,GetOEMCP,0x42805c
KERNEL32.dll,GetACP,0x428060
KERNEL32.dll,GetCPInfo,0x428064
KERNEL32.dll,GetLocaleInfoW,0x428068
KERNEL32.dll,HeapFree,0x42806c
KERNEL32.dll,HeapAlloc,0x428070
KERNEL32.dll,GetProcessHeap,0x428074
KERNEL32.dll,GetCommandLineA,0x428078
KERNEL32.dll,HeapSetInformation,0x42807c
KERNEL32.dll,GetStartupInfoW,0x428080
KERNEL32.dll,RtlUnwind,0x428084
KERNEL32.dll,RaiseException,0x428088
KERNEL32.dll,EncodePointer,0x42808c
KERNEL32.dll,DecodePointer,0x428090
KERNEL32.dll,ExitProcess,0x428094
KERNEL32.dll,TerminateProcess,0x428098
KERNEL32.dll,GetCurrentProcess,0x42809c
KERNEL32.dll,UnhandledExceptionFilter,0x4280a0
KERNEL32.dll,SetUnhandledExceptionFilter,0x4280a4
KERNEL32.dll,IsDebuggerPresent,0x4280a8
KERNEL32.dll,WriteFile,0x4280ac
KERNEL32.dll,GetStdHandle,0x4280b0
KERNEL32.dll,GetModuleFileNameW,0x4280b4
KERNEL32.dll,GetModuleFileNameA,0x4280b8
KERNEL32.dll,FreeEnvironmentStringsW,0x4280bc
KERNEL32.dll,WideCharToMultiByte,0x4280c0
KERNEL32.dll,GetEnvironmentStringsW,0x4280c4
KERNEL32.dll,SetHandleCount,0x4280c8
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4280cc
KERNEL32.dll,GetFileType,0x4280d0
KERNEL32.dll,DeleteCriticalSection,0x4280d4
KERNEL32.dll,TlsAlloc,0x4280d8
KERNEL32.dll,TlsGetValue,0x4280dc
KERNEL32.dll,TlsSetValue,0x4280e0
KERNEL32.dll,TlsFree,0x4280e4
KERNEL32.dll,InterlockedIncrement,0x4280e8
KERNEL32.dll,SetLastError,0x4280ec
KERNEL32.dll,GetCurrentThreadId,0x4280f0
KERNEL32.dll,GetLastError,0x4280f4
KERNEL32.dll,InterlockedDecrement,0x4280f8
KERNEL32.dll,GetCurrentThread,0x4280fc
KERNEL32.dll,HeapCreate,0x428100
KERNEL32.dll,HeapDestroy,0x428104
KERNEL32.dll,QueryPerformanceCounter,0x428108
KERNEL32.dll,GetCurrentProcessId,0x42810c
KERNEL32.dll,GetSystemTimeAsFileTime,0x428110
KERNEL32.dll,IsProcessorFeaturePresent,0x428114
KERNEL32.dll,MultiByteToWideChar,0x428118
KERNEL32.dll,lstrlenA,0x42811c
KERNEL32.dll,LoadLibraryW,0x428120
KERNEL32.dll,HeapSize,0x428124
KERNEL32.dll,LeaveCriticalSection,0x428128
KERNEL32.dll,FatalAppExitA,0x42812c
KERNEL32.dll,EnterCriticalSection,0x428130
KERNEL32.dll,SetConsoleCtrlHandler,0x428134
KERNEL32.dll,FreeLibrary,0x428138
KERNEL32.dll,InterlockedExchange,0x42813c
KERNEL32.dll,IsValidLocale,0x428140
USER32.dll,EndPaint,0x428148
USER32.dll,DestroyWindow,0x42814c
USER32.dll,GetMessageA,0x428150
USER32.dll,RegisterClassExA,0x428154
USER32.dll,PostQuitMessage,0x428158
USER32.dll,LoadStringA,0x42815c
USER32.dll,LoadIconA,0x428160
USER32.dll,BeginPaint,0x428164
USER32.dll,TranslateMessage,0x428168
USER32.dll,CreateWindowExA,0x42816c
USER32.dll,TranslateAcceleratorA,0x428170
USER32.dll,EndDialog,0x428174
USER32.dll,DefWindowProcA,0x428178
USER32.dll,LoadAcceleratorsA,0x42817c
USER32.dll,ShowWindow,0x428180
USER32.dll,DispatchMessageA,0x428184
USER32.dll,UpdateWindow,0x428188
USER32.dll,LoadCursorA,0x42818c
USER32.dll,DialogBoxParamA,0x428190
