dll,name,address
MSVBVM60.DLL,_CIcos,0x401000
MSVBVM60.DLL,_adj_fptan,0x401004
MSVBVM60.DLL,__vbaFreeVar,0x401008
MSVBVM60.DLL,__vbaFreeVarList,0x40100c
MSVBVM60.DLL,__vbaEnd,0x401010
MSVBVM60.DLL,_adj_fdiv_m64,0x401014
MSVBVM60.DLL,_adj_fprem1,0x401018
MSVBVM60.DLL,,0x40101c
MSVBVM60.DLL,__vbaSetSystemError,0x401020
MSVBVM60.DLL,__vbaHresultCheckObj,0x401024
MSVBVM60.DLL,_adj_fdiv_m32,0x401028
MSVBVM60.DLL,_adj_fdiv_m16i,0x40102c
MSVBVM60.DLL,__vbaObjSetAddref,0x401030
MSVBVM60.DLL,,0x401034
MSVBVM60.DLL,_adj_fdivr_m16i,0x401038
MSVBVM60.DLL,_CIsin,0x40103c
MSVBVM60.DLL,__vbaChkstk,0x401040
MSVBVM60.DLL,EVENT_SINK_AddRef,0x401044
MSVBVM60.DLL,__vbaStrCmp,0x401048
MSVBVM60.DLL,,0x40104c
MSVBVM60.DLL,__vbaObjVar,0x401050
MSVBVM60.DLL,DllFunctionCall,0x401054
MSVBVM60.DLL,_adj_fpatan,0x401058
MSVBVM60.DLL,EVENT_SINK_Release,0x40105c
MSVBVM60.DLL,_CIsqrt,0x401060
MSVBVM60.DLL,EVENT_SINK_QueryInterface,0x401064
MSVBVM60.DLL,__vbaExceptHandler,0x401068
MSVBVM60.DLL,_adj_fprem,0x40106c
MSVBVM60.DLL,_adj_fdivr_m64,0x401070
MSVBVM60.DLL,,0x401074
MSVBVM60.DLL,__vbaFPException,0x401078
MSVBVM60.DLL,_CIlog,0x40107c
MSVBVM60.DLL,__vbaNew2,0x401080
MSVBVM60.DLL,_adj_fdiv_m32i,0x401084
MSVBVM60.DLL,,0x401088
MSVBVM60.DLL,_adj_fdivr_m32i,0x40108c
MSVBVM60.DLL,__vbaFreeStrList,0x401090
MSVBVM60.DLL,_adj_fdivr_m32,0x401094
MSVBVM60.DLL,_adj_fdiv_r,0x401098
MSVBVM60.DLL,,0x40109c
MSVBVM60.DLL,__vbaVarDup,0x4010a0
MSVBVM60.DLL,_CIatan,0x4010a4
MSVBVM60.DLL,__vbaStrMove,0x4010a8
MSVBVM60.DLL,_allmul,0x4010ac
MSVBVM60.DLL,_CItan,0x4010b0
MSVBVM60.DLL,_CIexp,0x4010b4
MSVBVM60.DLL,__vbaFreeStr,0x4010b8
MSVBVM60.DLL,__vbaFreeObj,0x4010bc
