dll,name,address
KERNEL32.dll,WideCharToMultiByte,0x41e000
KERNEL32.dll,MultiByteToWideChar,0x41e004
KERNEL32.dll,GetModuleFileNameA,0x41e008
KERNEL32.dll,Sleep,0x41e00c
KERNEL32.dll,CreateThread,0x41e010
KERNEL32.dll,CloseHandle,0x41e014
KERNEL32.dll,CreateProcessA,0x41e018
KERNEL32.dll,GetStartupInfoA,0x41e01c
KERNEL32.dll,CreatePipe,0x41e020
KERNEL32.dll,ReadFile,0x41e024
KERNEL32.dll,TerminateProcess,0x41e028
KERNEL32.dll,WriteFile,0x41e02c
KERNEL32.dll,WritePrivateProfileStringA,0x41e030
KERNEL32.dll,GetPrivateProfileStringA,0x41e034
KERNEL32.dll,GetLastError,0x41e038
KERNEL32.dll,LoadLibraryA,0x41e03c
KERNEL32.dll,CreateFileW,0x41e040
KERNEL32.dll,SetEnvironmentVariableA,0x41e044
KERNEL32.dll,CompareStringW,0x41e048
KERNEL32.dll,CompareStringA,0x41e04c
KERNEL32.dll,CreateFileA,0x41e050
KERNEL32.dll,FlushFileBuffers,0x41e054
KERNEL32.dll,SetStdHandle,0x41e058
KERNEL32.dll,GetStringTypeW,0x41e05c
KERNEL32.dll,GetStringTypeA,0x41e060
KERNEL32.dll,LCMapStringW,0x41e064
KERNEL32.dll,LCMapStringA,0x41e068
KERNEL32.dll,IsBadCodePtr,0x41e06c
KERNEL32.dll,IsBadReadPtr,0x41e070
KERNEL32.dll,SetUnhandledExceptionFilter,0x41e074
KERNEL32.dll,IsBadWritePtr,0x41e078
KERNEL32.dll,VirtualAlloc,0x41e07c
KERNEL32.dll,RtlUnwind,0x41e080
KERNEL32.dll,GetTimeZoneInformation,0x41e084
KERNEL32.dll,GetSystemTime,0x41e088
KERNEL32.dll,GetLocalTime,0x41e08c
KERNEL32.dll,ExitProcess,0x41e090
KERNEL32.dll,GetCurrentProcess,0x41e094
KERNEL32.dll,GetCommandLineA,0x41e098
KERNEL32.dll,GetVersion,0x41e09c
KERNEL32.dll,HeapFree,0x41e0a0
KERNEL32.dll,RaiseException,0x41e0a4
KERNEL32.dll,HeapAlloc,0x41e0a8
KERNEL32.dll,GetCPInfo,0x41e0ac
KERNEL32.dll,GetACP,0x41e0b0
KERNEL32.dll,GetOEMCP,0x41e0b4
KERNEL32.dll,HeapReAlloc,0x41e0b8
KERNEL32.dll,HeapSize,0x41e0bc
KERNEL32.dll,SetFilePointer,0x41e0c0
KERNEL32.dll,GetProcAddress,0x41e0c4
KERNEL32.dll,GetModuleHandleA,0x41e0c8
KERNEL32.dll,UnhandledExceptionFilter,0x41e0cc
KERNEL32.dll,FreeEnvironmentStringsA,0x41e0d0
KERNEL32.dll,FreeEnvironmentStringsW,0x41e0d4
KERNEL32.dll,GetEnvironmentStrings,0x41e0d8
KERNEL32.dll,GetEnvironmentStringsW,0x41e0dc
KERNEL32.dll,SetHandleCount,0x41e0e0
KERNEL32.dll,GetStdHandle,0x41e0e4
KERNEL32.dll,GetFileType,0x41e0e8
KERNEL32.dll,GetEnvironmentVariableA,0x41e0ec
KERNEL32.dll,GetVersionExA,0x41e0f0
KERNEL32.dll,HeapDestroy,0x41e0f4
KERNEL32.dll,HeapCreate,0x41e0f8
KERNEL32.dll,VirtualFree,0x41e0fc
KERNEL32.dll,SetEndOfFile,0x41e100
WININET.dll,InternetOpenW,0x41e108
WININET.dll,InternetCloseHandle,0x41e10c
WININET.dll,InternetReadFile,0x41e110
WININET.dll,InternetQueryDataAvailable,0x41e114
WININET.dll,HttpQueryInfoW,0x41e118
WININET.dll,HttpEndRequestA,0x41e11c
WININET.dll,InternetWriteFile,0x41e120
WININET.dll,HttpSendRequestExW,0x41e124
WININET.dll,InternetSetCookieW,0x41e128
WININET.dll,HttpAddRequestHeadersW,0x41e12c
WININET.dll,HttpOpenRequestW,0x41e130
WININET.dll,InternetConnectW,0x41e134
WININET.dll,InternetCrackUrlW,0x41e138
WININET.dll,InternetSetOptionW,0x41e13c
WS2_32.dll,WSAStartup,0x41e144
WS2_32.dll,gethostname,0x41e148
