dll,name,address
ntoskrnl.exe,ZwClose,0x12414
ntoskrnl.exe,ObfDereferenceObject,0x12418
ntoskrnl.exe,ObReferenceObjectByHandle,0x1241c
ntoskrnl.exe,ZwOpenDirectoryObject,0x12420
ntoskrnl.exe,RtlInitUnicodeString,0x12424
ntoskrnl.exe,NtDeviceIoControlFile,0x12428
ntoskrnl.exe,MmGetSystemRoutineAddress,0x1242c
ntoskrnl.exe,IoAttachDeviceByPointer,0x12430
ntoskrnl.exe,IoRaiseHardError,0x12434
ntoskrnl.exe,NtSetQuotaInformationFile,0x12438
ntoskrnl.exe,RtlUpcaseUnicodeChar,0x1243c
ntoskrnl.exe,MmIsAddressValid,0x12440
ntoskrnl.exe,KeTickCount,0x12444
ntoskrnl.exe,IoFreeMdl,0x12448
ntoskrnl.exe,MmUnmapLockedPages,0x1244c
ntoskrnl.exe,memset,0x12450
ntoskrnl.exe,MmBuildMdlForNonPagedPool,0x12454
ntoskrnl.exe,IoAllocateMdl,0x12458
ntoskrnl.exe,memcpy,0x1245c
ntoskrnl.exe,ExFreePoolWithTag,0x12460
ntoskrnl.exe,_stricmp,0x12464
ntoskrnl.exe,strrchr,0x12468
ntoskrnl.exe,ExAllocatePoolWithTag,0x1246c
ntoskrnl.exe,ZwQuerySystemInformation,0x12470
ntoskrnl.exe,KeInitializeMutex,0x12474
ntoskrnl.exe,KeReleaseMutex,0x12478
ntoskrnl.exe,KeWaitForSingleObject,0x1247c
ntoskrnl.exe,KeBugCheckEx,0x12480
ntoskrnl.exe,IoCreateDevice,0x12484
ntoskrnl.exe,NtBuildNumber,0x12488
ntoskrnl.exe,IoDeleteDevice,0x1248c
ntoskrnl.exe,MmMapLockedPagesSpecifyCache,0x12490
ntoskrnl.exe,IofCompleteRequest,0x12494
HAL.dll,KfReleaseSpinLock,0x12400
HAL.dll,KeRaiseIrqlToDpcLevel,0x12404
HAL.dll,KfLowerIrql,0x12408
HAL.dll,KfAcquireSpinLock,0x1240c
