dll,name,address
ntoskrnl.exe,wcschr,0x12f80
ntoskrnl.exe,wcscpy,0x12f84
ntoskrnl.exe,IofCompleteRequest,0x12f88
ntoskrnl.exe,IoDeleteDevice,0x12f8c
ntoskrnl.exe,IoDeleteSymbolicLink,0x12f90
ntoskrnl.exe,RtlInitUnicodeString,0x12f94
ntoskrnl.exe,wcscat,0x12f98
ntoskrnl.exe,ExAllocatePoolWithTag,0x12f9c
ntoskrnl.exe,RtlEqualUnicodeString,0x12fa0
ntoskrnl.exe,ExFreePoolWithTag,0x12fa4
ntoskrnl.exe,ZwQuerySystemInformation,0x12fa8
ntoskrnl.exe,_except_handler3,0x12fac
ntoskrnl.exe,KeDelayExecutionThread,0x12fb0
ntoskrnl.exe,ZwClose,0x12fb4
ntoskrnl.exe,KeWaitForSingleObject,0x12fb8
ntoskrnl.exe,KeResetEvent,0x12fbc
ntoskrnl.exe,IoCreateSynchronizationEvent,0x12fc0
ntoskrnl.exe,PsTerminateSystemThread,0x12fc4
ntoskrnl.exe,_stricmp,0x12fc8
ntoskrnl.exe,strrchr,0x12fcc
ntoskrnl.exe,DbgPrint,0x12fd0
ntoskrnl.exe,IoCreateSymbolicLink,0x12fd4
ntoskrnl.exe,IoCreateDevice,0x12fd8
ntoskrnl.exe,_wcsicmp,0x12fdc
ntoskrnl.exe,strchr,0x12fe0
ntoskrnl.exe,ZwFreeVirtualMemory,0x12fe4
ntoskrnl.exe,ZwAllocateVirtualMemory,0x12fe8
ntoskrnl.exe,ObfDereferenceObject,0x12fec
ntoskrnl.exe,KeUnstackDetachProcess,0x12ff0
ntoskrnl.exe,KeStackAttachProcess,0x12ff4
ntoskrnl.exe,PsGetProcessPeb,0x12ff8
ntoskrnl.exe,ObOpenObjectByPointer,0x12ffc
ntoskrnl.exe,PsLookupProcessByProcessId,0x13000
ntoskrnl.exe,RtlGetVersion,0x13004
ntoskrnl.exe,PsLookupThreadByThreadId,0x13008
ntoskrnl.exe,KeInsertQueueApc,0x1300c
ntoskrnl.exe,KeInitializeApc,0x13010
ntoskrnl.exe,MmIsAddressValid,0x13014
ntoskrnl.exe,IoGetDeviceObjectPointer,0x13018
ntoskrnl.exe,_wcsnicmp,0x1301c
ntoskrnl.exe,ZwQueryDirectoryFile,0x13020
ntoskrnl.exe,wcslen,0x13024
ntoskrnl.exe,ZwEnumerateKey,0x13028
ntoskrnl.exe,KeTickCount,0x1302c
ntoskrnl.exe,KeBugCheckEx,0x13030
