dll,name,address
kernel32.dll,DeleteCriticalSection,0x46412c
kernel32.dll,LeaveCriticalSection,0x464130
kernel32.dll,EnterCriticalSection,0x464134
kernel32.dll,InitializeCriticalSection,0x464138
kernel32.dll,VirtualFree,0x46413c
kernel32.dll,VirtualAlloc,0x464140
kernel32.dll,LocalFree,0x464144
kernel32.dll,LocalAlloc,0x464148
kernel32.dll,GetVersion,0x46414c
kernel32.dll,GetCurrentThreadId,0x464150
kernel32.dll,InterlockedDecrement,0x464154
kernel32.dll,InterlockedIncrement,0x464158
kernel32.dll,VirtualQuery,0x46415c
kernel32.dll,WideCharToMultiByte,0x464160
kernel32.dll,MultiByteToWideChar,0x464164
kernel32.dll,lstrlenA,0x464168
kernel32.dll,lstrcpynA,0x46416c
kernel32.dll,LoadLibraryExA,0x464170
kernel32.dll,GetThreadLocale,0x464174
kernel32.dll,GetStartupInfoA,0x464178
kernel32.dll,GetProcAddress,0x46417c
kernel32.dll,GetModuleHandleA,0x464180
kernel32.dll,GetModuleFileNameA,0x464184
kernel32.dll,GetLocaleInfoA,0x464188
kernel32.dll,GetCommandLineA,0x46418c
kernel32.dll,FreeLibrary,0x464190
kernel32.dll,FindFirstFileA,0x464194
kernel32.dll,FindClose,0x464198
kernel32.dll,ExitProcess,0x46419c
kernel32.dll,WriteFile,0x4641a0
kernel32.dll,UnhandledExceptionFilter,0x4641a4
kernel32.dll,RtlUnwind,0x4641a8
kernel32.dll,RaiseException,0x4641ac
kernel32.dll,GetStdHandle,0x4641b0
user32.dll,GetKeyboardType,0x4641b8
user32.dll,LoadStringA,0x4641bc
user32.dll,MessageBoxA,0x4641c0
user32.dll,CharNextA,0x4641c4
advapi32.dll,RegQueryValueExA,0x4641cc
advapi32.dll,RegOpenKeyExA,0x4641d0
advapi32.dll,RegCloseKey,0x4641d4
oleaut32.dll,SysFreeString,0x4641dc
oleaut32.dll,SysReAllocStringLen,0x4641e0
oleaut32.dll,SysAllocStringLen,0x4641e4
kernel32.dll,TlsSetValue,0x4641ec
kernel32.dll,TlsGetValue,0x4641f0
kernel32.dll,LocalAlloc,0x4641f4
kernel32.dll,GetModuleHandleA,0x4641f8
advapi32.dll,RegQueryValueExA,0x464200
advapi32.dll,RegOpenKeyExA,0x464204
advapi32.dll,RegCloseKey,0x464208
kernel32.dll,lstrcpyA,0x464210
kernel32.dll,WriteFile,0x464214
kernel32.dll,WaitForSingleObject,0x464218
kernel32.dll,VirtualQuery,0x46421c
kernel32.dll,VirtualProtectEx,0x464220
kernel32.dll,VirtualFree,0x464224
kernel32.dll,VirtualAlloc,0x464228
kernel32.dll,SleepEx,0x46422c
kernel32.dll,Sleep,0x464230
kernel32.dll,SizeofResource,0x464234
kernel32.dll,SetThreadLocale,0x464238
kernel32.dll,SetFilePointer,0x46423c
kernel32.dll,SetEvent,0x464240
kernel32.dll,SetErrorMode,0x464244
kernel32.dll,SetEndOfFile,0x464248
kernel32.dll,ResetEvent,0x46424c
kernel32.dll,ReadFile,0x464250
kernel32.dll,OutputDebugStringA,0x464254
kernel32.dll,MulDiv,0x464258
kernel32.dll,LockResource,0x46425c
kernel32.dll,LoadResource,0x464260
kernel32.dll,LoadLibraryA,0x464264
kernel32.dll,LeaveCriticalSection,0x464268
kernel32.dll,InitializeCriticalSection,0x46426c
kernel32.dll,GlobalUnlock,0x464270
kernel32.dll,GlobalReAlloc,0x464274
kernel32.dll,GlobalHandle,0x464278
kernel32.dll,GlobalLock,0x46427c
kernel32.dll,GlobalFree,0x464280
kernel32.dll,GlobalFindAtomA,0x464284
kernel32.dll,GlobalDeleteAtom,0x464288
kernel32.dll,GlobalAlloc,0x46428c
kernel32.dll,GlobalAddAtomA,0x464290
kernel32.dll,GetVersionExA,0x464294
kernel32.dll,GetVersion,0x464298
kernel32.dll,GetTickCount,0x46429c
kernel32.dll,GetThreadLocale,0x4642a0
kernel32.dll,GetTempPathA,0x4642a4
kernel32.dll,GetSystemInfo,0x4642a8
kernel32.dll,GetStringTypeExA,0x4642ac
kernel32.dll,GetStdHandle,0x4642b0
kernel32.dll,GetProcAddress,0x4642b4
kernel32.dll,GetModuleHandleA,0x4642b8
kernel32.dll,GetModuleFileNameA,0x4642bc
kernel32.dll,GetLocaleInfoA,0x4642c0
kernel32.dll,GetLocalTime,0x4642c4
kernel32.dll,GetLastError,0x4642c8
kernel32.dll,GetFullPathNameA,0x4642cc
kernel32.dll,GetFileSize,0x4642d0
kernel32.dll,GetDiskFreeSpaceA,0x4642d4
kernel32.dll,GetDateFormatA,0x4642d8
kernel32.dll,GetCurrentThreadId,0x4642dc
kernel32.dll,GetCurrentProcessId,0x4642e0
kernel32.dll,GetCPInfo,0x4642e4
kernel32.dll,GetACP,0x4642e8
kernel32.dll,FreeResource,0x4642ec
kernel32.dll,InterlockedExchange,0x4642f0
kernel32.dll,FreeLibrary,0x4642f4
kernel32.dll,FormatMessageA,0x4642f8
kernel32.dll,FindResourceA,0x4642fc
kernel32.dll,EnumCalendarInfoA,0x464300
kernel32.dll,EnterCriticalSection,0x464304
kernel32.dll,DeleteCriticalSection,0x464308
kernel32.dll,CreateThread,0x46430c
kernel32.dll,CreateFileA,0x464310
kernel32.dll,CreateEventA,0x464314
kernel32.dll,CompareStringA,0x464318
kernel32.dll,CloseHandle,0x46431c
version.dll,VerQueryValueA,0x464324
version.dll,GetFileVersionInfoSizeA,0x464328
version.dll,GetFileVersionInfoA,0x46432c
gdi32.dll,UnrealizeObject,0x464334
gdi32.dll,StretchBlt,0x464338
gdi32.dll,SetWindowOrgEx,0x46433c
gdi32.dll,SetViewportOrgEx,0x464340
gdi32.dll,SetTextColor,0x464344
gdi32.dll,SetStretchBltMode,0x464348
gdi32.dll,SetROP2,0x46434c
gdi32.dll,SetPixel,0x464350
gdi32.dll,SetDIBColorTable,0x464354
gdi32.dll,SetBrushOrgEx,0x464358
gdi32.dll,SetBkMode,0x46435c
gdi32.dll,SetBkColor,0x464360
gdi32.dll,SelectPalette,0x464364
gdi32.dll,SelectObject,0x464368
gdi32.dll,SelectClipRgn,0x46436c
gdi32.dll,SaveDC,0x464370
gdi32.dll,RestoreDC,0x464374
gdi32.dll,RectVisible,0x464378
gdi32.dll,RealizePalette,0x46437c
gdi32.dll,PatBlt,0x464380
gdi32.dll,MoveToEx,0x464384
gdi32.dll,MaskBlt,0x464388
gdi32.dll,LineTo,0x46438c
gdi32.dll,IntersectClipRect,0x464390
gdi32.dll,GetWindowOrgEx,0x464394
gdi32.dll,GetTextMetricsA,0x464398
gdi32.dll,GetTextExtentPoint32A,0x46439c
gdi32.dll,GetSystemPaletteEntries,0x4643a0
gdi32.dll,GetStockObject,0x4643a4
gdi32.dll,GetPixel,0x4643a8
gdi32.dll,GetPaletteEntries,0x4643ac
gdi32.dll,GetObjectA,0x4643b0
gdi32.dll,GetDeviceCaps,0x4643b4
gdi32.dll,GetDIBits,0x4643b8
gdi32.dll,GetDIBColorTable,0x4643bc
gdi32.dll,GetDCOrgEx,0x4643c0
gdi32.dll,GetCurrentPositionEx,0x4643c4
gdi32.dll,GetClipBox,0x4643c8
gdi32.dll,GetBrushOrgEx,0x4643cc
gdi32.dll,GetBitmapBits,0x4643d0
gdi32.dll,ExtTextOutA,0x4643d4
gdi32.dll,ExcludeClipRect,0x4643d8
gdi32.dll,DeleteObject,0x4643dc
gdi32.dll,DeleteDC,0x4643e0
gdi32.dll,CreateSolidBrush,0x4643e4
gdi32.dll,CreatePenIndirect,0x4643e8
gdi32.dll,CreatePalette,0x4643ec
gdi32.dll,CreateHalftonePalette,0x4643f0
gdi32.dll,CreateFontIndirectA,0x4643f4
gdi32.dll,CreateDIBitmap,0x4643f8
gdi32.dll,CreateDIBSection,0x4643fc
gdi32.dll,CreateCompatibleDC,0x464400
gdi32.dll,CreateCompatibleBitmap,0x464404
gdi32.dll,CreateBrushIndirect,0x464408
gdi32.dll,CreateBitmap,0x46440c
gdi32.dll,BitBlt,0x464410
user32.dll,CreateWindowExA,0x464418
user32.dll,WindowFromPoint,0x46441c
user32.dll,WinHelpA,0x464420
user32.dll,WaitMessage,0x464424
user32.dll,UpdateWindow,0x464428
user32.dll,UnregisterClassA,0x46442c
user32.dll,UnhookWindowsHookEx,0x464430
user32.dll,TranslateMessage,0x464434
user32.dll,TranslateMDISysAccel,0x464438
user32.dll,TrackPopupMenu,0x46443c
user32.dll,SystemParametersInfoA,0x464440
user32.dll,ShowWindow,0x464444
user32.dll,ShowScrollBar,0x464448
user32.dll,ShowOwnedPopups,0x46444c
user32.dll,ShowCursor,0x464450
user32.dll,SetWindowsHookExA,0x464454
user32.dll,SetWindowTextA,0x464458
user32.dll,SetWindowPos,0x46445c
user32.dll,SetWindowPlacement,0x464460
user32.dll,SetWindowLongA,0x464464
user32.dll,SetTimer,0x464468
user32.dll,SetScrollRange,0x46446c
user32.dll,SetScrollPos,0x464470
user32.dll,SetScrollInfo,0x464474
user32.dll,SetRect,0x464478
user32.dll,SetPropA,0x46447c
user32.dll,SetParent,0x464480
user32.dll,SetMenuItemInfoA,0x464484
user32.dll,SetMenu,0x464488
user32.dll,SetForegroundWindow,0x46448c
user32.dll,SetFocus,0x464490
user32.dll,SetCursor,0x464494
user32.dll,SetClassLongA,0x464498
user32.dll,SetCapture,0x46449c
user32.dll,SetActiveWindow,0x4644a0
user32.dll,SendMessageA,0x4644a4
user32.dll,ScrollWindow,0x4644a8
user32.dll,ScreenToClient,0x4644ac
user32.dll,RemovePropA,0x4644b0
user32.dll,RemoveMenu,0x4644b4
user32.dll,ReleaseDC,0x4644b8
user32.dll,ReleaseCapture,0x4644bc
user32.dll,RegisterWindowMessageA,0x4644c0
user32.dll,RegisterClipboardFormatA,0x4644c4
user32.dll,RegisterClassA,0x4644c8
user32.dll,RedrawWindow,0x4644cc
user32.dll,PtInRect,0x4644d0
user32.dll,PostQuitMessage,0x4644d4
user32.dll,PostMessageA,0x4644d8
user32.dll,PeekMessageA,0x4644dc
user32.dll,OffsetRect,0x4644e0
user32.dll,OemToCharA,0x4644e4
user32.dll,MessageBoxA,0x4644e8
user32.dll,MapWindowPoints,0x4644ec
user32.dll,MapVirtualKeyA,0x4644f0
user32.dll,LoadStringA,0x4644f4
user32.dll,LoadKeyboardLayoutA,0x4644f8
user32.dll,LoadIconA,0x4644fc
user32.dll,LoadCursorA,0x464500
user32.dll,LoadBitmapA,0x464504
user32.dll,KillTimer,0x464508
user32.dll,IsZoomed,0x46450c
user32.dll,IsWindowVisible,0x464510
user32.dll,IsWindowEnabled,0x464514
user32.dll,IsWindow,0x464518
user32.dll,IsRectEmpty,0x46451c
user32.dll,IsIconic,0x464520
user32.dll,IsDialogMessageA,0x464524
user32.dll,IsChild,0x464528
user32.dll,InvalidateRect,0x46452c
user32.dll,IntersectRect,0x464530
user32.dll,InsertMenuItemA,0x464534
user32.dll,InsertMenuA,0x464538
user32.dll,InflateRect,0x46453c
user32.dll,HideCaret,0x464540
user32.dll,GetWindowThreadProcessId,0x464544
user32.dll,GetWindowTextA,0x464548
user32.dll,GetWindowRect,0x46454c
user32.dll,GetWindowPlacement,0x464550
user32.dll,GetWindowLongA,0x464554
user32.dll,GetWindowDC,0x464558
user32.dll,GetTopWindow,0x46455c
user32.dll,GetSystemMetrics,0x464560
user32.dll,GetSystemMenu,0x464564
user32.dll,GetSysColorBrush,0x464568
user32.dll,GetSysColor,0x46456c
user32.dll,GetSubMenu,0x464570
user32.dll,GetScrollRange,0x464574
user32.dll,GetScrollPos,0x464578
user32.dll,GetScrollInfo,0x46457c
user32.dll,GetPropA,0x464580
user32.dll,GetParent,0x464584
user32.dll,GetWindow,0x464588
user32.dll,GetMenuStringA,0x46458c
user32.dll,GetMenuState,0x464590
user32.dll,GetMenuItemInfoA,0x464594
user32.dll,GetMenuItemID,0x464598
user32.dll,GetMenuItemCount,0x46459c
user32.dll,GetMenu,0x4645a0
user32.dll,GetLastInputInfo,0x4645a4
user32.dll,GetLastActivePopup,0x4645a8
user32.dll,GetKeyboardState,0x4645ac
user32.dll,GetKeyboardLayoutList,0x4645b0
user32.dll,GetKeyboardLayout,0x4645b4
user32.dll,GetKeyState,0x4645b8
user32.dll,GetKeyNameTextA,0x4645bc
user32.dll,GetIconInfo,0x4645c0
user32.dll,GetForegroundWindow,0x4645c4
user32.dll,GetFocus,0x4645c8
user32.dll,GetDlgItem,0x4645cc
user32.dll,GetDesktopWindow,0x4645d0
user32.dll,GetDCEx,0x4645d4
user32.dll,GetDC,0x4645d8
user32.dll,GetCursorPos,0x4645dc
user32.dll,GetCursor,0x4645e0
user32.dll,GetClientRect,0x4645e4
user32.dll,GetClassNameA,0x4645e8
user32.dll,GetClassInfoA,0x4645ec
user32.dll,GetCapture,0x4645f0
user32.dll,GetActiveWindow,0x4645f4
user32.dll,FrameRect,0x4645f8
user32.dll,FindWindowA,0x4645fc
user32.dll,FillRect,0x464600
user32.dll,EqualRect,0x464604
user32.dll,EnumWindows,0x464608
user32.dll,EnumThreadWindows,0x46460c
user32.dll,EndPaint,0x464610
user32.dll,EnableWindow,0x464614
user32.dll,EnableScrollBar,0x464618
user32.dll,EnableMenuItem,0x46461c
user32.dll,DrawTextA,0x464620
user32.dll,DrawMenuBar,0x464624
user32.dll,DrawIconEx,0x464628
user32.dll,DrawIcon,0x46462c
user32.dll,DrawFrameControl,0x464630
user32.dll,DrawFocusRect,0x464634
user32.dll,DrawEdge,0x464638
user32.dll,DispatchMessageA,0x46463c
user32.dll,DestroyWindow,0x464640
user32.dll,DestroyMenu,0x464644
user32.dll,DestroyIcon,0x464648
user32.dll,DestroyCursor,0x46464c
user32.dll,DeleteMenu,0x464650
user32.dll,DefWindowProcA,0x464654
user32.dll,DefMDIChildProcA,0x464658
user32.dll,DefFrameProcA,0x46465c
user32.dll,CreatePopupMenu,0x464660
user32.dll,CreateMenu,0x464664
user32.dll,CreateIcon,0x464668
user32.dll,ClientToScreen,0x46466c
user32.dll,CheckMenuItem,0x464670
user32.dll,CallWindowProcA,0x464674
user32.dll,CallNextHookEx,0x464678
user32.dll,BeginPaint,0x46467c
user32.dll,CharNextA,0x464680
user32.dll,CharLowerA,0x464684
user32.dll,CharUpperBuffA,0x464688
user32.dll,CharToOemA,0x46468c
user32.dll,AdjustWindowRectEx,0x464690
user32.dll,ActivateKeyboardLayout,0x464694
kernel32.dll,Sleep,0x46469c
oleaut32.dll,SafeArrayPtrOfIndex,0x4646a4
oleaut32.dll,SafeArrayGetUBound,0x4646a8
oleaut32.dll,SafeArrayGetLBound,0x4646ac
oleaut32.dll,SafeArrayCreate,0x4646b0
oleaut32.dll,VariantChangeType,0x4646b4
oleaut32.dll,VariantCopy,0x4646b8
oleaut32.dll,VariantClear,0x4646bc
oleaut32.dll,VariantInit,0x4646c0
comctl32.dll,ImageList_SetIconSize,0x4646c8
comctl32.dll,ImageList_GetIconSize,0x4646cc
comctl32.dll,ImageList_Write,0x4646d0
comctl32.dll,ImageList_Read,0x4646d4
comctl32.dll,ImageList_GetDragImage,0x4646d8
comctl32.dll,ImageList_DragShowNolock,0x4646dc
comctl32.dll,ImageList_SetDragCursorImage,0x4646e0
comctl32.dll,ImageList_DragMove,0x4646e4
comctl32.dll,ImageList_DragLeave,0x4646e8
comctl32.dll,ImageList_DragEnter,0x4646ec
comctl32.dll,ImageList_EndDrag,0x4646f0
comctl32.dll,ImageList_BeginDrag,0x4646f4
comctl32.dll,ImageList_Remove,0x4646f8
comctl32.dll,ImageList_DrawEx,0x4646fc
comctl32.dll,ImageList_Draw,0x464700
comctl32.dll,ImageList_GetBkColor,0x464704
comctl32.dll,ImageList_SetBkColor,0x464708
comctl32.dll,ImageList_ReplaceIcon,0x46470c
comctl32.dll,ImageList_Add,0x464710
comctl32.dll,ImageList_GetImageCount,0x464714
comctl32.dll,ImageList_Destroy,0x464718
comctl32.dll,ImageList_Create,0x46471c
comdlg32.dll,GetSaveFileNameA,0x464724
comdlg32.dll,GetOpenFileNameA,0x464728
