dll,name,address
ntoskrnl.exe,memset,0x11f8c
ntoskrnl.exe,IoDriverObjectType,0x11f90
ntoskrnl.exe,ZwClose,0x11f94
ntoskrnl.exe,ObfDereferenceObject,0x11f98
ntoskrnl.exe,ObReferenceObjectByHandle,0x11f9c
ntoskrnl.exe,ZwOpenDirectoryObject,0x11fa0
ntoskrnl.exe,RtlInitUnicodeString,0x11fa4
ntoskrnl.exe,NtBuildNumber,0x11fa8
ntoskrnl.exe,IoDeviceObjectType,0x11fac
ntoskrnl.exe,NtDeviceIoControlFile,0x11fb0
ntoskrnl.exe,IoAttachDeviceByPointer,0x11fb4
ntoskrnl.exe,IoRaiseHardError,0x11fb8
ntoskrnl.exe,NtSetQuotaInformationFile,0x11fbc
ntoskrnl.exe,RtlUpcaseUnicodeChar,0x11fc0
ntoskrnl.exe,MmIsAddressValid,0x11fc4
ntoskrnl.exe,ExFreePoolWithTag,0x11fc8
ntoskrnl.exe,ExAllocatePoolWithTag,0x11fcc
ntoskrnl.exe,IoCreateDevice,0x11fd0
ntoskrnl.exe,KeTickCount,0x11fd4
ntoskrnl.exe,IoFreeMdl,0x11fd8
ntoskrnl.exe,MmUnmapLockedPages,0x11fdc
ntoskrnl.exe,MmMapLockedPagesSpecifyCache,0x11fe0
ntoskrnl.exe,MmBuildMdlForNonPagedPool,0x11fe4
ntoskrnl.exe,IoAllocateMdl,0x11fe8
ntoskrnl.exe,memcpy,0x11fec
ntoskrnl.exe,_stricmp,0x11ff0
ntoskrnl.exe,strrchr,0x11ff4
ntoskrnl.exe,ZwQuerySystemInformation,0x11ff8
ntoskrnl.exe,KeInitializeMutex,0x11ffc
ntoskrnl.exe,KeReleaseMutex,0x12000
ntoskrnl.exe,KeWaitForSingleObject,0x12004
ntoskrnl.exe,KeBugCheckEx,0x12008
ntoskrnl.exe,IoDeleteDevice,0x1200c
ntoskrnl.exe,IofCompleteRequest,0x12010
HAL.dll,KfLowerIrql,0x11f80
HAL.dll,KeRaiseIrqlToDpcLevel,0x11f84
