dll,name,address
KERNEL32.dll,GetVersionExA,0x180173000
KERNEL32.dll,GetVersion,0x180173008
KERNEL32.dll,IsDebuggerPresent,0x180173010
USER32.dll,EnumDesktopWindows,0x180173020
GDI32.dll,CreatePalette,0x180173030
ADVAPI32.dll,GetSecurityDescriptorDacl,0x180173040
SHELL32.dll,SHFileOperationA,0x180173050
ole32.dll,CoInitialize,0x180173060
WS2_32.dll,select,0x180173070
SHLWAPI.dll,PathMatchSpecA,0x180173080
DNSAPI.dll,DnsFree,0x180173090
Secur32.dll,LsaFreeReturnBuffer,0x1801730a0
PSAPI.DLL,GetModuleInformation,0x1801730b0
NETAPI32.dll,NetApiBufferFree,0x1801730c0
WTSAPI32.dll,WTSFreeMemory,0x1801730d0
USERENV.dll,CreateEnvironmentBlock,0x1801730e0
VERSION.dll,VerQueryValueA,0x1801730f0
KERNEL32.dll,GetModuleFileNameW,0x180173100
KERNEL32.dll,GetModuleHandleA,0x180173110
KERNEL32.dll,LoadLibraryA,0x180173118
KERNEL32.dll,LocalAlloc,0x180173120
KERNEL32.dll,LocalFree,0x180173128
KERNEL32.dll,GetModuleFileNameA,0x180173130
KERNEL32.dll,ExitProcess,0x180173138
