dll,name,address
MSVCRT.dll,calloc,0x10006084
MSVCRT.dll,_strlwr,0x10006088
MSVCRT.dll,_wcsrev,0x1000608c
MSVCRT.dll,_strrev,0x10006090
MSVCRT.dll,_itoa,0x10006094
MSVCRT.dll,_stricmp,0x10006098
MSVCRT.dll,??2@YAPAXI@Z,0x1000609c
MSVCRT.dll,realloc,0x100060a0
MSVCRT.dll,rename,0x100060a4
MSVCRT.dll,strrchr,0x100060a8
MSVCRT.dll,_adjust_fdiv,0x100060ac
MSVCRT.dll,malloc,0x100060b0
MSVCRT.dll,_initterm,0x100060b4
MSVCRT.dll,free,0x100060b8
MSVCRT.dll,_snprintf,0x100060bc
MSVCRT.dll,strstr,0x100060c0
MSVCRT.dll,strncpy,0x100060c4
KERNEL32.dll,LoadLibraryA,0x10006000
KERNEL32.dll,GetModuleHandleA,0x10006004
KERNEL32.dll,GetProcAddress,0x10006008
KERNEL32.dll,CreateFileA,0x1000600c
KERNEL32.dll,CloseHandle,0x10006010
KERNEL32.dll,DeleteFileA,0x10006014
KERNEL32.dll,GetFileAttributesA,0x10006018
KERNEL32.dll,GetProcessHeap,0x1000601c
KERNEL32.dll,VirtualAlloc,0x10006020
KERNEL32.dll,VirtualProtect,0x10006024
KERNEL32.dll,VirtualFree,0x10006028
KERNEL32.dll,IsBadReadPtr,0x1000602c
KERNEL32.dll,GetTempFileNameA,0x10006030
KERNEL32.dll,GetTempPathA,0x10006034
KERNEL32.dll,GetPrivateProfileIntA,0x10006038
KERNEL32.dll,WritePrivateProfileStringA,0x1000603c
KERNEL32.dll,GetModuleFileNameA,0x10006040
KERNEL32.dll,SetFileAttributesA,0x10006044
KERNEL32.dll,SetFileTime,0x10006048
KERNEL32.dll,LocalFileTimeToFileTime,0x1000604c
KERNEL32.dll,SystemTimeToFileTime,0x10006050
KERNEL32.dll,GetFileTime,0x10006054
KERNEL32.dll,GetSystemDirectoryA,0x10006058
KERNEL32.dll,ExitProcess,0x1000605c
KERNEL32.dll,lstrcatA,0x10006060
KERNEL32.dll,DisableThreadLibraryCalls,0x10006064
KERNEL32.dll,CopyFileA,0x10006068
KERNEL32.dll,WaitForSingleObject,0x1000606c
KERNEL32.dll,LoadLibraryW,0x10006070
KERNEL32.dll,GetModuleFileNameW,0x10006074
KERNEL32.dll,GetWindowsDirectoryA,0x10006078
KERNEL32.dll,HeapAlloc,0x1000607c
ole32.dll,CoInitialize,0x100060cc
ole32.dll,CoCreateInstance,0x100060d0
ole32.dll,CoUninitialize,0x100060d4
