dll,name,address
KERNEL32.dll,GetVersionExA,0x100870e0
KERNEL32.dll,FreeLibrary,0x100870e4
KERNEL32.dll,GetWindowsDirectoryA,0x100870e8
KERNEL32.dll,GetComputerNameA,0x100870ec
KERNEL32.dll,GetLocalTime,0x100870f0
KERNEL32.dll,GlobalMemoryStatus,0x100870f4
KERNEL32.dll,GetVolumeInformationA,0x100870f8
KERNEL32.dll,FindVolumeClose,0x100870fc
KERNEL32.dll,OpenProcess,0x10087100
KERNEL32.dll,CreateToolhelp32Snapshot,0x10087104
KERNEL32.dll,Module32First,0x10087108
KERNEL32.dll,SetLastError,0x1008710c
KERNEL32.dll,GetModuleFileNameA,0x10087110
KERNEL32.dll,GetCurrentProcess,0x10087114
KERNEL32.dll,FlushConsoleInputBuffer,0x10087118
KERNEL32.dll,GetCurrentProcessId,0x1008711c
KERNEL32.dll,MultiByteToWideChar,0x10087120
KERNEL32.dll,GetStdHandle,0x10087124
KERNEL32.dll,GetFileType,0x10087128
KERNEL32.dll,GetVersion,0x1008712c
KERNEL32.dll,GetModuleHandleA,0x10087130
KERNEL32.dll,GetCurrentThreadId,0x10087134
KERNEL32.dll,lstrcpyA,0x10087138
KERNEL32.dll,CreateMutexA,0x1008713c
KERNEL32.dll,ReleaseMutex,0x10087140
KERNEL32.dll,GetSystemTime,0x10087144
KERNEL32.dll,GetTickCount,0x10087148
KERNEL32.dll,LocalAlloc,0x1008714c
KERNEL32.dll,LocalFree,0x10087150
KERNEL32.dll,Heap32ListFirst,0x10087154
KERNEL32.dll,Thread32Next,0x10087158
KERNEL32.dll,Heap32ListNext,0x1008715c
KERNEL32.dll,Process32Next,0x10087160
KERNEL32.dll,Process32First,0x10087164
KERNEL32.dll,VirtualFreeEx,0x10087168
KERNEL32.dll,TerminateProcess,0x1008716c
KERNEL32.dll,Module32Next,0x10087170
KERNEL32.dll,Thread32First,0x10087174
KERNEL32.dll,Toolhelp32ReadProcessMemory,0x10087178
KERNEL32.dll,SystemTimeToFileTime,0x1008717c
KERNEL32.dll,CompareFileTime,0x10087180
KERNEL32.dll,ExpandEnvironmentStringsA,0x10087184
KERNEL32.dll,ResetEvent,0x10087188
KERNEL32.dll,RemoveDirectoryA,0x1008718c
KERNEL32.dll,GetLastError,0x10087190
KERNEL32.dll,GetFileAttributesExA,0x10087194
KERNEL32.dll,SetErrorMode,0x10087198
KERNEL32.dll,GetDriveTypeA,0x1008719c
KERNEL32.dll,GetDiskFreeSpaceExA,0x100871a0
KERNEL32.dll,CreateDirectoryA,0x100871a4
KERNEL32.dll,CreateFileA,0x100871a8
KERNEL32.dll,FindFirstFileA,0x100871ac
KERNEL32.dll,FindClose,0x100871b0
KERNEL32.dll,FindNextFileA,0x100871b4
KERNEL32.dll,SetFileAttributesA,0x100871b8
KERNEL32.dll,MoveFileA,0x100871bc
KERNEL32.dll,GetFileAttributesA,0x100871c0
KERNEL32.dll,QueryPerformanceFrequency,0x100871c4
KERNEL32.dll,QueryPerformanceCounter,0x100871c8
KERNEL32.dll,PeekNamedPipe,0x100871cc
KERNEL32.dll,ReadFile,0x100871d0
KERNEL32.dll,WriteFile,0x100871d4
KERNEL32.dll,SetEvent,0x100871d8
KERNEL32.dll,CreateEventA,0x100871dc
KERNEL32.dll,WaitForSingleObject,0x100871e0
KERNEL32.dll,DeleteFileA,0x100871e4
KERNEL32.dll,Sleep,0x100871e8
KERNEL32.dll,CopyFileA,0x100871ec
KERNEL32.dll,LoadLibraryA,0x100871f0
KERNEL32.dll,GetProcAddress,0x100871f4
KERNEL32.dll,GetSystemDirectoryA,0x100871f8
KERNEL32.dll,GetStartupInfoA,0x100871fc
KERNEL32.dll,CloseHandle,0x10087200
KERNEL32.dll,CreateProcessA,0x10087204
KERNEL32.dll,FindFirstVolumeA,0x10087208
USER32.dll,GetDC,0x100872b8
USER32.dll,ReleaseDC,0x100872bc
USER32.dll,GetProcessWindowStation,0x100872c0
USER32.dll,GetThreadDesktop,0x100872c4
USER32.dll,OpenWindowStationA,0x100872c8
USER32.dll,SetProcessWindowStation,0x100872cc
USER32.dll,GetUserObjectInformationW,0x100872d0
USER32.dll,GetDesktopWindow,0x100872d4
USER32.dll,SetCursorPos,0x100872d8
USER32.dll,OpenInputDesktop,0x100872dc
USER32.dll,GetUserObjectInformationA,0x100872e0
USER32.dll,OpenDesktopA,0x100872e4
USER32.dll,SetThreadDesktop,0x100872e8
USER32.dll,CloseDesktop,0x100872ec
USER32.dll,mouse_event,0x100872f0
USER32.dll,PostMessageA,0x100872f4
USER32.dll,wsprintfA,0x100872f8
USER32.dll,ExitWindowsEx,0x100872fc
USER32.dll,MessageBoxA,0x10087300
GDI32.dll,SelectObject,0x100870ac
GDI32.dll,GetStockObject,0x100870b0
GDI32.dll,SelectPalette,0x100870b4
GDI32.dll,RealizePalette,0x100870b8
GDI32.dll,GetDIBits,0x100870bc
GDI32.dll,DeleteObject,0x100870c0
GDI32.dll,CreateCompatibleDC,0x100870c4
GDI32.dll,CreateCompatibleBitmap,0x100870c8
GDI32.dll,BitBlt,0x100870cc
GDI32.dll,CreateDCA,0x100870d0
GDI32.dll,GetDeviceCaps,0x100870d4
GDI32.dll,DeleteDC,0x100870d8
ADVAPI32.dll,AdjustTokenPrivileges,0x10087000
ADVAPI32.dll,LookupPrivilegeValueA,0x10087004
ADVAPI32.dll,DeleteService,0x10087008
ADVAPI32.dll,StartServiceA,0x1008700c
ADVAPI32.dll,QueryServiceStatus,0x10087010
ADVAPI32.dll,ChangeServiceConfig2A,0x10087014
ADVAPI32.dll,LockServiceDatabase,0x10087018
ADVAPI32.dll,UnlockServiceDatabase,0x1008701c
ADVAPI32.dll,ChangeServiceConfigA,0x10087020
ADVAPI32.dll,OpenServiceA,0x10087024
ADVAPI32.dll,QueryServiceConfigA,0x10087028
ADVAPI32.dll,QueryServiceConfig2A,0x1008702c
ADVAPI32.dll,CloseServiceHandle,0x10087030
ADVAPI32.dll,RegSaveKeyA,0x10087034
ADVAPI32.dll,RegDeleteKeyA,0x10087038
ADVAPI32.dll,RegDeleteValueA,0x1008703c
ADVAPI32.dll,RegCreateKeyExA,0x10087040
ADVAPI32.dll,RegSetValueExA,0x10087044
ADVAPI32.dll,RegQueryInfoKeyA,0x10087048
ADVAPI32.dll,RegEnumKeyExA,0x1008704c
ADVAPI32.dll,RegEnumValueA,0x10087050
ADVAPI32.dll,OpenProcessToken,0x10087054
ADVAPI32.dll,GetTokenInformation,0x10087058
ADVAPI32.dll,LookupAccountSidA,0x1008705c
ADVAPI32.dll,CryptAcquireContextA,0x10087060
ADVAPI32.dll,CryptCreateHash,0x10087064
ADVAPI32.dll,CryptHashData,0x10087068
ADVAPI32.dll,CryptDeriveKey,0x1008706c
ADVAPI32.dll,CryptDestroyHash,0x10087070
ADVAPI32.dll,CryptDecrypt,0x10087074
ADVAPI32.dll,CryptEncrypt,0x10087078
ADVAPI32.dll,RegOpenKeyExA,0x1008707c
ADVAPI32.dll,RegQueryValueExA,0x10087080
ADVAPI32.dll,RegCloseKey,0x10087084
ADVAPI32.dll,CreateServiceA,0x10087088
