dll,name,address
ntoskrnl.exe,RtlCompareMemory,0x15030
ntoskrnl.exe,IoCreateSymbolicLink,0x15038
ntoskrnl.exe,IoCreateDevice,0x15040
ntoskrnl.exe,DbgPrint,0x15048
ntoskrnl.exe,PsProcessType,0x15050
ntoskrnl.exe,PsGetProcessImageFileName,0x15058
ntoskrnl.exe,PsReferencePrimaryToken,0x15060
ntoskrnl.exe,ZwOpenProcessTokenEx,0x15068
ntoskrnl.exe,ZwSetInformationProcess,0x15070
ntoskrnl.exe,ZwClose,0x15078
ntoskrnl.exe,ZwDuplicateToken,0x15080
ntoskrnl.exe,PsInitialSystemProcess,0x15088
ntoskrnl.exe,IofCompleteRequest,0x15090
ntoskrnl.exe,PsGetProcessId,0x15098
ntoskrnl.exe,PsDereferencePrimaryToken,0x150a0
ntoskrnl.exe,ExAllocatePoolWithTag,0x150a8
ntoskrnl.exe,ExFreePoolWithTag,0x150b0
ntoskrnl.exe,IoEnumerateRegisteredFiltersList,0x150b8
ntoskrnl.exe,ObfDereferenceObject,0x150c0
ntoskrnl.exe,MmGetSystemRoutineAddress,0x150c8
ntoskrnl.exe,PsSetLoadImageNotifyRoutine,0x150d0
ntoskrnl.exe,PsSetCreateThreadNotifyRoutine,0x150d8
ntoskrnl.exe,PsSetCreateProcessNotifyRoutine,0x150e0
ntoskrnl.exe,CmUnRegisterCallback,0x150e8
ntoskrnl.exe,KeBugCheckEx,0x150f0
ntoskrnl.exe,_vsnwprintf,0x150f8
ntoskrnl.exe,IoDeleteDevice,0x15100
ntoskrnl.exe,RtlInitUnicodeString,0x15108
ntoskrnl.exe,NtBuildNumber,0x15110
ntoskrnl.exe,ObOpenObjectByPointer,0x15118
ntoskrnl.exe,IoDeleteSymbolicLink,0x15120
ntoskrnl.exe,PsGetVersion,0x15128
ntoskrnl.exe,ExAllocatePoolWithQuotaTag,0x15130
ntoskrnl.exe,ZwQuerySystemInformation,0x15138
ntoskrnl.exe,RtlUnwindEx,0x15140
FLTMGR.SYS,FltGetFilterInformation,0x15000
FLTMGR.SYS,FltEnumerateInstances,0x15008
FLTMGR.SYS,FltEnumerateFilters,0x15010
FLTMGR.SYS,FltObjectDereference,0x15018
FLTMGR.SYS,FltGetVolumeFromInstance,0x15020
