dll,name,address
KERNEL32.dll,GetShortPathNameA,0x400410
KERNEL32.dll,GetModuleFileNameA,0x400414
KERNEL32.dll,MultiByteToWideChar,0x400418
KERNEL32.dll,GetLastError,0x40041c
KERNEL32.dll,Sleep,0x400420
KERNEL32.dll,CreateDirectoryA,0x400424
KERNEL32.dll,GetProcAddress,0x400428
KERNEL32.dll,LoadLibraryA,0x40042c
KERNEL32.dll,GetStartupInfoA,0x400430
KERNEL32.dll,GetCommandLineA,0x400434
KERNEL32.dll,GetModuleHandleA,0x400438
KERNEL32.dll,CopyFileA,0x40043c
KERNEL32.dll,ExitProcess,0x400440
ADVAPI32.dll,RegCloseKey,0x400400
ADVAPI32.dll,RegSetValueExA,0x400404
ADVAPI32.dll,RegCreateKeyExA,0x400408
MSVCRT.dll,printf,0x400448
MSVCRT.dll,wcslen,0x40044c
MSVCRT.dll,__CxxFrameHandler,0x400450
MSVCRT.dll,memmove,0x400454
MSVCRT.dll,??2@YAPAXI@Z,0x400458
MSVCRT.dll,fclose,0x40045c
MSVCRT.dll,fwrite,0x400460
MSVCRT.dll,fopen,0x400464
MSVCRT.dll,_access,0x400468
MSVCRT.dll,atoi,0x40046c
MSVCRT.dll,_splitpath,0x400470
MSVCRT.dll,sprintf,0x400474
MSVCRT.dll,rand,0x400478
MSVCRT.dll,srand,0x40047c
MSVCRT.dll,time,0x400480
MSVCRT.dll,memchr,0x400484
MSVCRT.dll,free,0x400488
MSVCRT.dll,??0exception@@QAE@ABV0@@Z,0x40048c
MSVCRT.dll,strlen,0x400490
MSVCRT.dll,_CxxThrowException,0x400494
MSVCRT.dll,??1exception@@UAE@XZ,0x400498
MSVCRT.dll,??0exception@@QAE@ABQBD@Z,0x40049c
MSVCRT.dll,__dllonexit,0x4004a0
MSVCRT.dll,_onexit,0x4004a4
MSVCRT.dll,??1type_info@@UAE@XZ,0x4004a8
MSVCRT.dll,_stricmp,0x4004ac
WININET.dll,InternetOpenA,0x4004b4
WININET.dll,InternetSetOptionW,0x4004b8
WININET.dll,InternetConnectA,0x4004bc
WININET.dll,HttpOpenRequestA,0x4004c0
WININET.dll,InternetSetOptionA,0x4004c4
WININET.dll,HttpAddRequestHeadersA,0x4004c8
WININET.dll,InternetSetCookieA,0x4004cc
WININET.dll,HttpSendRequestExA,0x4004d0
WININET.dll,InternetWriteFile,0x4004d4
WININET.dll,HttpEndRequestA,0x4004d8
WININET.dll,HttpQueryInfoA,0x4004dc
WININET.dll,InternetQueryDataAvailable,0x4004e0
WININET.dll,InternetReadFile,0x4004e4
WININET.dll,InternetCloseHandle,0x4004e8
WININET.dll,InternetCrackUrlA,0x4004ec
