dll,name,address
KERNEL32.dll,GetStartupInfoA,0x10005034
KERNEL32.dll,CreatePipe,0x10005038
KERNEL32.dll,GetCurrentDirectoryA,0x1000503c
KERNEL32.dll,CreateProcessA,0x10005040
KERNEL32.dll,lstrlenA,0x10005044
KERNEL32.dll,SetLastError,0x10005048
KERNEL32.dll,OutputDebugStringA,0x1000504c
KERNEL32.dll,CloseHandle,0x10005050
KERNEL32.dll,ReadFile,0x10005054
KERNEL32.dll,GetTempPathA,0x10005058
KERNEL32.dll,GetLongPathNameA,0x1000505c
KERNEL32.dll,LoadLibraryA,0x10005060
KERNEL32.dll,GetProcAddress,0x10005064
KERNEL32.dll,CreateThread,0x10005068
KERNEL32.dll,GetSystemTime,0x1000506c
KERNEL32.dll,WaitForSingleObject,0x10005070
KERNEL32.dll,TerminateThread,0x10005074
KERNEL32.dll,Sleep,0x10005078
KERNEL32.dll,GetLastError,0x1000507c
KERNEL32.dll,GetModuleFileNameA,0x10005080
ADVAPI32.dll,OpenServiceA,0x10005000
ADVAPI32.dll,DeleteService,0x10005004
ADVAPI32.dll,RegOpenKeyExA,0x10005008
ADVAPI32.dll,RegQueryValueExA,0x1000500c
ADVAPI32.dll,RegCloseKey,0x10005010
ADVAPI32.dll,OpenSCManagerA,0x10005014
ADVAPI32.dll,CreateServiceA,0x10005018
ADVAPI32.dll,CloseServiceHandle,0x1000501c
ADVAPI32.dll,RegCreateKeyA,0x10005020
ADVAPI32.dll,RegSetValueExA,0x10005024
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x10005028
ADVAPI32.dll,SetServiceStatus,0x1000502c
WS2_32.dll,inet_addr,0x1000512c
WS2_32.dll,WSASocketA,0x10005130
WS2_32.dll,closesocket,0x10005134
WS2_32.dll,connect,0x10005138
WS2_32.dll,ioctlsocket,0x1000513c
WS2_32.dll,send,0x10005140
WS2_32.dll,select,0x10005144
WS2_32.dll,__WSAFDIsSet,0x10005148
WS2_32.dll,recv,0x1000514c
WS2_32.dll,shutdown,0x10005150
WS2_32.dll,WSAStartup,0x10005154
WS2_32.dll,gethostname,0x10005158
WS2_32.dll,WSACleanup,0x1000515c
WS2_32.dll,htons,0x10005160
WININET.dll,InternetCloseHandle,0x1000510c
WININET.dll,InternetOpenA,0x10005110
WININET.dll,InternetConnectA,0x10005114
WININET.dll,HttpOpenRequestA,0x10005118
WININET.dll,HttpSendRequestA,0x1000511c
WININET.dll,HttpQueryInfoA,0x10005120
WININET.dll,InternetReadFile,0x10005124
MSVCRT.dll,_chdir,0x10005088
MSVCRT.dll,_strnicmp,0x1000508c
MSVCRT.dll,_adjust_fdiv,0x10005090
MSVCRT.dll,malloc,0x10005094
MSVCRT.dll,_initterm,0x10005098
MSVCRT.dll,free,0x1000509c
MSVCRT.dll,??1type_info@@UAE@XZ,0x100050a0
MSVCRT.dll,_except_handler3,0x100050a4
MSVCRT.dll,_CxxThrowException,0x100050a8
MSVCRT.dll,_stricmp,0x100050ac
MSVCRT.dll,_EH_prolog,0x100050b0
MSVCRT.dll,__CxxFrameHandler,0x100050b4
MSVCRT.dll,strchr,0x100050b8
MSVCRT.dll,_itoa,0x100050bc
MSVCRT.dll,strstr,0x100050c0
MSVCRT.dll,strncat,0x100050c4
MSVCRT.dll,strlen,0x100050c8
MSVCRT.dll,sscanf,0x100050cc
MSVCRT.dll,atol,0x100050d0
MSVCRT.dll,??2@YAPAXI@Z,0x100050d4
MSVCRT.dll,memset,0x100050d8
MSVCRT.dll,wcstombs,0x100050dc
MSVCRT.dll,strncpy,0x100050e0
MSVCRT.dll,strcat,0x100050e4
MSVCRT.dll,strcpy,0x100050e8
MSVCRT.dll,atoi,0x100050ec
MSVCRT.dll,fclose,0x100050f0
MSVCRT.dll,fflush,0x100050f4
MSVCRT.dll,??3@YAXPAX@Z,0x100050f8
MSVCRT.dll,fwrite,0x100050fc
MSVCRT.dll,fopen,0x10005100
MSVCRT.dll,strrchr,0x10005104
