dll,name,address
KERNEL32.dll,Sleep,0x402010
KERNEL32.dll,PeekNamedPipe,0x402014
KERNEL32.dll,CreateProcessA,0x402018
KERNEL32.dll,CreatePipe,0x40201c
KERNEL32.dll,TerminateProcess,0x402020
KERNEL32.dll,ReadFile,0x402024
KERNEL32.dll,GetCurrentThreadId,0x402028
KERNEL32.dll,GetModuleFileNameA,0x40202c
KERNEL32.dll,GetModuleHandleA,0x402030
KERNEL32.dll,GetStartupInfoA,0x402034
KERNEL32.dll,WriteFile,0x402038
KERNEL32.dll,GetSystemDirectoryA,0x40203c
KERNEL32.dll,CloseHandle,0x402040
USER32.dll,PostThreadMessageA,0x40209c
USER32.dll,GetInputState,0x4020a0
USER32.dll,GetMessageA,0x4020a4
ADVAPI32.dll,RegSetValueExA,0x402000
ADVAPI32.dll,RegOpenKeyExA,0x402004
ADVAPI32.dll,RegCloseKey,0x402008
MSVCRT.dll,_initterm,0x402048
MSVCRT.dll,strlen,0x40204c
MSVCRT.dll,__CxxFrameHandler,0x402050
MSVCRT.dll,memset,0x402054
MSVCRT.dll,strcat,0x402058
MSVCRT.dll,_except_handler3,0x40205c
MSVCRT.dll,sprintf,0x402060
MSVCRT.dll,strcmp,0x402064
MSVCRT.dll,_exit,0x402068
MSVCRT.dll,_XcptFilter,0x40206c
MSVCRT.dll,exit,0x402070
MSVCRT.dll,_acmdln,0x402074
MSVCRT.dll,__getmainargs,0x402078
MSVCRT.dll,strcpy,0x40207c
MSVCRT.dll,__setusermatherr,0x402080
MSVCRT.dll,_adjust_fdiv,0x402084
MSVCRT.dll,__p__commode,0x402088
MSVCRT.dll,__p__fmode,0x40208c
MSVCRT.dll,__set_app_type,0x402090
MSVCRT.dll,_controlfp,0x402094
WS2_32.dll,setsockopt,0x4020ac
WS2_32.dll,htons,0x4020b0
WS2_32.dll,WSASocketA,0x4020b4
WS2_32.dll,WSAStartup,0x4020b8
WS2_32.dll,WSAIoctl,0x4020bc
WS2_32.dll,send,0x4020c0
WS2_32.dll,recv,0x4020c4
WS2_32.dll,closesocket,0x4020c8
WS2_32.dll,shutdown,0x4020cc
WS2_32.dll,connect,0x4020d0
WS2_32.dll,gethostbyname,0x4020d4
