dll,name,address
MSVCRT.dll,memset,0x417464
MSVCRT.dll,wcsncmp,0x417468
MSVCRT.dll,memmove,0x41746c
MSVCRT.dll,wcsncpy,0x417470
MSVCRT.dll,wcsstr,0x417474
MSVCRT.dll,_wcsnicmp,0x417478
MSVCRT.dll,_wcsicmp,0x41747c
MSVCRT.dll,wcslen,0x417480
MSVCRT.dll,wcscpy,0x417484
MSVCRT.dll,wcscmp,0x417488
MSVCRT.dll,wcscat,0x41748c
MSVCRT.dll,memcpy,0x417490
MSVCRT.dll,tolower,0x417494
MSVCRT.dll,malloc,0x417498
MSVCRT.dll,free,0x41749c
KERNEL32.dll,GetModuleHandleW,0x4174a4
KERNEL32.dll,HeapCreate,0x4174a8
KERNEL32.dll,GetStdHandle,0x4174ac
KERNEL32.dll,SetConsoleCtrlHandler,0x4174b0
KERNEL32.dll,HeapDestroy,0x4174b4
KERNEL32.dll,ExitProcess,0x4174b8
KERNEL32.dll,WriteFile,0x4174bc
KERNEL32.dll,LoadLibraryExW,0x4174c0
KERNEL32.dll,EnumResourceTypesW,0x4174c4
KERNEL32.dll,FreeLibrary,0x4174c8
KERNEL32.dll,RemoveDirectoryW,0x4174cc
KERNEL32.dll,EnumResourceNamesW,0x4174d0
KERNEL32.dll,GetTempFileNameW,0x4174d4
KERNEL32.dll,GetCommandLineW,0x4174d8
KERNEL32.dll,LoadResource,0x4174dc
KERNEL32.dll,SizeofResource,0x4174e0
KERNEL32.dll,FreeResource,0x4174e4
KERNEL32.dll,FindResourceW,0x4174e8
KERNEL32.dll,GetNativeSystemInfo,0x4174ec
KERNEL32.dll,GetShortPathNameW,0x4174f0
KERNEL32.dll,GetWindowsDirectoryW,0x4174f4
KERNEL32.dll,GetSystemDirectoryW,0x4174f8
KERNEL32.dll,EnterCriticalSection,0x4174fc
KERNEL32.dll,CloseHandle,0x417500
KERNEL32.dll,LeaveCriticalSection,0x417504
KERNEL32.dll,InitializeCriticalSection,0x417508
KERNEL32.dll,WaitForSingleObject,0x41750c
KERNEL32.dll,TerminateThread,0x417510
KERNEL32.dll,CreateThread,0x417514
KERNEL32.dll,Sleep,0x417518
KERNEL32.dll,GetProcAddress,0x41751c
KERNEL32.dll,GetVersionExW,0x417520
KERNEL32.dll,WideCharToMultiByte,0x417524
KERNEL32.dll,HeapAlloc,0x417528
KERNEL32.dll,HeapFree,0x41752c
KERNEL32.dll,LoadLibraryW,0x417530
KERNEL32.dll,GetCurrentProcessId,0x417534
KERNEL32.dll,GetCurrentThreadId,0x417538
KERNEL32.dll,GetModuleFileNameW,0x41753c
KERNEL32.dll,PeekNamedPipe,0x417540
KERNEL32.dll,TerminateProcess,0x417544
KERNEL32.dll,GetCurrentProcess,0x417548
KERNEL32.dll,DuplicateHandle,0x41754c
KERNEL32.dll,CreatePipe,0x417550
KERNEL32.dll,CreateProcessW,0x417554
KERNEL32.dll,GetExitCodeProcess,0x417558
KERNEL32.dll,GetEnvironmentVariableW,0x41755c
KERNEL32.dll,SetEnvironmentVariableW,0x417560
KERNEL32.dll,SetUnhandledExceptionFilter,0x417564
KERNEL32.dll,HeapSize,0x417568
KERNEL32.dll,MultiByteToWideChar,0x41756c
KERNEL32.dll,CreateDirectoryW,0x417570
KERNEL32.dll,SetFileAttributesW,0x417574
KERNEL32.dll,DeleteFileW,0x417578
KERNEL32.dll,GetTempPathW,0x41757c
KERNEL32.dll,GetCurrentDirectoryW,0x417580
KERNEL32.dll,SetCurrentDirectoryW,0x417584
KERNEL32.dll,CreateFileW,0x417588
KERNEL32.dll,SetFilePointer,0x41758c
KERNEL32.dll,TlsFree,0x417590
KERNEL32.dll,TlsGetValue,0x417594
KERNEL32.dll,TlsSetValue,0x417598
KERNEL32.dll,TlsAlloc,0x41759c
KERNEL32.dll,HeapReAlloc,0x4175a0
KERNEL32.dll,DeleteCriticalSection,0x4175a4
KERNEL32.dll,InterlockedCompareExchange,0x4175a8
KERNEL32.dll,InterlockedExchange,0x4175ac
