dll,name,address
MSVCR80.dll,_decode_pointer,0x1006413c
MSVCR80.dll,_except_handler4_common,0x10064140
MSVCR80.dll,_onexit,0x10064144
MSVCR80.dll,_lock,0x10064148
MSVCR80.dll,__dllonexit,0x1006414c
MSVCR80.dll,_unlock,0x10064150
MSVCR80.dll,__clean_type_info_names_internal,0x10064154
MSVCR80.dll,?_type_info_dtor_internal_method@type_info@@QAEXXZ,0x10064158
MSVCR80.dll,?terminate@@YAXXZ,0x1006415c
MSVCR80.dll,memcpy,0x10064160
MSVCR80.dll,_encoded_null,0x10064164
MSVCR80.dll,sprintf,0x10064168
MSVCR80.dll,_malloc_crt,0x1006416c
MSVCR80.dll,_encode_pointer,0x10064170
MSVCR80.dll,_time64,0x10064174
MSVCR80.dll,fclose,0x10064178
MSVCR80.dll,atof,0x1006417c
MSVCR80.dll,fseek,0x10064180
MSVCR80.dll,atol,0x10064184
MSVCR80.dll,wcstombs,0x10064188
MSVCR80.dll,_strtime,0x1006418c
MSVCR80.dll,fwrite,0x10064190
MSVCR80.dll,_strdate,0x10064194
MSVCR80.dll,srand,0x10064198
MSVCR80.dll,_vsnprintf,0x1006419c
MSVCR80.dll,rand,0x100641a0
MSVCR80.dll,fprintf,0x100641a4
MSVCR80.dll,fread,0x100641a8
MSVCR80.dll,fopen,0x100641ac
MSVCR80.dll,strncpy,0x100641b0
MSVCR80.dll,memset,0x100641b4
MSVCR80.dll,_getch,0x100641b8
MSVCR80.dll,_stat32,0x100641bc
MSVCR80.dll,_crt_debugger_hook,0x100641c0
MSVCR80.dll,__CppXcptFilter,0x100641c4
MSVCR80.dll,_adjust_fdiv,0x100641c8
MSVCR80.dll,_amsg_exit,0x100641cc
MSVCR80.dll,_gmtime32,0x100641d0
MSVCR80.dll,strstr,0x100641d4
MSVCR80.dll,signal,0x100641d8
MSVCR80.dll,fputs,0x100641dc
MSVCR80.dll,strtoul,0x100641e0
MSVCR80.dll,sscanf,0x100641e4
MSVCR80.dll,isupper,0x100641e8
MSVCR80.dll,tolower,0x100641ec
MSVCR80.dll,_fileno,0x100641f0
MSVCR80.dll,_snprintf,0x100641f4
MSVCR80.dll,atoi,0x100641f8
MSVCR80.dll,_wcsnicmp,0x100641fc
MSVCR80.dll,_stricmp,0x10064200
