dll,name,address
KERNEL32.dll,FreeLibrary,0x48d0ec
KERNEL32.dll,GetWindowsDirectoryA,0x48d0f0
KERNEL32.dll,GetComputerNameA,0x48d0f4
KERNEL32.dll,GetLocalTime,0x48d0f8
KERNEL32.dll,GlobalMemoryStatus,0x48d0fc
KERNEL32.dll,GetVolumeInformationA,0x48d100
KERNEL32.dll,FindVolumeClose,0x48d104
KERNEL32.dll,FindFirstVolumeA,0x48d108
KERNEL32.dll,Process32Next,0x48d10c
KERNEL32.dll,OpenProcess,0x48d110
KERNEL32.dll,Toolhelp32ReadProcessMemory,0x48d114
KERNEL32.dll,GetCurrentThreadId,0x48d118
KERNEL32.dll,GetVersionExA,0x48d11c
KERNEL32.dll,GetCurrentProcess,0x48d120
KERNEL32.dll,GetTickCount,0x48d124
KERNEL32.dll,FlushConsoleInputBuffer,0x48d128
KERNEL32.dll,GetCurrentProcessId,0x48d12c
KERNEL32.dll,GetStdHandle,0x48d130
KERNEL32.dll,GetFileType,0x48d134
KERNEL32.dll,GetVersion,0x48d138
KERNEL32.dll,GetModuleHandleA,0x48d13c
KERNEL32.dll,SetLastError,0x48d140
KERNEL32.dll,CreateMutexA,0x48d144
KERNEL32.dll,ReleaseMutex,0x48d148
KERNEL32.dll,GetSystemTime,0x48d14c
KERNEL32.dll,SystemTimeToFileTime,0x48d150
KERNEL32.dll,CompareFileTime,0x48d154
KERNEL32.dll,GetLocaleInfoA,0x48d158
KERNEL32.dll,LocalAlloc,0x48d15c
KERNEL32.dll,LocalFree,0x48d160
KERNEL32.dll,Heap32ListNext,0x48d164
KERNEL32.dll,TerminateProcess,0x48d168
KERNEL32.dll,Heap32ListFirst,0x48d16c
KERNEL32.dll,Thread32Next,0x48d170
KERNEL32.dll,Thread32First,0x48d174
KERNEL32.dll,Module32Next,0x48d178
KERNEL32.dll,Module32First,0x48d17c
KERNEL32.dll,CreateToolhelp32Snapshot,0x48d180
KERNEL32.dll,VirtualAllocEx,0x48d184
KERNEL32.dll,VirtualFreeEx,0x48d188
KERNEL32.dll,lstrcpyA,0x48d18c
KERNEL32.dll,ExpandEnvironmentStringsA,0x48d190
KERNEL32.dll,ResetEvent,0x48d194
KERNEL32.dll,MoveFileExA,0x48d198
KERNEL32.dll,RemoveDirectoryA,0x48d19c
KERNEL32.dll,GetLastError,0x48d1a0
KERNEL32.dll,GetFileAttributesExA,0x48d1a4
KERNEL32.dll,SetErrorMode,0x48d1a8
KERNEL32.dll,GetDriveTypeA,0x48d1ac
KERNEL32.dll,GetDiskFreeSpaceExA,0x48d1b0
KERNEL32.dll,CreateDirectoryA,0x48d1b4
KERNEL32.dll,CreateFileA,0x48d1b8
KERNEL32.dll,FindFirstFileA,0x48d1bc
KERNEL32.dll,FindClose,0x48d1c0
KERNEL32.dll,FindNextFileA,0x48d1c4
KERNEL32.dll,SetFileAttributesA,0x48d1c8
