dll,name,address
KERNEL32.dll,GetVersionExA,0x101ce000
KERNEL32.dll,TerminateThread,0x101ce004
USER32.dll,SystemParametersInfoA,0x101ce00c
GDI32.dll,DeleteObject,0x101ce014
ADVAPI32.dll,RegOpenKeyA,0x101ce01c
SHELL32.dll,CommandLineToArgvW,0x101ce024
ole32.dll,CoCreateInstance,0x101ce02c
WS2_32.dll,send,0x101ce034
SHLWAPI.dll,PathFileExistsA,0x101ce03c
DNSAPI.dll,DnsFlushResolverCache,0x101ce044
Secur32.dll,LsaFreeReturnBuffer,0x101ce04c
PSAPI.DLL,EnumProcesses,0x101ce054
NETAPI32.dll,NetUserEnum,0x101ce05c
WTSAPI32.dll,WTSFreeMemory,0x101ce064
USERENV.dll,DestroyEnvironmentBlock,0x101ce06c
VERSION.dll,VerQueryValueA,0x101ce074
KERNEL32.dll,GetModuleFileNameW,0x101ce07c
KERNEL32.dll,GetModuleHandleA,0x101ce084
KERNEL32.dll,LoadLibraryA,0x101ce088
KERNEL32.dll,LocalAlloc,0x101ce08c
KERNEL32.dll,LocalFree,0x101ce090
KERNEL32.dll,GetModuleFileNameA,0x101ce094
KERNEL32.dll,ExitProcess,0x101ce098
