dll,name,address
MSVCRT.dll,??3@YAXPAX@Z,0x10006144
MSVCRT.dll,_beginthreadex,0x10006148
MSVCRT.dll,??2@YAPAXI@Z,0x1000614c
MSVCRT.dll,wcstombs,0x10006150
MSVCRT.dll,strncpy,0x10006154
MSVCRT.dll,__CxxFrameHandler,0x10006158
MSVCRT.dll,atoi,0x1000615c
MSVCRT.dll,memset,0x10006160
MSVCRT.dll,strlen,0x10006164
MSVCRT.dll,strcpy,0x10006168
MSVCRT.dll,abs,0x1000616c
MSVCRT.dll,memcpy,0x10006170
MSVCRT.dll,_endthreadex,0x10006174
MSVCRT.dll,sscanf,0x10006178
MSVCRT.dll,atof,0x1000617c
MSVCRT.dll,rand,0x10006180
MSVCRT.dll,srand,0x10006184
MSVCRT.dll,time,0x10006188
MSVCRT.dll,_ftol,0x1000618c
MSVCRT.dll,_CxxThrowException,0x10006190
MSVCRT.dll,memmove,0x10006194
MSVCRT.dll,fclose,0x10006198
MSVCRT.dll,fseek,0x1000619c
MSVCRT.dll,fopen,0x100061a0
MSVCRT.dll,fread,0x100061a4
MSVCRT.dll,realloc,0x100061a8
MSVCRT.dll,_except_handler3,0x100061ac
MSVCRT.dll,_strnicmp,0x100061b0
MSVCRT.dll,_wcsnicmp,0x100061b4
MSVCRT.dll,_adjust_fdiv,0x100061b8
MSVCRT.dll,_initterm,0x100061bc
MSVCRT.dll,free,0x100061c0
MSVCRT.dll,_onexit,0x100061c4
MSVCRT.dll,__dllonexit,0x100061c8
MSVCRT.dll,strncmp,0x100061cc
MSVCRT.dll,sprintf,0x100061d0
MSVCRT.dll,strcat,0x100061d4
MSVCRT.dll,malloc,0x100061d8
MSVCRT.dll,??1type_info@@UAE@XZ,0x100061dc
WS2_32.dll,WSACloseEvent,0x100061e4
WS2_32.dll,gethostname,0x100061e8
WS2_32.dll,send,0x100061ec
WS2_32.dll,WSAGetLastError,0x100061f0
WS2_32.dll,WSAWaitForMultipleEvents,0x100061f4
WS2_32.dll,WSAResetEvent,0x100061f8
WS2_32.dll,WSAEnumNetworkEvents,0x100061fc
WS2_32.dll,ioctlsocket,0x10006200
WS2_32.dll,recv,0x10006204
WS2_32.dll,WSAStartup,0x10006208
WS2_32.dll,WSASocketA,0x1000620c
WS2_32.dll,inet_addr,0x10006210
WS2_32.dll,gethostbyname,0x10006214
WS2_32.dll,inet_ntoa,0x10006218
WS2_32.dll,htons,0x1000621c
WS2_32.dll,connect,0x10006220
WS2_32.dll,WSAEventSelect,0x10006224
WS2_32.dll,WSACreateEvent,0x10006228
WS2_32.dll,shutdown,0x1000622c
WS2_32.dll,closesocket,0x10006230
WS2_32.dll,WSACleanup,0x10006234
MSVCP60.dll,?open@?$basic_fstream@DU?$char_traits@D@std@@@std@@QAEXPBDH@Z,0x100060e8
MSVCP60.dll,?seekp@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@JW4seekdir@ios_base@2@@Z,0x100060ec
MSVCP60.dll,??1_Lockit@std@@QAE@XZ,0x100060f0
MSVCP60.dll,??0_Lockit@std@@QAE@XZ,0x100060f4
MSVCP60.dll,?_Fpz@std@@3_JB,0x100060f8
MSVCP60.dll,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBDABV?$allocator@D@1@@Z,0x100060fc
MSVCP60.dll,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,0x10006100
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x10006104
MSVCP60.dll,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z,0x10006108
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z,0x1000610c
MSVCP60.dll,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,0x10006110
MSVCP60.dll,??0?$basic_fstream@DU?$char_traits@D@std@@@std@@QAE@XZ,0x10006114
MSVCP60.dll,?tellp@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAE?AV?$fpos@H@2@XZ,0x10006118
MSVCP60.dll,?close@?$basic_fstream@DU?$char_traits@D@std@@@std@@QAEXXZ,0x1000611c
MSVCP60.dll,?is_open@?$basic_fstream@DU?$char_traits@D@std@@@std@@QBE_NXZ,0x10006120
