dll,name,address
KERNEL32.dll,LoadLibraryA,0x10008000
KERNEL32.dll,ExpandEnvironmentStringsA,0x10008004
KERNEL32.dll,CreateThread,0x10008008
KERNEL32.dll,CloseHandle,0x1000800c
KERNEL32.dll,GetLastError,0x10008010
KERNEL32.dll,DeviceIoControl,0x10008014
KERNEL32.dll,CreateFileA,0x10008018
KERNEL32.dll,SetPriorityClass,0x1000801c
KERNEL32.dll,GetCurrentProcess,0x10008020
KERNEL32.dll,GetVersionExA,0x10008024
KERNEL32.dll,GetDiskFreeSpaceW,0x10008028
KERNEL32.dll,GetDiskFreeSpaceExW,0x1000802c
KERNEL32.dll,GetDriveTypeW,0x10008030
KERNEL32.dll,SetErrorMode,0x10008034
KERNEL32.dll,FindNextFileW,0x10008038
KERNEL32.dll,FindFirstFileW,0x1000803c
KERNEL32.dll,CreateProcessW,0x10008040
KERNEL32.dll,GetProcAddress,0x10008044
KERNEL32.dll,VirtualAlloc,0x10008048
KERNEL32.dll,GetComputerNameW,0x1000804c
KERNEL32.dll,GetStartupInfoA,0x10008050
KERNEL32.dll,CreatePipe,0x10008054
KERNEL32.dll,DeleteCriticalSection,0x10008058
KERNEL32.dll,HeapFree,0x1000805c
KERNEL32.dll,HeapAlloc,0x10008060
KERNEL32.dll,GetProcessHeap,0x10008064
KERNEL32.dll,GetFileSize,0x10008068
KERNEL32.dll,ReadFile,0x1000806c
USER32.dll,MessageBoxA,0x1000813c
USER32.dll,wsprintfW,0x10008140
MSVCRT.dll,_EH_prolog,0x1000809c
MSVCRT.dll,__CxxFrameHandler,0x100080a0
MSVCRT.dll,sprintf,0x100080a4
MSVCRT.dll,isprint,0x100080a8
MSVCRT.dll,isspace,0x100080ac
MSVCRT.dll,tolower,0x100080b0
MSVCRT.dll,isalnum,0x100080b4
MSVCRT.dll,strncpy,0x100080b8
MSVCRT.dll,strstr,0x100080bc
MSVCRT.dll,strncmp,0x100080c0
MSVCRT.dll,wcscat,0x100080c4
MSVCRT.dll,wcslen,0x100080c8
MSVCRT.dll,wcscpy,0x100080cc
MSVCRT.dll,fclose,0x100080d0
MSVCRT.dll,fwrite,0x100080d4
MSVCRT.dll,_wfopen,0x100080d8
MSVCRT.dll,fread,0x100080dc
MSVCRT.dll,rewind,0x100080e0
MSVCRT.dll,ftell,0x100080e4
MSVCRT.dll,fseek,0x100080e8
MSVCRT.dll,wcscmp,0x100080ec
MSVCRT.dll,memcpy,0x100080f0
MSVCRT.dll,??3@YAXPAX@Z,0x100080f4
MSVCRT.dll,??2@YAPAXI@Z,0x100080f8
MSVCRT.dll,memmove,0x100080fc
MSVCRT.dll,_CxxThrowException,0x10008100
MSVCRT.dll,atol,0x10008104
MSVCRT.dll,strcmp,0x10008108
MSVCRT.dll,??1type_info@@UAE@XZ,0x1000810c
MSVCRT.dll,_initterm,0x10008110
MSVCRT.dll,_adjust_fdiv,0x10008114
MSVCRT.dll,strcat,0x10008118
MSVCRT.dll,strlen,0x1000811c
MSVCRT.dll,malloc,0x10008120
MSVCRT.dll,memset,0x10008124
MSVCRT.dll,strcpy,0x10008128
MSVCRT.dll,free,0x1000812c
MSVCRT.dll,printf,0x10008130
MSVCRT.dll,_itoa,0x10008134
MSVCP60.dll,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,0x10008074
MSVCP60.dll,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ID@Z,0x10008078
MSVCP60.dll,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z,0x1000807c
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x10008080
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,0x10008084
MSVCP60.dll,??8std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z,0x10008088
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x1000808c
MSVCP60.dll,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,0x10008090
MSVCP60.dll,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,0x10008094
iphlpapi.dll,GetAdaptersInfo,0x10008148
