dll,name,address
KERNEL32.dll,GetCurrentProcess,0x404010
KERNEL32.dll,OpenProcess,0x404014
KERNEL32.dll,Sleep,0x404018
KERNEL32.dll,MultiByteToWideChar,0x40401c
KERNEL32.dll,GetTempPathA,0x404020
KERNEL32.dll,SetFileAttributesA,0x404024
KERNEL32.dll,CreateMutexA,0x404028
KERNEL32.dll,SetLastError,0x40402c
KERNEL32.dll,GetLongPathNameA,0x404030
KERNEL32.dll,GetModuleFileNameA,0x404034
KERNEL32.dll,CreateProcessA,0x404038
KERNEL32.dll,CopyFileA,0x40403c
KERNEL32.dll,lstrcmpiA,0x404040
KERNEL32.dll,CloseHandle,0x404044
KERNEL32.dll,lstrcpyA,0x404048
KERNEL32.dll,ReleaseMutex,0x40404c
KERNEL32.dll,SetProcessPriorityBoost,0x404050
KERNEL32.dll,SetThreadPriority,0x404054
KERNEL32.dll,GetCurrentThread,0x404058
KERNEL32.dll,SetPriorityClass,0x40405c
KERNEL32.dll,GetEnvironmentVariableA,0x404060
KERNEL32.dll,GetShortPathNameA,0x404064
KERNEL32.dll,CreateRemoteThread,0x404068
KERNEL32.dll,WriteProcessMemory,0x40406c
KERNEL32.dll,VirtualAllocEx,0x404070
KERNEL32.dll,WaitForSingleObject,0x404074
KERNEL32.dll,CreateThread,0x404078
KERNEL32.dll,GetModuleHandleA,0x40407c
KERNEL32.dll,LoadLibraryA,0x404080
KERNEL32.dll,GetProcAddress,0x404084
KERNEL32.dll,GetLastError,0x404088
KERNEL32.dll,OutputDebugStringA,0x40408c
KERNEL32.dll,lstrcatA,0x404090
KERNEL32.dll,GetStartupInfoA,0x404094
ADVAPI32.dll,OpenProcessToken,0x404000
ADVAPI32.dll,LookupPrivilegeValueA,0x404004
ADVAPI32.dll,AdjustTokenPrivileges,0x404008
MSVCRT.dll,fseek,0x40409c
MSVCRT.dll,sprintf,0x4040a0
MSVCRT.dll,fopen,0x4040a4
MSVCRT.dll,strcpy,0x4040a8
MSVCRT.dll,memset,0x4040ac
MSVCRT.dll,fread,0x4040b0
MSVCRT.dll,memcpy,0x4040b4
MSVCRT.dll,free,0x4040b8
MSVCRT.dll,realloc,0x4040bc
MSVCRT.dll,malloc,0x4040c0
MSVCRT.dll,strlen,0x4040c4
MSVCRT.dll,??3@YAXPAX@Z,0x4040c8
MSVCRT.dll,??2@YAPAXI@Z,0x4040cc
MSVCRT.dll,_except_handler3,0x4040d0
MSVCRT.dll,__dllonexit,0x4040d4
MSVCRT.dll,_onexit,0x4040d8
MSVCRT.dll,_exit,0x4040dc
MSVCRT.dll,_XcptFilter,0x4040e0
MSVCRT.dll,exit,0x4040e4
MSVCRT.dll,_acmdln,0x4040e8
MSVCRT.dll,__getmainargs,0x4040ec
MSVCRT.dll,_initterm,0x4040f0
MSVCRT.dll,__setusermatherr,0x4040f4
MSVCRT.dll,_adjust_fdiv,0x4040f8
MSVCRT.dll,__p__commode,0x4040fc
MSVCRT.dll,__p__fmode,0x404100
MSVCRT.dll,__set_app_type,0x404104
MSVCRT.dll,_controlfp,0x404108
MSVCRT.dll,fclose,0x40410c
MSVCRT.dll,_wcsnicmp,0x404110
SHELL32.dll,ShellExecuteExA,0x404118
